"nopd_item","type_","typetext","priority","initialtype","initialtypetext","initialpriority","mapx","mapy","timecreate","timedispatch","timearrive","timeclosed","disposition","dispositiontext","selfinitiated","beat","block_address","zip","policedistrict","location"
"A1964518","67C","THEFT FROM EXTERIOR","1A","62C","SIMPLE BURGLARY VEHICLE","1G","0","0","2018-01-17T16:10:29.000","2018-01-18T02:21:51.000","2018-01-18T02:34:08.000","2018-01-18T03:14:11.000","GOA","GONE ON ARRIVAL","N","7L03","147XX Chef Menteur Hwy",,"0",
"A1213518","21","COMPLAINT OTHER","1J","21","COMPLAINT OTHER","1J","0","0","2018-01-11T00:35:07.000","2018-01-11T00:35:34.000","2018-01-11T00:35:07.000","2018-01-11T01:59:10.000","NAT","Necessary Action Taken","Y","8D01","Bourbon St & Iberville St",,"0",
"A0838218","37","AGGRAVATED ASSAULT","1C","103","DISTURBANCE (OTHER)","2A","0","0","2018-01-08T01:24:10.000","2018-01-08T01:25:23.000","2018-01-08T01:28:28.000","2018-01-08T04:00:50.000","RTF","REPORT TO FOLLOW","N","8D06","007XX Bourbon St",,"0",
"B0948918","21P","LOST PROPERTY","0G","21P","LOST PROPERTY","0G","37369000","3513814","2018-02-09T01:18:23.000","2018-02-09T05:20:34.000","2018-02-09T05:20:41.000","2018-02-09T06:08:12.000","RTF","REPORT TO FOLLOW","N","8D05","004XX Bourbon St","70130","0","(0.0, 0.0)"
"A0609918","24","MEDICAL","2B","29","DEATH","1B","37369000","3513814","2018-01-06T01:15:19.000","2018-01-06T01:15:56.000","2018-01-06T01:22:42.000","2018-01-06T01:39:05.000","NAT","Necessary Action Taken","N","2L04","016XX Pine St","70118","2","(0.0, 0.0)"
"B0949418","24","MEDICAL","2D","24","MEDICAL","2D","37369000","3513814","2018-02-09T01:25:48.000","2018-02-09T01:25:48.000","2018-02-09T01:25:48.000","2018-02-09T01:54:09.000","NAT","Necessary Action Taken","Y","8C02","Royal St & Conti St","70130","8","(0.0, 0.0)"
"G3191818","21","COMPLAINT OTHER","1J","103F","FIGHT","2D","3686365","525551","2018-07-26T01:27:44.000","2018-07-26T01:31:05.000","2018-07-26T01:37:51.000","2018-07-26T01:49:00.000","NAT","Necessary Action Taken","N","4A06","US90 E",,"4","(29.93893475, -90.05291878)"
"A0016718","24","MEDICAL","2B","24","MEDICAL","2B","37369000","3513814","2018-01-01T01:26:56.000","2018-01-01T01:27:47.000",,"2018-01-01T01:43:08.000","NAT","Necessary Action Taken","N","8D04","007XX Iberville St","70130","8","(0.0, 0.0)"
"A2031718","29S","SUICIDE","2A","29S","SUICIDE","1D","37369000","3513814","2018-01-18T09:11:46.000","2018-01-18T09:16:27.000","2018-01-18T09:21:22.000","2018-01-18T09:25:19.000","GOA","GONE ON ARRIVAL","N","6C01","Constance St & Thalia St","70130","6","(0.0, 0.0)"
"C1646218","24","MEDICAL","2D","24","MEDICAL","2D","37369000","3513814","2018-03-14T07:27:38.000","2018-03-14T07:27:38.000","2018-03-14T07:28:15.000","2018-03-14T07:46:43.000","NAT","Necessary Action Taken","N","8D01","007XX Iberville St","70130","8","(0.0, 0.0)"
