"the_geom","objectid","businessaddress","businessname","businessstartdate","businesstype","city","locationx","locationy","state","suite","zip"
"POINT (-90.065338332795 29.96422422151)","351","1119 N RAMPART ST","FRENCH QUARTER SUITES","2018-11-14","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682331.76936","534701.63239","LA",,"70116"
"POINT (-90.067772138144 29.966034493113)","215","1123 MARAIS ST","MARAIS HOUSE","2017-03-28","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3681553.89218","535351.395206","LA",,"70116"
"POINT (-90.071031221943 29.952146463083)","65","226 CARONDELET ST","HAMPTON INN & SUITES-NEW ORLEANS DOWNTOWN","2015-05-29","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680577.63528","530289.810113","LA",,"70130"
"POINT (-90.052409641888 29.963929343845)","71","2517 CHARTRES ST","LIONS INN","2017-06-30","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3686426.52463","534639.934598","LA",,"70117"
"POINT (-90.057637257826 29.972678953345)","318","1502 ELYSIAN FIELDS AVE","NITEY NITE INN LLC","2021-07-03","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3684735.89961","537803.151368","LA",,"70116"
"POINT (-90.071320560751 29.955675918841)","142","129 BURGUNDY ST","CHH-NOLA LLC","2018-01-16","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680471.87599","531572.241091","LA",,"70112"
"POINT (-90.066072321146 29.932823135549)","24","1503 TCHOUPITOULAS ST","1503 GUEST HOUSE LLC","2016-02-01","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3682225.65532","523280.484411","LA",,"70130"
"POINT (-90.059220408923 29.963100970542)","85","613 ESPLANADE AVE","JEAN LAFITTE HOUSE","1989-01-01","4704 - TRAVELER ACCOMMODATION, ALL OTH","NEW ORLEANS","3684273.4038","534314.664581","LA",,"70116-2018"
"POINT (-90.05224642016 29.965950412811)","101","2471 DAUPHINE ST","CREOLE INN RUE DAUPHINE","2009-03-17","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3686469.98818","535375.44743","LA",,"70117"
"POINT (-90.054970095174 29.966832767709)","156","2317 BURGUNDY ST","PETER AND PAUL HOTEL","2018-09-13","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3685604.03804","535686.672647","LA",,"70117"
"POINT (-90.06817634301 29.955210999624)","144","730 BIENVILLE ST","HOTEL MAZARIN","2018-12-18","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681469.36956","531414.158723","LA",,"70130"
"POINT (-90.075243150609 29.97358462261)","239","2306 ESPLANADE AVE","DEGAS HOUSE","2005-01-01","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3679158.27259","538070.858377","LA",,"70119"
"POINT (-90.043980592425 29.9625251481)","342","616  LOUISA ST","NOLA PLACE","2016-01-04","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3689101.12988","534159.251141","LA",,"70117"
"POINT (-90.066112965502 29.969272597879)","212","1447 N VILLERE ST","FLORVILLE MANOR","2016-09-29","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3682066.19778","536534.697031","LA",,"70116"
"POINT (-90.064786315662 29.942493254238)","256","881 CONVENTION CENTER BLVD","HYATT PLACE NEW ORLEANS CONVENTION CENTER","2018-02-07","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682594.03631","526801.392702","LA",,"70130"
"POINT (-90.059858620463 29.968445905495)","189","1919 ST CLAUDE AVE","NOLA ST CLAUDE","2021-11-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3684049.72642","536256.034503","LA",,"70116"
"POINT (-90.057097408273 29.961704187299)","274","405 ESPLANADE AVE","HOTEL DE LA MONNAIE OWNERS  ASSOCIATION INC","1993-05-15","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3684951.26537","533814.223941","LA",,"70116"
"POINT (-90.064902395749 29.967107644203)","147","1227 ESPLANADE AVE","RATHBONE MANSIONS","2019-10-24","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682458.19132","535751.679879","LA",,"70116"
"POINT (-90.054851653216 29.96547029141)","277","2316 DAUPHINE ST","LA DAUPHINE","1996-11-15","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3685647.06697","535191.64455","LA",,"70117"
