"nopd_item","type_","typetext","priority","initialtype","initialtypetext","initialpriority","mapx","mapy","timecreate","timedispatch","timearrive","timeclosed","disposition","dispositiontext","selfinitiated","beat","block_address","zip","policedistrict","location"
"A0000121","103D","DOMESTIC DISTURBANCE","2C","103D","DOMESTIC DISTURBANCE","2C","3697731","532510","2021-01-01T00:01:06.450","2021-01-01T00:01:46.233","2021-01-01T00:13:51.043","2021-01-01T01:01:23.230","RTF","REPORT TO FOLLOW","N","5E04","007XX Caffin Ave","70117","5","POINT (-90.01678019 29.95771602)"
"A0000221","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3668804","546585","2021-01-01T00:01:28.967","2021-01-01T00:01:28.967","2021-01-01T00:01:28.967","2021-01-01T00:40:31.030","NAT","Necessary Action Taken","Y","3I04","Vicksburg St & Brooks St","70124","3","POINT (-90.10764787 29.99729994)"
"A0000321","62A","BURGLAR ALARM, SILENT","1A","62A","BURGLAR ALARM, SILENT","2E","3673216","521932","2021-01-01T00:01:34.863","2021-01-01T03:39:56.747","2021-01-01T03:43:58.507","2021-01-01T03:51:24.143","NAT","Necessary Action Taken","N","6Q02","036XX Baronne St","70115","6","POINT (-90.09455243 29.92938301)"
"A0000421","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3682049","530554","2021-01-01T00:01:47.113","2021-01-01T00:01:47.113","2021-01-01T00:01:47.113","2021-01-01T03:03:53.617","NAT","Necessary Action Taken","Y","8B01","Decatur St & Iberville St","None","8","POINT (-90.06636912 29.95282347)"
"A0000521","94F","FIREWORKS","1A","94F","FIREWORKS","2J","3704326","518525","2021-01-01T00:02:13.510",,,"2021-01-01T00:17:36.153","VOI","VOID","N","4D02","055XX Sutton Pl","70131","4","POINT (-89.9964721 29.91905338)"
"A0000621","94","DISCHARGING FIREARM","1A","94","DISCHARGING FIREARM","2D","3702356","554005","2021-01-01T00:02:14.197","2021-01-01T07:08:36.097",,"2021-01-01T07:08:48.417","NAT","Necessary Action Taken","N","7E01","Lonely Oak Dr & Selma St","70126","7","POINT (-90.00138771 30.01667289)"
"A0000721","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3689294","523714","2021-01-01T00:02:37.253","2021-01-01T00:02:37.253","2021-01-01T00:02:37.253","2021-01-01T01:00:39.173","NAT","Necessary Action Taken","Y","4A05","Thayer St & Shepard St","70114","4","POINT (-90.04373626 29.93379453)"
"A0000821","94F","FIREWORKS","1A","94F","FIREWORKS","2J","3685751","537403","2021-01-01T00:03:15.510","2021-01-01T00:03:35.093",,"2021-01-01T00:03:42.300","NAT","Necessary Action Taken","N","5B03","013XX Mandeville St","70117","5","POINT (-90.05443947 29.971544)"
"A0000921","94","DISCHARGING FIREARM","2D","94","DISCHARGING FIREARM","2D","3699517","533522","2021-01-01T00:04:11.660","2021-01-01T00:59:42.423","2021-01-01T00:59:57.970","2021-01-01T01:06:54.080","GOA","GONE ON ARRIVAL","N","5E03","011XX Blk Tupelo St","70117","5","POINT (-90.01110609 29.96044253)"
"A0001021","94","DISCHARGING FIREARM","1A","94","DISCHARGING FIREARM","2D","3684916","536850","2021-01-01T00:04:19.327","2021-01-01T00:53:10.150","2021-01-01T01:35:08.407","2021-01-01T01:56:55.460","RTF","REPORT TO FOLLOW","N","5A05","012XX Blk Elysian Fields Ave","70116","5","POINT (-90.05709394 29.97004982)"
