"o_c","casenumber","propertyaddress","casehistory","hearingdate","hearingtime","judgment","prevhearing","prevhearingstat","caseestablished","inspected","inspectionresult","councildistrict","geoaddress","city","state","zip","geopin","xpos","ypos","caseid","hashid","lastupload"
"Open","15-05468-MPM","2811 POWHATAN ST","Initial Hearing","2017-07-18T10:15:00.000","2017-07-18T10:15:00.000","Guilty",,,"2015-06-19T09:43:49.000","2015-07-14T00:00:00.000","Violation: No WIP","D","2811 Powhatan St","New Orleans","LA","70126","41111860","3688675.07","547809.28","201677","ea28e0bf758fccf231bdb55147183732","2022-07-16T23:19:54.000"
"Closed","15-10159-MPM","749-751 ST CHARLES AVE","Initial Hearing","2015-12-01T09:45:00.000","2015-12-01T09:45:00.000","Guilty",,,"2015-11-10T09:09:46.000","2015-11-10T00:00:00.000","Violation: No WIP","B","751 St Charles Ave","New Orleans","LA","70130","41034070","3680382.30423","528169.62193","206368","efd90be6328f5f9221c0b98b9bf15bde","2020-06-03T14:35:09.000"
"Closed","14-11897-MPM","8019 LEHIGH ST","Initial Hearing","2015-04-14T10:15:00.000","2015-04-14T10:15:00.000","Guilty",,,"2014-12-04T13:32:22.000","2015-02-06T00:00:00.000","Violation: No WIP","E","8019 Lehigh St","New Orleans","LA","70127","41114454","3709824.33","567024.54","195514","da11640182661a42f87a1f87e98ecc3d","2020-06-03T14:35:09.000"
"Closed","HCES-11-07168","1814 N DERBIGNY ST","Reset Hearing","2014-03-10T10:00:00.000","2014-03-10T10:00:00.000","Guilty","2014-01-21T09:30:00.000","Reset: Work In Progress","2011-09-14T22:29:57.000","2014-03-10T00:00:00.000","Violation: WIP","C","1814 N Derbigny St","New Orleans","LA","70116","41072085","3683468.15","538354.35","154498","251a98db67ecdc0b11184a06bc2f53bf","2020-06-03T14:35:09.000"
"Closed","14-10427-MPM","5805 E DEER PARK BLVD","Reset Hearing","2015-09-14T09:45:00.000","2015-09-14T09:45:00.000","Guilty","2015-07-14T13:45:00.000","Reset: Work In Progress","2014-10-31T14:34:15.000","2015-01-27T00:00:00.000","Violation: No WIP","E","5805 E Deer Park Blvd","New Orleans","LA","70127","41113909","3712597.27895","561004.6349","194044","2bd875d6f7238997976e752fd568a8ab","2022-07-16T23:19:54.000"
"Closed","ENVHADJ-97876","1314 ST. MAURICE AVE.","Initial Hearing","2009-04-10T16:00:39.000","2009-04-10T16:00:39.000","Found Guilty",,,"2009-04-10T15:52:46.000","1997-01-06T00:00:00.000","Complete"," ","1318 St Maurice Ave","New Orleans","LA","70117","41124920","3700083.22333","534038.27833","23808","1d6520a9fd10c2f15b89df49255b4fa3","2022-04-16T23:17:46.000"
"Closed","CEHB-11-2263","1510 S ROBERTSON ST","Reset Hearing","2011-08-16T10:30:00.000","2011-08-16T10:30:00.000","Guilty: Public Nuisance Blight","2011-06-07T09:30:00.000","Reset: Work in Progress","2011-05-03T14:02:26.000",,"","B","1510 S Robertson St","New Orleans","LA","70113","41030985","3676111.65","527301.91","144303","4254b9dda7ca4fded54c48110ebbdc9b","2020-06-04T23:18:06.000"
"Closed","14-10427-MPM","5805 E DEER PARK BLVD","Initial Hearing","2015-07-14T13:45:00.000","2015-07-14T13:45:00.000","Reset: Work In Progress",,,"2014-10-31T14:34:15.000","2015-01-27T00:00:00.000","Violation: No WIP","E","5805 E Deer Park Blvd","New Orleans","LA","70127","41113909","3712597.27895","561004.6349","194044","b6a11ff24500dc773cd449c1f8042bc6","2022-07-16T23:19:54.000"
"Closed","ENVHADJ-20002843SN","1314 ST. MAURICE AVE.","Initial Hearing","2009-04-10T16:00:39.000","2009-04-10T16:00:39.000","Found Guilty",,,"2009-04-10T15:52:46.000","2000-04-18T00:00:00.000","Complete"," ","1318 St Maurice Ave","New Orleans","LA","70117","41124920","3700083.22333","534038.27833","35417","98f5439ed04dddc8b696a00446a1ad35","2022-04-16T23:17:46.000"
"Closed","20-22519-MPM","2532 MARTIN LUTHER KING, JR BLVD","Initial Hearing","2020-12-08T11:00:00.000","2020-12-08T11:00:00.000","Guilty: Abated",,,"2020-11-05T12:13:54.000","2020-10-30T00:00:00.000","Violation: No WIP","B","2532 Martin Luther King, Jr Blvd","New Orleans","LA","70113","51002388","3676133.72","527382.4","263139","ebb73c3e4fca858c9329d78166fb03b2","2021-02-14T23:18:05.000"
