"nopd_item","type_","typetext","priority","mapx","mapy","timecreate","timedispatch","timearrive","timeclosed","disposition","dispositiontext","block_address","zip","policedistrict","location"
"A0000113","94","DISCHARGING FIREARM","2B","3696313.00000000","533332.00000000","2012-12-31T23:59:34.000","2013-01-01T00:03:10.000","2013-01-01T00:23:57.000","2013-01-01T00:24:10.000","UNF","UNFOUNDED","052XX Burgundy St","70117","5","(29.960019973023, -90.021230929534)"
"A0000213","94","DISCHARGING FIREARM","2B","3710263.00000000","518976.00000000","2012-12-31T23:59:49.000","2013-01-01T00:05:43.000","2013-01-01T00:14:35.000","2013-01-01T00:21:29.000","UNF","UNFOUNDED","029XX Bacchus Dr","70131","4","(29.920099507761, -89.97771660629)"
"A0000313","67S","SHOPLIFTING","1C","3683068.00000000","531830.00000000","2013-01-01T00:00:22.000",,,"2013-01-01T00:33:26.000","DUP","DUPLICATE","006XX Decatur St","70130","8","(29.956300375853, -90.063108296726)"
"A0000413","21","COMPLAINT OTHER","1H","3673396.00000000","533473.00000000","2013-01-01T00:00:29.000","2013-01-01T00:00:30.000","2013-01-01T00:00:33.000","2013-01-01T00:13:58.000","NAT","NECESSARY ACTION TAKEN","007XX S White St","70119","1","(29.9611093502, -90.093593157605)"
"A0000513","62A","BURGLAR ALARM, SILEN","2C","3665197.00000000","544507.00000000","2013-01-01T00:00:22.000","2013-01-01T00:36:13.000",,"2013-01-01T00:36:32.000","VOI","VOID","055XX Cherlyn Dr","70124","3","(29.991690537675, -90.119114983885)"
"A0000613","94F","FIREWORKS","1H","3668342.00000000","518606.00000000","2012-12-31T23:59:56.000","2013-01-01T00:27:00.000","2013-01-01T00:36:38.000","2013-01-01T00:57:01.000","UNF","UNFOUNDED","Magazine St & Soniat St","70115","2","(29.920379287323, -90.110054021428)"
"A0000713","21","COMPLAINT OTHER","1H","3679448.00000000","540791.00000000","2013-01-01T00:01:04.000","2013-01-01T00:01:05.000","2013-01-01T00:03:21.000","2013-01-01T00:07:26.000","UNF","UNFOUNDED","026XX D'Abadie St","70119","1","(29.981049902806, -90.074228115746)"
"A0000813","94","DISCHARGING FIREARM","2B","3688421.00000000","527933.00000000","2013-01-01T00:00:51.000","2013-01-01T00:04:29.000","2013-01-01T00:07:09.000","2013-01-01T00:11:27.000","UNF","UNFOUNDED","Newton St & Pacific Ave","70114","4","(29.945420710183, -90.046343573834)"
"A0000913","94","DISCHARGING FIREARM","2B","3678701.00000000","537294.00000000","2013-01-01T00:01:55.000","2013-01-01T00:01:55.000",,"2013-01-01T00:03:37.000","UNF","UNFOUNDED","N Tonti St & Ursulines Ave","70119","1","(29.97145690799, -90.076708607074)"
"A0001013","94","DISCHARGING FIREARM","2B","3677890.00000000","525169.00000000","2013-01-01T00:01:54.000","2013-01-01T00:02:55.000","2013-01-01T00:05:00.000","2013-01-01T00:07:23.000","UNF","UNFOUNDED","Baronne St & Felicity St","70113","6","(29.938141661002, -90.07968881567)"
"A0001113","21","COMPLAINT OTHER","1H","3681500.00000000","529133.00000000","2013-01-01T00:00:45.000","2013-01-01T02:46:55.000",,"2013-01-01T02:55:19.000","UNF","UNFOUNDED","Magazine St & Poydras St","70130","8","(29.948932239198, -90.068153544476)"
"A0001213","94","DISCHARGING FIREARM","2B","3684962.00000000","536299.00000000","2013-01-01T00:02:11.000","2013-01-01T00:02:14.000",,"2013-01-01T00:15:37.000","NAT","NECESSARY ACTION TAKEN","Elysian Fields Ave & Saint Claud","70116","8","(29.968530717794, -90.056970498646)"
"A0001313","94","DISCHARGING FIREARM","2B","3682706.00000000","529434.00000000","2013-01-01T00:02:56.000","2013-01-01T00:03:09.000",,"2013-01-01T00:24:21.000","DUP","DUPLICATE","001XX Canal St","70130","8","(29.949723217771, -90.064335159881)"
"A0001413","94","DISCHARGING FIREARM","2B","3673345.00000000","517953.00000000","2013-01-01T00:02:37.000","2013-01-01T00:03:20.000",,"2013-01-01T00:35:16.000","NAT","NECESSARY ACTION TAKEN","039XX Annunciation St","70115","6","(29.918435934184, -90.094284166962)"
"A0001513","911","SILENT 911 CALL","2D","3685725.00000000","536818.00000000","2013-01-01T00:03:20.000","2013-01-01T00:34:57.000","2013-01-01T00:38:10.000","2013-01-01T00:51:13.000","NAT","NECESSARY ACTION TAKEN","012XX Mandeville St","70117","5","(29.969934395448, -90.054542617441)"
"A0001613","99","RECKLESS DRIVING","2D","3732181.00000000","582847.00000000","2013-01-01T00:02:12.000","2013-01-01T00:14:26.000",,"2013-01-01T00:14:47.000","UNF","UNFOUNDED","039XX I-10 E","70129","7","(30.094987611155, -89.906021856317)"
"A0001713","94","DISCHARGING FIREARM","1B","3676470.00000000","537555.00000000","2013-01-01T00:01:46.000","2013-01-01T00:29:23.000",,"2013-01-01T00:29:25.000","NAT","NECESSARY ACTION TAKEN","Saint Ann St & N White St","70119","1","(29.972241656212, -90.083745445328)"
"A0001813","94","DISCHARGING FIREARM","1B","3679454.00000000","532533.00000000","2013-01-01T00:03:30.000","2013-01-01T00:29:07.000",,"2013-01-01T00:29:09.000","NAT","NECESSARY ACTION TAKEN","Iberville St & Marais St","70112","1","(29.958343053337, -90.074495710996)"
"A0001913","94","DISCHARGING FIREARM","1B","3679406.00000000","539011.00000000","2013-01-01T00:03:07.000","2013-01-01T00:28:36.000",,"2013-01-01T00:28:38.000","NAT","NECESSARY ACTION TAKEN","024XX Columbus St","70119","1","(29.976156788366, -90.074422538738)"
"A0002013","94","DISCHARGING FIREARM","2B","3696078.00000000","519682.00000000","2013-01-01T00:02:56.000","2013-01-01T00:06:12.000",,"2013-01-01T00:06:18.000","NAT","NECESSARY ACTION TAKEN","033XX Garden Oaks Dr","70114","4","(29.922494595541, -90.022466120318)"
"A0002113","94","DISCHARGING FIREARM","2B","3685732.00000000","536740.00000000","2013-01-01T00:03:51.000","2013-01-01T00:07:10.000","2013-01-01T00:11:35.000","2013-01-01T00:14:14.000","UNF","UNFOUNDED","012XX Mandeville St","70117","5","(29.969719707798, -90.054523259978)"
"A0002213","94","DISCHARGING FIREARM","2B","3661802.00000000","531367.00000000","2013-01-01T00:04:25.000","2013-01-01T00:04:57.000","2013-01-01T00:08:56.000","2013-01-01T00:13:43.000","UNF","UNFOUNDED","Hickory St & Monroe St","70118","2","(29.955658360656, -90.130274908183)"
"A0002313","21","COMPLAINT OTHER","1H","3692622.00000000","540013.00000000","2013-01-01T00:03:10.000","2013-01-01T01:24:04.000","2013-01-01T01:32:34.000","2013-01-01T02:03:56.000","NAT","NECESSARY ACTION TAKEN","023XX Alvar St","70117","5","(29.978506058426, -90.032646777109)"
"A0002413","21","COMPLAINT OTHER","1H","3686582.00000000","535344.00000000","2013-01-01T00:05:13.000","2013-01-01T00:05:16.000","2013-01-01T00:30:02.000","2013-01-01T02:14:18.000","RTF","REPORT TO FOLLOW","Dauphine St & Saint Roch Ave","70117","8","(29.965855082119, -90.051888193864)"
"A0002513","62A","BURGLAR ALARM, SILEN","2C","3673375.00000000","530107.00000000","2013-01-01T00:04:37.000","2013-01-01T00:06:59.000",,"2013-01-01T00:22:12.000","NAT","NECESSARY ACTION TAKEN","012XX S Tonti St","70125","6","(29.951854594911, -90.093774457741)"
"A0002613","94","DISCHARGING FIREARM","2B","3691283.00000000","535824.00000000","2013-01-01T00:05:28.000","2013-01-01T00:14:25.000","2013-01-01T00:15:38.000","2013-01-01T00:18:06.000","UNF","UNFOUNDED","012XX Pauline St","70117","5","(29.967029517212, -90.03702549394)"
"A0002713","21","COMPLAINT OTHER","1H","3679242.00000000","534017.00000000","2013-01-01T00:05:35.000","2013-01-01T00:05:35.000",,"2013-01-01T00:21:49.000","NAT","NECESSARY ACTION TAKEN","N Claiborne Ave & Saint Louis St","70112","1","(29.962429952573, -90.075113693132)"
"A0002813","94","DISCHARGING FIREARM","2B","3713610.00000000","566637.00000000","2013-01-01T00:04:33.000","2013-01-01T00:06:31.000","2013-01-01T00:08:30.000","2013-01-01T00:11:41.000","UNF","UNFOUNDED","Bullard Ave & Morrison Rd","70128","7","(30.05103986462, -89.965355772378)"
"A0002913","52F","FIRE","2B","3672713.00000000","540029.00000000","2013-01-01T00:04:52.000","2013-01-01T00:06:53.000","2013-01-01T00:08:22.000","2013-01-01T00:13:54.000","UNF","UNFOUNDED","N Carrollton Ave & Orleans Ave","70119","1","(29.979156438929, -90.095526308275)"
"A0003013","62A","BURGLAR ALARM, SILEN","2C","3685378.00000000","554460.00000000","2013-01-01T00:06:10.000","2013-01-01T00:36:40.000","2013-01-01T00:48:17.000","2013-01-01T00:50:30.000","NAT","NECESSARY ACTION TAKEN","058XX Music St","70122","3","(30.018454225351, -90.05501690899)"
"A0003113","94","DISCHARGING FIREARM","2B","3697727.00000000","551734.00000000","2013-01-01T00:05:41.000","2013-01-01T00:16:45.000","2013-01-01T00:20:13.000","2013-01-01T00:21:25.000","NAT","NECESSARY ACTION TAKEN","062XX Chef Menteur Hwy","70126","7","(30.010574162219, -90.016097835908)"
"A0003213","21","COMPLAINT OTHER","1H","3684641.00000000","533925.00000000","2013-01-01T00:07:05.000","2013-01-01T00:07:08.000","2013-01-01T00:30:04.000","2013-01-01T01:27:49.000","NAT","NECESSARY ACTION TAKEN","Decatur St & Esplanade Ave","70116","8","(29.962012865941, -90.058067672184)"
"A0003313","94","DISCHARGING FIREARM","2B","3664201.00000000","535062.00000000","2013-01-01T00:06:49.000","2013-01-01T00:09:07.000","2013-01-01T00:17:52.000","2013-01-01T00:20:46.000","NAT","NECESSARY ACTION TAKEN","030XX General Ogden St","70118","2","(29.965748926182, -90.122576398774)"
"A0003413","94F","FIREWORKS","1H","3678772.00000000","521548.00000000","2013-01-01T00:06:47.000","2013-01-01T00:26:02.000","2013-01-01T00:26:08.000","2013-01-01T00:27:49.000","NAT","NECESSARY ACTION TAKEN","Constance St & Philip St","70130","6","(29.928158537067, -90.077029600069)"
"A0003513","966","DRUG VIOLATIONS","1G","3681184.00000000","531226.00000000","2013-01-01T00:07:45.000","2013-01-01T00:07:47.000",,"2013-01-01T00:08:43.000","RTF","REPORT TO FOLLOW","002XX Bourbon St","70112","8","(29.9546968731, -90.069078377994)"
"A0003613","94F","FIREWORKS","2B","3694722.00000000","525362.00000000","2013-01-01T00:07:10.000","2013-01-01T00:08:50.000","2013-01-01T00:13:54.000","2013-01-01T00:33:39.000","NAT","NECESSARY ACTION TAKEN","016XX Elizardi Blvd","70114","4","(29.938155244739, -90.026541965)"
"A0003713","94","DISCHARGING FIREARM","2B","3684513.00000000","537011.00000000","2013-01-01T00:07:50.000","2013-01-01T00:18:17.000","2013-01-01T00:21:17.000","2013-01-01T00:24:30.000","UNF","UNFOUNDED","013XX Frenchmen St","70116","5","(29.970502215321, -90.058363442593)"
"A0003813","94","DISCHARGING FIREARM","2B","3705824.00000000","553975.00000000","2013-01-01T00:08:09.000","2013-01-01T00:08:10.000","2013-01-01T00:08:13.000","2013-01-01T00:17:14.000","NAT","NECESSARY ACTION TAKEN","045XX Laine Ave","70126","7","(30.016477627061, -89.990433542022)"
"A0003913","107","SUSPICIOUS PERSON","2B","3689557.00000000","538243.00000000","2013-01-01T00:07:06.000","2013-01-01T00:25:00.000","2013-01-01T00:30:23.000","2013-01-01T00:46:07.000","GOA","GONE ON ARRIVAL","Clouet St & N Derbigny St","70117","5","(29.97373449475, -90.042390127117)"
"A0004013","21","COMPLAINT OTHER","1H","3682054.00000000","532371.00000000","2013-01-01T00:08:07.000","2013-01-01T00:08:16.000",,"2013-01-01T00:11:44.000","RTF","REPORT TO FOLLOW","006XX Bourbon St","70112","8","(29.957818811076, -90.066291276708)"
"A0004113","62A","BURGLAR ALARM, SILEN","2C","3664407.00000000","546340.00000000","2013-01-01T00:07:34.000","2013-01-01T00:40:39.000","2013-01-01T00:48:24.000","2013-01-01T00:51:47.000","NAT","NECESSARY ACTION TAKEN","004XX W Kenilworth St","70124","3","(29.996753658318, -90.121549202608)"
"A0004313","21","COMPLAINT OTHER","1H","3707536.00000000","565212.00000000","2013-01-01T00:06:04.000","2013-01-01T02:45:47.000",,"2013-01-01T02:54:20.000","NAT","NECESSARY ACTION TAKEN","078XX Symmes Ave","70127","7","(30.047319676367, -89.984606500945)"
"A0004413","94F","FIREWORKS","1H","3667496.00000000","531110.00000000","2013-01-01T00:09:03.000","2013-01-01T00:10:22.000","2013-01-01T00:15:01.000","2013-01-01T00:20:24.000","NAT","NECESSARY ACTION TAKEN","028XX Audubon St","70125","2","(29.95478608224, -90.112303862086)"
"A0004513","94","DISCHARGING FIREARM","2B","3673978.00000000","527166.00000000","2013-01-01T00:08:30.000","2013-01-01T00:22:18.000","2013-01-01T00:22:22.000","2013-01-01T00:28:23.000","NAT","NECESSARY ACTION TAKEN","2nd St & S Claiborne Ave","70113","6","(29.943749864833, -90.091971071603)"
"A0004613","94","DISCHARGING FIREARM","2B","3717827.00000000","572296.00000000","2013-01-01T00:08:31.000","2013-01-01T00:23:53.000","2013-01-01T00:49:41.000","2013-01-01T00:59:16.000","UNF","UNFOUNDED","Vincent Rd & Wales St","70128","7","(30.066460662132, -89.951811757685)"
"A0004713","966","DRUG VIOLATIONS","1G","3681184.00000000","531226.00000000","2013-01-01T00:09:37.000","2013-01-01T00:09:40.000","2013-01-01T00:29:59.000","2013-01-01T00:55:26.000","RTF","REPORT TO FOLLOW","002XX Bourbon St","70112","8","(29.9546968731, -90.069078377994)"
"A0004813","94F","FIREWORKS","1H","3681291.00000000","521723.00000000","2013-01-01T00:09:53.000","2013-01-01T00:12:15.000",,"2013-01-01T00:12:34.000","NAT","NECESSARY ACTION TAKEN","018XX Saint Thomas St","70130","6","(29.9285635476, -90.069071593172)"
"A0004913","94","DISCHARGING FIREARM","2B","3690579.00000000","536041.00000000","2013-01-01T00:09:38.000","2013-01-01T00:24:19.000","2013-01-01T00:24:23.000","2013-01-01T00:26:50.000","UNF","UNFOUNDED","012XX Gallier St","70117","5","(29.967648071719, -90.039240982112)"
"A0005113","62A","BURGLAR ALARM, SILEN","2C","3665739.00000000","549621.00000000","2013-01-01T00:10:30.000",,,"2013-01-01T00:14:05.000","VOI","VOID","002XX W Harrison Ave","70124","3","(30.005736477458, -90.117231469313)"
"A0005213","106","OBSCENITY, EXPOSING","2C","3679325.00000000","529665.00000000","2013-01-01T00:10:43.000","2013-01-01T00:16:08.000","2013-01-01T00:25:15.000","2013-01-01T00:45:06.000","UNF","UNFOUNDED","Poydras St & S Rampart St","70113","8","(29.950460915652, -90.07500251274)"
"A0005313","94","DISCHARGING FIREARM","2B","3686554.00000000","554122.00000000","2013-01-01T00:10:59.000","2013-01-01T00:23:02.000","2013-01-01T00:31:21.000","2013-01-01T00:55:59.000","UNF","UNFOUNDED","057XX Franklin Ave","70122","3","(30.017488723423, -90.051313137422)"
"A0005413","94","DISCHARGING FIREARM","2B","3686636.00000000","552230.00000000","2013-01-01T00:11:16.000","2013-01-01T00:28:37.000","2013-01-01T00:30:41.000","2013-01-01T00:34:08.000","NAT","NECESSARY ACTION TAKEN","053XX Franklin Ave","70122","3","(30.012283896111, -90.05112094489)"
"A0005513","94","DISCHARGING FIREARM","2B","3684195.00000000","545876.00000000","2013-01-01T00:10:36.000","2013-01-01T00:20:05.000","2013-01-01T00:23:25.000","2013-01-01T00:25:19.000","UNF","UNFOUNDED","Elysian Fields Ave & Sere St","70122","3","(29.994887569385, -90.059056373523)"
"A0005613","62A","BURGLAR ALARM, SILEN","2C","3689403.00000000","551488.00000000","2013-01-01T00:11:36.000","2013-01-01T00:35:30.000","2013-01-01T00:43:43.000","2013-01-01T00:46:31.000","NAT","NECESSARY ACTION TAKEN","050XX Saint Ferdinand Dr","70126","3","(30.010158241836, -90.042405219274)"
"A0005713","21","COMPLAINT OTHER","1H","3671991.00000000","540575.00000000","2013-01-01T00:12:09.000","2013-01-01T00:12:09.000",,"2013-01-01T00:15:48.000","NAT","NECESSARY ACTION TAKEN","Orleans Ave & N Solomon St","70119","3","(29.980679178981, -90.097788075006)"
"A0005813","94","DISCHARGING FIREARM","1B","3677940.00000000","536894.00000000","2013-01-01T00:11:37.000","2013-01-01T00:29:13.000",,"2013-01-01T00:29:17.000","NAT","NECESSARY ACTION TAKEN","025XX Dumaine St","70119","1","(29.970379970885, -90.079125783651)"
"A0005913","52F","FIRE","1B","3713610.00000000","566637.00000000","2013-01-01T00:12:44.000","2013-01-01T01:03:33.000","2013-01-01T01:03:35.000","2013-01-01T01:18:22.000","UNF","UNFOUNDED","Bullard Ave & Morrison Rd","70128","7","(30.05103986462, -89.965355772378)"
"A0006013","21","COMPLAINT OTHER","1H","3681624.00000000","531805.00000000","2013-01-01T00:12:55.000","2013-01-01T00:12:58.000",,"2013-01-01T00:13:10.000","RTF","REPORT TO FOLLOW","004XX Bourbon St","70112","8","(29.956275570569, -90.067668834132)"
"A0006113","94F","FIREWORKS","1H","3697530.00000000","533751.00000000","2013-01-01T00:12:58.000","2013-01-01T00:25:19.000","2013-01-01T00:30:27.000","2013-01-01T00:32:15.000","NAT","NECESSARY ACTION TAKEN","XX Saint Claude Ct","70117","5","(29.961133699425, -90.01737273388)"
"A0006213","94","DISCHARGING FIREARM","2B","3679332.00000000","549070.00000000","2013-01-01T00:12:24.000","2013-01-01T00:22:02.000",,"2013-01-01T00:34:58.000","NAT","NECESSARY ACTION TAKEN","045XX Paris Ave","70122","3","(30.003817742806, -90.074307178121)"
"A0006313","21","COMPLAINT OTHER","1H","3711710.00000000","559201.00000000","2013-01-01T00:13:45.000","2013-01-01T00:13:46.000",,"2013-01-01T00:47:30.000","NAT","NECESSARY ACTION TAKEN","056XX Read Blvd","70127","7","(30.030656081381, -89.971640276683)"
"A0006413","94","DISCHARGING FIREARM","2B","3702433.00000000","557164.00000000","2013-01-01T00:13:28.000","2013-01-01T00:25:04.000",,"2013-01-01T00:55:33.000","NAT","NECESSARY ACTION TAKEN","077XX S Coronet Ct","70126","7","(30.025354991846, -90.001030413432)"
"A0006513","94F","FIREWORKS","1H","3687957.00000000","551043.00000000","2013-01-01T00:13:30.000","2013-01-01T00:52:59.000",,"2013-01-01T01:13:26.000","UNF","UNFOUNDED","049XX Eastern St","70122","3","(30.008979369861, -90.046989439824)"
"A0006613","103D","DOMESTIC DISTURBANCE","2B","3686909.00000000","540516.00000000","2013-01-01T00:13:05.000","2013-01-01T01:07:04.000","2013-01-01T01:09:58.000","2013-01-01T01:13:08.000","UNF","UNFOUNDED","025XX N Miro St","70117","5","(29.980066209992, -90.050672708339)"
"A0006713","94","DISCHARGING FIREARM","2B","3678265.00000000","536687.00000000","2013-01-01T00:15:10.000","2013-01-01T00:15:10.000","2013-01-01T00:15:56.000","2013-01-01T03:44:33.000","RTF","REPORT TO FOLLOW","009XX N Tonti St","70119","1","(29.969801006151, -90.078106558672)"
"A0006813","62A","BURGLAR ALARM, SILEN","2C","3672854.00000000","556017.00000000","2013-01-01T00:14:27.000","2013-01-01T00:47:03.000",,"2013-01-01T01:03:19.000","UNF","UNFOUNDED","001XX Wren St","70124","3","(30.023113648553, -90.094535045295)"
"A0006913","100","HIT & RUN","1E","3732380.00000000","562182.00000000","2013-01-01T00:13:28.000","2013-01-01T03:42:35.000","2013-01-01T03:54:49.000","2013-01-01T04:02:47.000","UNF","UNFOUNDED","147XX Chef Menteur Hwy","70129","7","(30.038160978092, -89.90620646179)"
