"nopd_item","type_","typetext","mapx","mapy","timecreate","timedispatch","timeclosed","disposition","dispositiontext","block_address","zip"
"A0003914","107","SUSPICIOUS PERSON","3689724","539742","2014-01-01T00:10:30.000","2014-01-01T00:23:58.000","2014-01-01T00:32:34.000","GOA","GONE ON ARRIVAL","020XX Feliciana St","70117"
"A0009714","107","SUSPICIOUS PERSON","3691242","537856","2014-01-01T00:40:13.000","2014-01-01T00:41:07.000","2014-01-01T01:11:52.000","UNF","UNFOUNDED","017XX Congress St","70117"
"A0012914","107","SUSPICIOUS PERSON","3681779","548530","2014-01-01T00:53:21.000","2014-01-01T00:59:52.000","2014-01-01T01:17:43.000","GOA","GONE ON ARRIVAL","004XX Wallace Dr","70122"
"A0018014","21","COMPLAINT OTHER","3669174","553119","2014-01-01T01:22:05.000","2014-01-01T01:30:13.000","2014-01-01T01:41:17.000","NAT","Necessary Action Taken","068XX Canal Blvd","70124"
"A0024314","107","SUSPICIOUS PERSON","3705738","562320","2014-01-01T02:08:22.000","2014-01-01T02:11:04.000","2014-01-01T02:19:00.000","UNF","UNFOUNDED","074XX Burke Rd","70127"
"A0025614","107","SUSPICIOUS PERSON","3678300","533870","2014-01-01T02:17:31.000",,"2014-01-01T03:00:23.000","NAT","Necessary Action Taken","N Roman St & Bienville St","70112"
"A0041714","107","SUSPICIOUS PERSON","3681536","531796","2014-01-01T04:28:06.000","2014-01-01T05:21:10.000","2014-01-01T05:52:49.000","GOA","GONE ON ARRIVAL","003XX Bourbon St","70112"
"A0047714","107","SUSPICIOUS PERSON","3682352","530364","2014-01-01T05:47:46.000",,"2014-01-01T05:53:59.000","NAT","Necessary Action Taken","002XX N Peters St","70130"
"A0048414","107","SUSPICIOUS PERSON","3663952","540419","2014-01-01T05:57:19.000","2014-01-01T06:10:16.000","2014-01-01T06:34:28.000","UNF","UNFOUNDED","001XX Bellaire Dr","70124"
"A0050014","107","SUSPICIOUS PERSON","3679892","534637","2014-01-01T06:16:41.000","2014-01-01T06:17:46.000","2014-01-01T06:28:23.000","GOA","GONE ON ARRIVAL","Basin St & Orleans Ave","70116"
"A0053614","107","SUSPICIOUS PERSON","3683648","533255","2014-01-01T07:42:20.000",,"2014-01-01T07:56:48.000","GOA","GONE ON ARRIVAL","010XX Chartres St","70116"
"A0053714","107","SUSPICIOUS PERSON","3675063","528003","2014-01-01T07:43:03.000",,"2014-01-01T07:58:34.000","NAT","Necessary Action Taken","S Claiborne Ave & Felicity St","70113"
"A0054314","107","SUSPICIOUS PERSON","3696887","552477","2014-01-01T07:50:29.000","2014-01-01T08:00:24.000","2014-01-01T08:23:28.000","NAT","Necessary Action Taken","060XX Warfield St","70126"
"A0058814","107","SUSPICIOUS PERSON","3697116","523089","2014-01-01T09:01:47.000","2014-01-01T09:09:06.000","2014-01-01T09:31:47.000","GOA","GONE ON ARRIVAL","021XX Cobblestone Ln","70114"
"A0058914","107","SUSPICIOUS PERSON","3682049","530554","2014-01-01T09:04:20.000","2014-01-01T09:07:18.000","2014-01-01T09:22:16.000","NAT","Necessary Action Taken","Decatur St & Iberville St","70130"
"A0059314","107","SUSPICIOUS PERSON","3684549","536098","2014-01-01T09:07:51.000","2014-01-01T09:15:20.000","2014-01-01T09:26:44.000","NAT","Necessary Action Taken","010XX Frenchmen St","70116"
"A0060814","107","SUSPICIOUS PERSON","3675563","527653","2014-01-01T09:28:34.000",,"2014-01-01T09:40:56.000","NAT","Necessary Action Taken","016XX Clara St","70113"
"A0061614","107","SUSPICIOUS PERSON","3684449","533422","2014-01-01T09:36:04.000",,"2014-01-01T09:56:59.000","NAT","Necessary Action Taken","XX French Market Pl","70116"
"A0065014","107","SUSPICIOUS PERSON","3678993","543156","2014-01-01T10:15:25.000","2014-01-01T10:17:40.000","2014-01-01T10:36:45.000","GOA","GONE ON ARRIVAL","Trafalgar St & Gentilly Blvd","70119"
"A0068014","107","SUSPICIOUS PERSON","3675107","528072","2014-01-01T10:59:37.000","2014-01-01T10:59:37.000","2014-01-01T11:36:45.000","GOA","GONE ON ARRIVAL","Mlk Blvd & S Claiborne Ave","70113"
"A0070614","107","SUSPICIOUS PERSON","3674520","527889","2014-01-01T11:39:53.000","2014-01-01T11:39:53.000","2014-01-01T11:50:10.000","NAT","Necessary Action Taken","021XX S Claiborne Ave","70125"
"A0071314","107","SUSPICIOUS PERSON","3679570","530634","2014-01-01T11:46:34.000","2014-01-01T11:47:17.000","2014-01-01T12:04:08.000","GOA","GONE ON ARRIVAL","S Rampart St & Gravier St","70112"
"A0072914","107","SUSPICIOUS PERSON","3668935","543079","2014-01-01T12:03:51.000","2014-01-01T12:05:05.000","2014-01-01T12:25:44.000","NAT","Necessary Action Taken","054XX General Diaz St","70124"
"A0075214","107","SUSPICIOUS PERSON","3674132","535038","2014-01-01T12:27:02.000","2014-01-01T12:30:41.000","2014-01-01T13:13:01.000","NAT","Necessary Action Taken","029XX Palmyra St",
"A0077014","107","SUSPICIOUS PERSON","3697479","514237","2014-01-01T12:44:06.000","2014-01-01T12:46:50.000","2014-01-01T12:58:12.000","NAT","Necessary Action Taken","Tullis Dr & Behrman Hwy","70114"
"A0077814","107","SUSPICIOUS PERSON","3692667","545888","2014-01-01T12:54:19.000","2014-01-01T12:58:28.000","2014-01-01T13:38:12.000","NAT","Necessary Action Taken","Higgins Blvd & Desire Pkwy",
"A0079214","107","SUSPICIOUS PERSON","3697479","514237","2014-01-01T13:07:17.000",,"2014-01-01T13:08:54.000","DUP","DUPLICATE","Behrman Hwy & Tullis Dr","70114"
"A0083514","107","SUSPICIOUS PERSON","3674345","533709","2014-01-01T14:10:19.000",,"2014-01-01T14:17:10.000","NAT","Necessary Action Taken","Tulane Ave & S Broad St",
"A0089614","107","SUSPICIOUS PERSON","3684855","552083","2014-01-01T15:02:06.000",,"2014-01-01T15:34:31.000","NAT","Necessary Action Taken","Spain St & Dreux Ave","70122"
"A0091514","107","SUSPICIOUS PERSON","3711602","554877","2014-01-01T15:29:50.000","2014-01-01T15:32:40.000","2014-01-01T16:00:46.000","NAT","Necessary Action Taken","097XX Chef Menteur Hwy","70127"
"A0094514","107","SUSPICIOUS PERSON","3675369","533696","2014-01-01T15:52:54.000","2014-01-01T15:54:08.000","2014-01-01T17:08:18.000","NAT","Necessary Action Taken","025XX Banks St","70119"
"A0095514","107","SUSPICIOUS PERSON","3683803","532374","2014-01-01T15:58:51.000","2014-01-01T15:58:51.000","2014-01-01T16:29:01.000","NAT","Necessary Action Taken","Dumaine & River","70116"
"A0097614","103M","MENTAL PATIENT","37369000","3513814","2014-01-01T16:23:47.000","2014-01-01T16:29:49.000","2014-01-01T17:52:22.000","RTF","REPORT TO FOLLOW","022XX Saint Anthony St","70119"
"A0098114","107","SUSPICIOUS PERSON","3684640","533927","2014-01-01T16:29:18.000","2014-01-01T16:29:18.000","2014-01-01T16:38:38.000","NAT","Necessary Action Taken","Decatur St & Esplanade Ave","70116"
"A0099014","107","SUSPICIOUS PERSON","3685689","548232","2014-01-01T16:41:29.000","2014-01-01T16:48:59.000","2014-01-01T16:57:16.000","GOA","GONE ON ARRIVAL","024XX Wisteria St","70122"
"A0102714","107","SUSPICIOUS PERSON","3664851","537290","2014-01-01T17:14:20.000",,"2014-01-01T17:36:35.000","NAT","Necessary Action Taken","092XX Airline Hwy","70118"
"A0107714","68","UNAUTHORIZED USE OF VEHICLE","3667707","534969","2014-01-01T17:54:32.000",,"2014-01-01T19:24:08.000","RTF","REPORT TO FOLLOW","036XX S Carrollton Ave","70118"
"A0110314","107","SUSPICIOUS PERSON","3673301","523920","2014-01-01T18:13:39.000","2014-01-01T18:14:55.000","2014-01-01T18:23:49.000","GOA","GONE ON ARRIVAL","023XX Louisiana Ave","70115"
"A0121414","107","SUSPICIOUS PERSON","3685304","535308","2014-01-01T19:41:33.000","2014-01-01T20:47:09.000","2014-01-01T20:47:17.000","NAT","Necessary Action Taken","022XX Dauphine St","70117"
"A0121914","107","SUSPICIOUS PERSON","3679775","530546","2014-01-01T19:43:38.000","2014-01-01T19:45:42.000","2014-01-01T19:59:50.000","GOA","GONE ON ARRIVAL","O'Keefe Ave & Gravier St","70112"
"A0123114","107","SUSPICIOUS PERSON","3681629","536355","2014-01-01T19:56:50.000","2014-01-01T19:56:50.000","2014-01-01T20:04:53.000","NAT","Necessary Action Taken","014XX N Robertson St","70116"
"A0124814","107","SUSPICIOUS PERSON","3681023","536110","2014-01-01T20:24:26.000","2014-01-01T20:24:26.000","2014-01-01T20:31:39.000","NAT","Necessary Action Taken","Governor Nicholls St & N Claiborne Ave","70116"
"A0126314","107","SUSPICIOUS PERSON","3670022","536158","2014-01-01T20:33:15.000","2014-01-01T20:33:56.000","2014-01-01T20:45:47.000","UNF","UNFOUNDED","040XX Ulloa St","70119"
"A0129514","107","SUSPICIOUS PERSON","3686327","533974","2014-01-01T20:54:37.000","2014-01-01T20:54:37.000","2014-01-01T21:15:49.000","NAT","Necessary Action Taken","N Peters St & Spain St","70117"
