"the_geom","objectid","ownername","businessname","address","suite","city","state","zip","businesstype","lat","lon"
"POINT (-90.109531821143 29.920606405801)","827","Tito's Ceviche & Pisco LLC","Tito's Ceviche & Pisco LLC","5015 Magazine St",,"New Orleans","LA","70115","1105 - Full Service Restaurants (table service available)","29.920601","-90.1095262"
"POINT (-89.980581890821 30.015129130723)","104","Code Inc dba She She's","Code Inc dba She She's","9000 Chef Menteur Hwy","Ste K","New Orleans","LA","70127","1126 - Drinking Places (Alcoholic Beverages)","30.0151237","-89.9805763"
"POINT (-90.067761910954 29.953163714406)","936","Richardson Rodel","RichFamily, LLC dba Daisy Dukes","121 Chartres St",,"New Orleans","LA","70130","1105 - Full Service Restaurants (table service available)","29.9531583","-90.0677563"
"POINT (-90.071447612646 29.956879114858)","1268","Lynn Properties LLC dba New Orleans Athletic Club","Lynn Properties LLC dba New Orleans Athletic Club","222 N Rampart St",,"New Orleans","LA","70112","3334 - Fitness & Recreational Sports Centers","29.9568737","-90.071442"
"POINT (-90.060925709482 29.958980015834)","945","Sicilian Foods LLC dba Frank's Restaurant","Sicilian Foods LLC dba Frank's Restaurant","933 Decatur St",,"New Orleans","LA","70116","1105 - Full Service Restaurants (table service available)","29.9589746","-90.0609201"
"POINT (-90.124063425863 29.940338609582)","354","Le7130 Freret Inc dba The Palms Bar and Grill","Le7130 Freret Inc dba The Palms Bar and Grill","7130 Freret St",,"New Orleans","LA","70118","1126 - Drinking Places (Alcoholic Beverages)","29.9403332","-90.1240578"
"POINT (-90.067502211028 29.946633312668)","946","SJCC Warehouse LLC dba St James Cheese Co","SJCC Warehouse LLC dba St James Cheese Co","641 Tchoupitoulas St",,"New Orleans","LA","70130","1105 - Full Service Restaurants (table service available)","29.9466279","-90.0674966"
"POINT (-90.073443112545 29.948523412995)","72","Baronne Bistro LLC dba Baronne Bistro","Baronne Bistro LLC dba Baronne Bistro","616 Baronne St",,"New Orleans","LA","70113","1105 - Full Service Restaurants (table service available)","29.948518","-90.0734375"
"POINT (-90.076582915736 29.985725820982)","1231","Youself Omer","Fair Zone Store 2 Food Store 2 LLC","1825 Gentilly Blvd",,"New Orleans","LA","70119","1101 - Convenience Stores","29.9857204","-90.0765773"
"POINT (-90.10400852311 30.003965824035)","1309","Roth Robert J","Steak Knife Inc dba The Steak Knife Restaurant","888 Harrison Ave",,"New Orleans","LA","70124","1105 - Full Service Restaurants (table service available)","30.0039604","-90.1040029"
"POINT (-90.087735117383 29.960313114464)","1315","TH LLC dba Huey P's Pizzeria","TH LLC dba Huey P's Pizzeria","2424 Tulane Ave",,"New Orleans","LA","70119","1105 - Full Service Restaurants (table service available)","29.9603077","-90.0877295"
"POINT (-90.065389311006 29.953744314219)","627","Lopburi LLC  dba Thaihey NOLA","Lopburi LLC  dba Thaihey NOLA","308 Decatur St",,"New Orleans","LA","70130","1105 - Full Service Restaurants (table service available)","29.9537389","-90.0653837"
"POINT (-90.064072411032 29.957076214886)","342","DMNO LLC  dba Doris Metropolitan","DMNO LLC  dba Doris Metropolitan","620 Chartres St",,"New Orleans","LA","70116","1105 - Full Service Restaurants (table service available)","29.9570708","-90.0640668"
"POINT (-90.07137271303 29.955121613854)","220","Aimbridge Hospitality LLC dba The Saint Hotel","Aimbridge Hospitality LLC dba The Saint Hotel","931 Canal St",,"New Orleans","LA","70112","4701 - Hotels (except Casino Hotels) & Motels","29.9551162","-90.0713671"
"POINT (-90.069508811958 29.952831114101)","743","Acomb William R","Pickwick Club dba Pickwick Club","115 St Charles Ave",,"New Orleans","LA","70130","1105 - Full Service Restaurants (table service available)","29.9528257","-90.0695032"
"POINT (-90.102952923177 30.004862523886)","1110","The Velvet Cactus LLC","The Velvet Cactus LLC","6300 Argonne Blvd",,"New Orleans","LA","70124","1105 - Full Service Restaurants (table service available)","30.0048571","-90.1029473"
"POINT (-90.068685012236 29.955833914696)","88","Casbarian Katy","Arnaud's Restaurant Inc dba Arnaud's Restaurant","815 Bienville St",,"New Orleans","LA","70112","1126 - Drinking Places (Alcoholic Beverages)","29.9558285","-90.0686794"
"POINT (-90.071759313142 29.95531111404)","633","RSC Downtown 2 LLC  d.b.a. The Ruby Slipper Cafe","RSC Downtown 2 LLC  d.b.a. The Ruby Slipper Cafe","1005 Canal St",,"New Orleans","LA","70112","1105 - Full Service Restaurants (table service available)","29.9553057","-90.0717537"
"POINT (-89.999912790974 29.911396006881)","1041","Oishii Sushi House LLC dba Oishii Sushi House","Oishii Sushi House LLC dba Oishii Sushi House","5163 General De Gaulle Dr",,"New Orleans","LA","70131","1105 - Full Service Restaurants (table service available)","29.9113906","-89.9999072"
"POINT (-90.121451125334 29.933982607838)","1303","Sodexo Management Inc d/b/a Wolf Pub","Sodexo Management Inc d/b/a Wolf Pub","6363 St Charles Ave",,"New Orleans","LA","70118","3312 - Food Service Contractors","29.9339772","-90.1214455"
"POINT (-90.065073011089 29.955592814711)","515","Nola Restaurant","Nola Restaurant","534 St Louis St",,"New Orleans","LA","70130","1105 - Full Service Restaurants (table service available)","29.9555874","-90.0650674"
"POINT (-90.099313718662 29.927248307607)","330","Chloe Tenant, LLC dba The Chloe","Chloe Tenant, LLC dba The Chloe","4125 St Charles Ave",,"New Orleans","LA","70115","4701 - Hotels (except Casino Hotels) & Motels","29.9272429","-90.0993081"
"POINT (-90.094553918635 29.943012511003)","729","Super Discount Gas, Inc dba Super Discount Gas","Super Discount Gas, Inc dba Super Discount Gas","2727 S Claiborne Ave",,"New Orleans","LA","70125","1131 - Gasoline Stations with Convenience Stores","29.9430071","-90.0945483"
"POINT (-90.067736911723 29.954573514308)","656","New Hotel Monteleone LLC dba Hotel Monteleone","New Hotel Monteleone LLC dba Hotel Monteleone","214 Royal St",,"New Orleans","LA","70130","1105 - Full Service Restaurants (table service available)","29.9545681","-90.0677313"
"POINT (-90.066102010946 29.9508530139)","1286","Pg Two, LLC  dba Pinkberry","Pg Two, LLC  dba Pinkberry","300 Canal St",,"New Orleans","LA","70130","1105 - Full Service Restaurants (table service available)","29.9508476","-90.0660964"
"POINT (-90.077972514707 29.957047014508)","195","Fontaine Entertainment, LLC d/b/a Handsome Willy's House of Food","Fontaine Entertainment, LLC d/b/a Handsome Willy's House of Food","220 S Robertson St",,"New Orleans","LA","70112","1105 - Full Service Restaurants (table service available)","29.9570416","-90.0779669"
"POINT (-90.079283016532 29.995957722746)","1101","Spiders I LLC dba Spiders Meat Market","Spiders I LLC dba Spiders Meat Market","3800 St Bernard Ave",,"New Orleans","LA","70122","1106 - Supermarket & Other Grocery (except Convenience) Stores","29.9959523","-90.0792774"
