"o_c","caseno","location","stage","keystatus","statdate","casefiled","initinspection","initinspresult","prevhearingdate","prevhearingresult","nexthearingdate","lastpermit","permitfiling","permittype","permitstatus","unpaidfees","geoaddress","city","state","zipcode","geopin","xpos","ypos","longitude","latitude","caseid","pointlocation"
"Open","21-08619-MPM","1300 Perdido St","1 - Inspection","The case was filed on 12/01/2021 and the property is awaiting inspection to proceed further.","2021-12-01T13:21:46.000","2021-12-01T13:21:46.000",,,,,,"22-08636-RNVN","2022-03-22T20:35:01.000","Renovation (Non-Structural)","Application Submitted","0.0","1300 Perdido St","New Orleans","LA","70112","41032325","3678683.48","530227.99","-90.07700860968541","29.952028305276837","272923",
"Open","22-03838-MPM","6300 Canal Blvd","1 - Inspection","The case was filed on 07/25/2022 and the property is awaiting inspection to proceed further.","2022-07-25T11:37:19.000","2022-07-25T11:37:19.000",,,,,,"14-06105-ESGN","2014-02-24T00:00:00.000","Electrical Sign","Permit Issued","0.0","6300 Canal Blvd","New Orleans","LA","70124","41192937","3668485.89","549435.13","-90.10855965973286","30.005144952592527","279077",
"Open","22-00360-MPM","7416-7418 Zimple St","1 - Inspection","The case was filed on 01/26/2022 and the property is awaiting inspection to proceed further.","2022-01-26T11:21:38.000","2022-01-26T11:21:38.000",,,,,,,,,,"0.0","7418 Zimple St","New Orleans","LA","70118","41137556","3663329.06","526610.04","-90.1256112921605","29.94253407721854","273594",
"Open","22-01625-MPM","3300 Indiana St","1 - Inspection","The case was filed on 04/26/2022 and the property is awaiting inspection to proceed further.","2022-04-26T15:21:14.000","2022-04-26T15:21:14.000",,,,,,,,,,"0.0","3300 Indiana St","New Orleans","LA","70114","41007341","3694137.51","521186.33","-90.02853736226665","29.92669189307758","274863",
"Open","21-08747-MPM","513 Warrington Dr","1 - Inspection","The case was filed on 12/13/2021 and the property is awaiting inspection to proceed further.","2021-12-13T16:04:08.000","2021-12-13T16:04:08.000",,,,,,"10ELC-12676","2010-12-07T00:00:00.000","Electrical Service / Circuit / Feeder","Permit Issuance - Active","0.0","513 Warrington Dr","New Orleans","LA","70122","41107022","3681296.17","548609.99","-90.06811808237573","30.002493391286674","273051",
"Open","22-00713-MPM","2718 Mistletoe St","1 - Inspection","The case was filed on 02/16/2022 and the property is awaiting inspection to proceed further.","2022-02-16T10:49:58.000","2022-02-16T10:49:58.000",,,,,,"07CNO-105694","2007-10-11T00:00:00.000","Repair","Approval","0.0","2718 Mistletoe St","New Orleans","LA","70118","41030119","3662819.16","535137.97","-90.12693769554187","29.965997894992203","273949",
"Open","22-00999-MPM","810 N Rampart St","1 - Inspection","The case was filed on 03/11/2022 and the property is awaiting inspection to proceed further.","2022-03-11T15:02:40.000","2022-03-11T15:02:40.000",,,,,,"21-22605-VCGEN","2021-08-09T10:05:37.000","VCC General Work","Permit Issued","0.0","810 N Rampart St","New Orleans","LA","70116","41022157","3681721.14","533692.98","-90.06729622915114","29.961463921894147","274235",
"Open","21-08807-MPM","825-27 Pleasant St.","1 - Inspection","The case was filed on 12/17/2021 and the property is awaiting inspection to proceed further.","2021-12-17T08:49:05.000","2021-12-17T08:49:05.000",,,,,,,,,,"0.0",,,,,,"-1.0","-1.0","-101.51779913517808","28.09889070681073","273111",
"Open","21-08803-MPM","4232 America St","1 - Inspection","The case was filed on 12/16/2021 and the property is awaiting inspection to proceed further.","2021-12-16T16:32:56.000","2021-12-16T16:32:56.000",,,,,,"10BLD-01246","2010-04-02T00:00:00.000","Demolition","Application Acceptance - Approved No Review","0.0","4232 America St","New Orleans","LA","70126","41094183","3699936.35","552346.9","-90.00909531810063","30.01218938483944","273107",
"Open","22-01105-MPM","1624 Broadway St","1 - Inspection","The case was filed on 03/18/2022 and the property is awaiting inspection to proceed further.","2022-03-18T13:49:14.000","2022-03-18T13:49:14.000",,,,,,"06CNO-60858","2006-05-11T00:00:00.000","Repair","Approval","0.0","1624 Broadway St","New Orleans","LA","70118","41043732","3665042.58","527897.91","-90.12015824245148","29.946025533940503","274341",
"Open","22-02783-MPM","1401 Henry Clay Ave, 6131 Pitt St","1 - Inspection","The case was filed on 06/13/2022 and the property is awaiting inspection to proceed further.","2022-06-13T14:36:56.000","2022-06-13T14:36:56.000",,,,,,"22-16919-HVAC","2022-06-07T11:09:19.000","Mechanical HVAC","Permit Issued","0.0","1401 Henry Clay Ave","New Orleans","LA","70118","41057289","3664622.61","521472.23","-90.12169876670364","29.928369179601454","276023",
"Open","22-02638-MPM","5870 E Deer Park Blvd","1 - Inspection","The case was filed on 06/07/2022 and the property is awaiting inspection to proceed further.","2022-06-07T18:19:38.000","2022-06-07T18:19:38.000",,,,,,,,,,"0.0","5870 E Deer Park Blvd","New Orleans","LA","70127","41113013","3712252.55","561213.73","-89.96985014260078","30.036172547803336","275878",
"Open","22-01505-MPM","5809 Marshal Foch St","1 - Inspection","The case was filed on 04/20/2022 and the property is awaiting inspection to proceed further.","2022-04-20T09:59:11.000","2022-04-20T09:59:11.000",,,,,,"15-01602-ERPR","2015-01-16T12:23:37.000","Electrical Repair / Replacement / Addition","Permit Issued","0.0","5809 Marshal Foch St","New Orleans","LA","70124","41012541","3669798.85","545961.96","-90.10452939890752","29.995556287845034","274743",
"Open","21-08852-MPM","1239-1241 Annette St","1 - Inspection","The case was filed on 12/21/2021 and the property is awaiting inspection to proceed further.","2021-12-21T16:03:16.000","2021-12-21T16:03:16.000",,,,,,"18-13658-ECOA","2018-04-24T07:45:05.000","Change of Address","Permit Issued","0.0","1241 Annette St","New Orleans","LA","70116","41067749","3683159.43","536485.33","-90.06265657682351","29.969098148124846","273156",
"Open","22-00332-MPM","1300-1302 Music St","1 - Inspection","The case was filed on 01/25/2022 and the property is awaiting inspection to proceed further.","2022-01-25T15:13:01.000","2022-01-25T15:13:01.000",,,,,,"11ELC-06955","2011-07-03T00:00:00.000","Electrical Repair / Replacement / Addition","Permit Issuance - Active","0.0","1302 Music St","New Orleans","LA","70117","41059961","3686756.9","537225.0","-90.05126940332198","29.97102179706556","273566",
