"nopd_item","type","typetext","priority","mapx","mapy","timecreate","timedispatch","timearrive","timeclosed","disposition","dispositiontext","block_address","zip","policedistrict","location"
"A0000111","17M","MUNICIPAL  ATTTACHME","1F","3673089.00000000","533629.00000000","2011-01-01T00:00:02.000",,,"2011-01-01T00:00:03.000","NAT","NECESSARY ACTION TAKEN","007XX S Dupre St","70119","1","(29.961547427695, -90.094557283621)"
"A0000211","17M","MUNICIPAL  ATTTACHME","1F","3673089.00000000","533629.00000000","2011-01-01T00:00:02.000",,,"2011-01-01T00:00:04.000","NAT","NECESSARY ACTION TAKEN","007XX S Dupre St","70119","1","(29.961547427695, -90.094557283621)"
"A0000311","17M","MUNICIPAL  ATTTACHME","1F","3673089.00000000","533629.00000000","2011-01-01T00:00:02.000",,,"2011-01-01T00:00:04.000","NAT","NECESSARY ACTION TAKEN","007XX S Dupre St","70119","1","(29.961547427695, -90.094557283621)"
"A0000411","17M","MUNICIPAL  ATTTACHME","1F","3673089.00000000","533629.00000000","2011-01-01T00:00:02.000",,,"2011-01-01T00:00:04.000","NAT","NECESSARY ACTION TAKEN","007XX S Dupre St","70119","1","(29.961547427695, -90.094557283621)"
"A0000511","17M","MUNICIPAL  ATTTACHME","1F","3673089.00000000","533629.00000000","2011-01-01T00:00:02.000",,,"2011-01-01T00:00:05.000","NAT","NECESSARY ACTION TAKEN","007XX S Dupre St","70119","1","(29.961547427695, -90.094557283621)"
"A0000611","17F","FUGITIVE ATTTACHMENT","1G","3673089.00000000","533629.00000000","2011-01-01T00:00:15.000",,,"2011-01-01T00:00:16.000","NAT","NECESSARY ACTION TAKEN","007XX S Dupre St","70119","1","(29.961547427695, -90.094557283621)"
"A0000711","17F","FUGITIVE ATTTACHMENT","1G","3673089.00000000","533629.00000000","2011-01-01T00:00:15.000",,,"2011-01-01T00:00:17.000","NAT","NECESSARY ACTION TAKEN","007XX S Dupre St","70119","1","(29.961547427695, -90.094557283621)"
"A0000811","17F","FUGITIVE ATTTACHMENT","1G","3673089.00000000","533629.00000000","2011-01-01T00:00:15.000",,,"2011-01-01T00:00:17.000","NAT","NECESSARY ACTION TAKEN","007XX S Dupre St","70119","1","(29.961547427695, -90.094557283621)"
"A0000911","17F","FUGITIVE ATTTACHMENT","1G","3673089.00000000","533629.00000000","2011-01-01T00:00:15.000",,,"2011-01-01T00:00:18.000","NAT","NECESSARY ACTION TAKEN","007XX S Dupre St","70119","1","(29.961547427695, -90.094557283621)"
"A0001011","17F","FUGITIVE ATTTACHMENT","1G","3673089.00000000","533629.00000000","2011-01-01T00:00:15.000",,,"2011-01-01T00:00:18.000","NAT","NECESSARY ACTION TAKEN","007XX S Dupre St","70119","1","(29.961547427695, -90.094557283621)"
