"weber","bates","_3rd","language","_41_50"
"WEBER","BATES","3rd","Math","45.30"
"WEBER","BATES","4th","Language","43.20"
"WEBER","BATES","4th","Math","62.70"
"WEBER","BATES","4th","Science","43.60"
"WEBER","BATES","5th","Language","37.40"
"WEBER","BATES","5th","Math","49.50"
"WEBER","BATES","5th","Science","44.40"
"WEBER","BATES","6th","Language","41.70"
"WEBER","BATES","6th","Math","36.50"
"WEBER","BATES","6th","Science","43.50"
"WEBER","BONNEVILLE HS","10th","Language","29.00"
"WEBER","BONNEVILLE HS","11th","Language","26.10"
"WEBER","BONNEVILLE HS",,"Biology","27.10"
"WEBER","BONNEVILLE HS",,"Chemistry","31.50"
"WEBER","BONNEVILLE HS",,"Science",
"WEBER","BONNEVILLE HS",,"Physics","19.60"
"WEBER","BONNEVILLE HS",,"Math I",
"WEBER","BONNEVILLE HS",,"Math II","10.80"
"WEBER","BONNEVILLE HS",,"Math III",
"WEBER","CANYON View","4th","Language",
"WEBER","CANYON View","4th","Math",
"WEBER","CANYON View","4th","Science",
"WEBER","CANYON View","5th","Language",
"WEBER","CANYON View","5th","Math",
"WEBER","CANYON View","5th","Science",
"WEBER","CANYON View","6th","Language",
"WEBER","CANYON View","6th","Math",
"WEBER","CANYON View","6th","Science",
"WEBER","CLUB Heights","3rd","Language","29.20"
"WEBER","CLUB Heights","3rd","Math","12.80"
"WEBER","CLUB Heights","4th","Language","27.30"
"WEBER","CLUB Heights","4th","Math","30.20"
"WEBER","CLUB Heights","4th","Science","30.20"
"WEBER","CLUB Heights","5th","Language","17.10"
"WEBER","CLUB Heights","5th","Math","29.30"
"WEBER","CLUB Heights","5th","Science","22.00"
"WEBER","CLUB Heights","6th","Language","24.50"
"WEBER","CLUB Heights","6th","Math","20.40"
"WEBER","CLUB Heights","6th","Science","18.00"
"WEBER","COUNTRY View","3rd","Language","47.20"
"WEBER","COUNTRY View","3rd","Math","52.80"
"WEBER","COUNTRY View","4th","Language","32.90"
"WEBER","COUNTRY View","4th","Math","31.30"
"WEBER","COUNTRY View","4th","Science","36.30"
"WEBER","COUNTRY View","5th","Language","33.80"
"WEBER","COUNTRY View","5th","Math","32.50"
"WEBER","COUNTRY View","5th","Science","38.80"
"WEBER","COUNTRY View","6th","Language","39.50"
"WEBER","COUNTRY View","6th","Math","14.80"
"WEBER","COUNTRY View","6th","Science","30.90"
"WEBER","FARR West","3rd","Language","46.30"
"WEBER","FARR West","3rd","Math","43.40"
"WEBER","FARR West","4th","Language","37.20"
"WEBER","FARR West","4th","Math","47.50"
"WEBER","FARR West","4th","Science","63.10"
"WEBER","FARR West","5th","Language","33.90"
"WEBER","FARR West","5th","Math","56.30"
"WEBER","FARR West","5th","Science","52.90"
"WEBER","FARR West","6th","Language","38.10"
"WEBER","FARR West","6th","Math","43.90"
"WEBER","FARR West","6th","Science","45.30"
"WEBER","FREEDOM","3rd","Language","48.70"
"WEBER","FREEDOM","3rd","Math","43.60"
"WEBER","FREEDOM","4th","Language","37.60"
"WEBER","FREEDOM","4th","Math","46.00"
"WEBER","FREEDOM","4th","Science","42.60"
"WEBER","FREEDOM","5th","Language","25.30"
"WEBER","FREEDOM","5th","Math","35.80"
"WEBER","FREEDOM","5th","Science","33.70"
"WEBER","FREEDOM","6th","Language","35.60"
"WEBER","FREEDOM","6th","Math","34.40"
"WEBER","FREEDOM","6th","Science","24.40"
"WEBER","FREMONT HS","10th","Language","54.00"
"WEBER","FREMONT HS","11th","Language","52.40"
"WEBER","FREMONT HS",,"Biology","33.10"
"WEBER","FREMONT HS",,"Chemistry","51.30"
"WEBER","FREMONT HS",,"Physics","34.40"
"WEBER","FREMONT HS",,"Math",
