"juab","juab_hs","_10th","language","_42_00"
"JUAB","JUAB HS","11th","Language","40.80"
"JUAB","JUAB HS","9th","Language","32.60"
"JUAB","JUAB HS",,"Biology","35.80"
"JUAB","JUAB HS",,"Chemistry","60.30"
"JUAB","JUAB HS",,"Science","50.00"
"JUAB","JUAB HS",,"Physics","63.80"
"JUAB","JUAB HS",,"Math I","36.80"
"JUAB","JUAB HS",,"Math II","37.20"
"JUAB","JUAB HS",,"Math III","43.90"
"JUAB","JUAB JR","7th","Language","55.20"
"JUAB","JUAB JR","7th","Math","39.50"
"JUAB","JUAB JR","7th","Science","42.20"
"JUAB","JUAB JR","8th","Language","49.40"
"JUAB","JUAB JR","8th","Math","33.30"
"JUAB","JUAB JR","8th","Science","40.80"
"JUAB","MONA","3rd","Language","39.70"
"JUAB","MONA","3rd","Math","51.70"
"JUAB","MONA","4th","Language","38.60"
"JUAB","MONA","4th","Math","60.00"
"JUAB","MONA","4th","Science","44.40"
"JUAB","MONA","5th","Language","54.50"
"JUAB","MONA","5th","Math","66.70"
"JUAB","MONA","5th","Science","53.00"
"JUAB","MONA","6th","Language","57.10"
"JUAB","MONA","6th","Math","53.60"
"JUAB","MONA","6th","Science","55.40"
"JUAB","NEBO View","3rd","Language","37.00"
"JUAB","NEBO View","3rd","Math","56.50"
"JUAB","NEBO View","4th","Language","32.70"
"JUAB","NEBO View","4th","Math","35.40"
"JUAB","NEBO View","4th","Science","50.00"
"JUAB","NEBO View","5th","Language","50.00"
"JUAB","NEBO View","5th","Math","47.70"
"JUAB","NEBO View","5th","Science","56.80"
"JUAB","NEBO View","6th","Language","52.20"
"JUAB","NEBO View","6th","Math","37.00"
"JUAB","NEBO View","6th","Science","50.00"
"JUAB","NEBO View","7th","Math",
"JUAB","RED Cliff","3rd","Language","41.40"
"JUAB","RED Cliff","3rd","Math","52.90"
"JUAB","RED Cliff","4th","Language","23.90"
"JUAB","RED Cliff","4th","Math","27.70"
"JUAB","RED Cliff","4th","Science","23.10"
"JUAB","RED Cliff","5th","Language","35.60"
"JUAB","RED Cliff","5th","Math","36.10"
"JUAB","RED Cliff","5th","Science","34.70"
"JUAB","RED Cliff","6th","Language","44.60"
"JUAB","RED Cliff","6th","Math","37.50"
"JUAB","RED Cliff","6th","Science","49.20"
