"zip_code","state_name","plan_selections"
"84001","Utah","*"
"84002","Utah","*"
"84003","Utah","1333"
"84004","Utah","361"
"84005","Utah","788"
"84006","Utah","*"
"84007","Utah","*"
"84008","Utah","*"
"84010","Utah","1466"
"84011","Utah","*"
"84013","Utah","*"
"84014","Utah","432"
"84015","Utah","1324"
"84016","Utah","*"
"84017","Utah","127"
"84018","Utah","*"
"84020","Utah","1452"
"84021","Utah","94"
"84022","Utah","*"
"84023","Utah","*"
"84024","Utah","*"
"84025","Utah","586"
"84026","Utah","*"
"84027","Utah","*"
"84028","Utah","52"
"84029","Utah","237"
"84031","Utah","*"
"84032","Utah","868"
"84033","Utah","*"
"84034","Utah","*"
"84035","Utah","*"
"84036","Utah","250"
"84037","Utah","864"
"84038","Utah","*"
"84039","Utah","*"
"84040","Utah","578"
"84041","Utah","1206"
"84042","Utah","368"
"84043","Utah","1654"
"84044","Utah","715"
"84045","Utah","666"
"84046","Utah","*"
"84047","Utah","1067"
"84049","Utah","252"
"84050","Utah","312"
"84051","Utah","*"
"84052","Utah","*"
"84053","Utah","*"
"84054","Utah","502"
"84055","Utah","62"
"84056","Utah","*"
"84057","Utah","1116"
"84058","Utah","985"
"84059","Utah","*"
"84060","Utah","457"
"84061","Utah","*"
"84062","Utah","1304"
"84063","Utah","*"
"84064","Utah","*"
"84065","Utah","1062"
"84066","Utah","212"
"84067","Utah","829"
"84068","Utah","*"
"84069","Utah","*"
"84070","Utah","852"
"84071","Utah","*"
"84072","Utah","*"
"84073","Utah","*"
"84074","Utah","952"
"84075","Utah","545"
"84076","Utah","*"
"84078","Utah","491"
"84079","Utah","*"
"84080","Utah","*"
"84081","Utah","1021"
"84082","Utah","*"
"84083","Utah","*"
"84084","Utah","796"
"84085","Utah","*"
"84086","Utah","*"
"84087","Utah","368"
"84088","Utah","1058"
"84089","Utah","*"
"84090","Utah","*"
"84091","Utah","*"
"84092","Utah","1009"
"84093","Utah","834"
"84094","Utah","1049"
"84095","Utah","1811"
"84096","Utah","1119"
"84097","Utah","738"
"84098","Utah","882"
"84101","Utah","214"
"84102","Utah","716"
"84103","Utah","923"
"84104","Utah","656"
"84105","Utah","1017"
"84106","Utah","1330"
"84107","Utah","1165"
"84108","Utah","668"
"84109","Utah","942"
"84110","Utah","*"
"84111","Utah","444"
"84112","Utah","*"
"84113","Utah","*"
"84114","Utah","*"
"84115","Utah","907"
"84116","Utah","910"
"84117","Utah","914"
"84118","Utah","1089"
"84119","Utah","1484"
"84120","Utah","1368"
"84121","Utah","1469"
"84122","Utah","*"
"84123","Utah","1140"
"84124","Utah","718"
"84125","Utah","*"
"84126","Utah","*"
"84127","Utah","*"
"84128","Utah","824"
"84129","Utah","1210"
"84130","Utah","*"
"84131","Utah","*"
"84132","Utah","*"
"84133","Utah","*"
"84134","Utah","*"
"84136","Utah","*"
"84138","Utah","*"
"84139","Utah","*"
"84141","Utah","*"
"84143","Utah","*"
"84145","Utah","*"
"84147","Utah","*"
"84148","Utah","*"
"84150","Utah","*"
"84151","Utah","*"
"84152","Utah","*"
"84157","Utah","*"
"84158","Utah","*"
"84165","Utah","*"
"84170","Utah","*"
"84171","Utah","*"
"84180","Utah","*"
"84184","Utah","*"
"84189","Utah","*"
"84190","Utah","*"
"84199","Utah","*"
"84201","Utah","*"
"84244","Utah","*"
"84301","Utah","*"
"84302","Utah","636"
"84304","Utah","*"
"84305","Utah","*"
"84306","Utah","*"
"84307","Utah","*"
"84308","Utah","*"
"84309","Utah","*"
"84310","Utah","163"
"84311","Utah","*"
"84312","Utah","82"
"84313","Utah","*"
"84314","Utah","*"
"84315","Utah","168"
"84316","Utah","*"
"84317","Utah","55"
"84318","Utah","165"
"84319","Utah","201"
"84320","Utah","88"
"84321","Utah","1203"
"84322","Utah","*"
"84323","Utah","*"
"84324","Utah","*"
"84325","Utah","71"
"84326","Utah","65"
"84327","Utah","*"
"84328","Utah","60"
"84329","Utah","*"
"84330","Utah","*"
"84331","Utah","*"
"84332","Utah","275"
"84333","Utah","117"
"84334","Utah","*"
"84335","Utah","462"
"84336","Utah","*"
"84337","Utah","259"
"84338","Utah","*"
"84339","Utah","166"
"84340","Utah","93"
"84341","Utah","550"
"84401","Utah","800"
"84402","Utah","*"
"84403","Utah","909"
"84404","Utah","1369"
"84405","Utah","818"
"84407","Utah","*"
"84408","Utah","*"
"84409","Utah","*"
"84412","Utah","*"
"84414","Utah","618"
"84415","Utah","*"
"84501","Utah","297"
"84510","Utah","*"
