"license","license_type","last_name","first_name","middle_name","status","issue_date","expiration_date","association","association_license_number","broker_license","none"
"7885400-CN00","Real Estate Company",,,,"Active","2011-01-10T00:00:00.000",,"1 UTAH REALTY","7885400-CN00","5491919-PB00",
"5482601-CN00","Real Estate Company",,,,"Active","1997-10-17T00:00:00.000",,"1031 EXCHANGE PLACE, LC","5482601-CN00","5483759-PB00",
"5615140-MN00","Property Management Company",,,,"Active","2008-12-01T00:00:00.000",,"1031 PROPERTY CARE LLC","5615140-MN00","5502549-DB00",
"6219147-CN00","Real Estate Company",,,,"Active","2006-05-15T00:00:00.000",,"1ST CHOICE REALTY LC","6219147-CN00","5487261-PB00",
"7212121-CN00","Real Estate Company",,,,"Active","2008-12-11T00:00:00.000",,"1ST TO SELL REALTY PLLC","7212121-CN00","5493773-PB00",
"7503645-CN00","Real Estate Company",,,,"Active","2009-10-27T00:00:00.000",,"1TOUCHREALTY.COM","7503645-CN00","6042911-PB00",
"5472155-CN00","Real Estate Company",,,,"Active","1994-09-06T00:00:00.000",,"2002 MANAGEMENT","5472155-CN00","5460820-PB00",
"5484111-CN00","Real Estate Company",,,,"Active","1998-08-10T00:00:00.000",,"2BEMA NETWORK, INC","5484111-CN00","5454103-PB00",
"5615211-CN00","Real Estate Company",,,,"Active","2004-02-06T00:00:00.000",,"30 DAY REALTY","5615211-CN00","5451330-PB00",
"5479066-CN00","Real Estate Company",,,,"Active","1999-02-08T00:00:00.000",,"7 SUNS REALTY","5479066-CN00","5450790-PB00",
"5789071-CN00","Real Estate Company",,,,"Active","2004-12-09T00:00:00.000",,"A  2  Z  REALTY, PLLC","5789071-CN00","5501961-PB00",
"5462405-CN00","Real Estate Company",,,,"Active","1998-01-15T00:00:00.000",,"A A SMITH LAND COMPANY","5462405-CN00","5486976-PB00",
"7664505-MN00","Property Management Company",,,,"Active","2010-04-20T00:00:00.000",,"A C MANAGEMENT LLC","7664505-MN00","5451639-DB00",
"7055194-CN00","Real Estate Company",,,,"Active","2008-06-24T00:00:00.000",,"A DISCOUNT REALTY PLLC","7055194-CN00","5503552-PB00",
"7687087-CN00","Real Estate Company",,,,"Active","2010-05-20T00:00:00.000",,"A GUARDIAN REAL ESTATE SERVICES CORP","7687087-CN00","6519145-PB00",
"5508585-CN00","Real Estate Company",,,,"Active","2003-10-24T00:00:00.000",,"A PLUS REALTY, LLC","5508585-CN00","5496147-PB00",
"5479715-CN00","Real Estate Company",,,,"Active","1993-02-16T00:00:00.000",,"A REALTY & LOCK & COIN SERVICE","5479715-CN00","5458661-PB00",
"5589237-CN00","Real Estate Company",,,,"Active","2004-01-09T00:00:00.000",,"A'VANTI GROUP INC/THE","5589237-CN00","5495300-PB00",
"6162311-CN00","Real Estate Company",,,,"Active","2006-03-24T00:00:00.000",,"A-WIN4ALL REALTY","6162311-CN00","5465921-PB00",
"5462269-CN00","Real Estate Company",,,,"Active","1995-10-13T00:00:00.000",,"A.O.K. INDUSTRIAL & COMMERCIAL REALTY","5462269-CN00","5457710-PB00",
"8526925-CN00","Real Estate Company",,,,"Active","2012-12-21T00:00:00.000",,"AARON CUHA","8526925-CN00","5505381-PB00",
"5472597-CN00","Real Estate Company",,,,"Active","1986-02-07T00:00:00.000",,"AB REALTY","5472597-CN00","5469482-PB00",
"7799888-CN00","Real Estate Company",,,,"Active","2010-09-29T00:00:00.000",,"ABC GROUP LLC","7799888-CN00","5451713-PB00",
"5637289-CN00","Real Estate Company",,,,"Active","2004-04-28T00:00:00.000",,"ABC REALTY","5637289-CN00","5637282-PB00",
"7515865-CN00","Real Estate Company",,,,"Active","2009-11-09T00:00:00.000",,"ABSOLUTE ADVANTAGE REALTY LLC","7515865-CN00","5498184-PB00",
"7252536-CN00","Real Estate Company",,,,"Active","2009-01-28T00:00:00.000",,"ABSOLUTE REALTY LLC","7252536-CN00","5481139-PB00",
"8874159-CN00","Real Estate Company",,,,"Active","2013-12-02T00:00:00.000",,"ABUNDANCE REALTY GROUP","8874159-CN00","5450559-PB00",
"5826289-CN00","Real Estate Company",,,,"Active","2005-01-20T00:00:00.000",,"ACADEMY REAL ESTATE","5826289-CN00","5452987-PB00",
"5506807-CN00","Real Estate Company",,,,"Active","2003-08-22T00:00:00.000",,"ACCESS UTAH REALTY","5506807-CN00","5507078-PB00",
"5475531-CN00","Real Estate Company",,,,"Active","1997-05-27T00:00:00.000",,"ACCREDITED REALTORS OF AMERICA","5475531-CN00","5471305-PB00",
"7161901-CN00","Real Estate Company",,,,"Active","2008-10-15T00:00:00.000",,"ACORN REALTY","7161901-CN00","5336622-PB00",
"6430417-CN00","Real Estate Company",,,,"Active","2006-12-13T00:00:00.000",,"ACQUIRE REALTY","6430417-CN00","5450678-PB00",
"6916162-CN00","Real Estate Company",,,,"Active","2008-02-20T00:00:00.000",,"ACTION PROPERTY MANAGEMENT & SALES, LLC","6916162-CN00","5498938-PB00",
"7105178-CN00","Real Estate Company",,,,"Active","2008-08-18T00:00:00.000",,"ACTION REALTY NETWORK PARK CITY","7105178-CN00","5481920-PB00",
