"grid_address","watts","fixture_style","bulb_type","bridge_indicator","pole_material","lumens","latitude","longitude","geocoded_column","street_address","work_order_number","work_order_status","entered_date","entered_by_user","number_of_lights_out","resolution","date_completed","number_of_days_out","light_outage"
"N0418XG7300","70","TRAD","High Pressure Sodium","No","Concrete","5000","36.8837","-76.2926","(36.8837097695751, -76.2926157176912)",,,,,,,,,,
"N0417WD0500","100","TRAD","High Pressure Sodium","No","Concrete","8000","36.8593","-76.2953","(36.8593425188875, -76.2952956643638)",,,,,,,,,,
"N0417OH4500","100","TRAD","High Pressure Sodium","No","Fiberglass","8000","36.8645","-76.3086","(36.8644724754757, -76.3086391511938)",,,,,,,,,,
"N0419MO0000","70","ENFL","High Pressure Sodium","No","Wood","5000","36.9151","-76.3129","(36.9150620425137, -76.3128644194889)",,,,,,,,,,
"N0517OF3500","100","ENCL","High Pressure Sodium","No","Wood","8000","36.862","-76.2667","(36.8619716132742, -76.2667371166692)",,,,,,,,,,
"N0518SD0900","70","ENFL","High Pressure Sodium","No","Wood","5000","36.8806","-76.2605","(36.8806032471628, -76.2604891555337)",,,,,,,,,,
"N0417WI7600","100","ENCL","High Pressure Sodium","No","Wood","8000","36.8662","-76.2942","(36.8662134283125, -76.2942283438901)",,,,,,,,,,
"N0517WM9000","70","ENCL","High Pressure Sodium","No","Wood","5000","36.8708","-76.2559","(36.8707737977174, -76.2558705076495)",,,,,,,,,,
"N0418WG1300","150","COXX","LED","No","Wood","3","36.8837","-76.2951","(36.8836788966649, -76.2951327315182)",,,,,,,,,,
"N0517FL3400","70","ENCL","High Pressure Sodium","No","Wood","5000","36.8699","-76.2822","(36.8698655987284, -76.2821612642998)",,,,,,,,,,
"N0620UA6100","150","ENFL","High Pressure Sodium","No","Wood","14000","36.917","-76.2143","(36.9169900052028, -76.2143216728256)",,,,,,,,,,
"N0518GH9200","70","TRAD","High Pressure Sodium","No","Concrete","5000","36.8852","-76.2795","(36.8851794373864, -76.2794839500589)",,,,,,,,,,
"N0619RK0400","100","CLTC","LED","No","Fiberglass","3","36.9103","-76.2207","(36.9102972691996, -76.220666420513)",,,,,,,,,,
"N0619TB7300","70","ENFL","High Pressure Sodium","No","Wood","5000","36.9005","-76.2159","(36.900481704563, -76.2158740749005)",,,,,,,,,,
"N0521TM5300","150","ENFL","High Pressure Sodium","No","Aluminum","14000","36.9547","-76.2582","(36.9547189572409, -76.258161009824)",,,,,,,,,,
"N0417ON7100","100","ENCL","High Pressure Sodium","No","Wood","8000","36.8728","-76.3073","(36.8727668809428, -76.30734329421)",,,,,,,,,,
"N0618DL0800","100","ENCL","High Pressure Sodium","No","Wood","8000","36.8912","-76.2443","(36.8912167568949, -76.2442773781974)",,,,,,,,,,
"N0620AM8100","250","ULTR","High Pressure Sodium","No","Wood","23000","36.9334","-76.2481","(36.9333916910088, -76.2481313939195)",,,,,,,,,,
"N0519SG3700","100","ENCL","High Pressure Sodium","No","Wood","8000","36.9051","-76.2601","(36.9051134199355, -76.2600968368699)",,,,,,,,,,
"N0717MA8400","400","ULTR","High Pressure Sodium","No","Wood","42000","36.8547","-76.1863","(36.8547014077797, -76.1862535683532)",,,,,,,,,,
"N0620CH1100","70","ENFL","High Pressure Sodium","No","Wood","5000","36.9268","-76.2461","(36.9267680806124, -76.2460860259925)",,,,,,,,,,
"N0620JD5100","70","ENFL","High Pressure Sodium","No","Wood","5000","36.9212","-76.2332","(36.9212207786235, -76.2332206370217)",,,,,,,,,,
"N0519TN8900","70","ENCL","High Pressure Sodium","No","Wood","5000","36.9151","-76.2576","(36.9150749015512, -76.2576194998703)",,,,,,,,,,
"N0420WA8400","70","ENCL","High Pressure Sodium","No","Wood","5000","36.9175","-76.2938","(36.9174770898534, -76.2938243911925)",,,,,,,,,,
"N0517XM8500","400","INT","High Pressure Sodium","No","Aluminum","42000","36.8718","-76.2508","(36.8717724773813, -76.2507979041905)",,,,,,,,,,
"N0516IJ0900","400","ENCL","High Pressure Sodium","No","Aluminum","42000","36.8469","-76.2779","(36.8469288414741, -76.2778610566695)",,,,,,,,,,
"N0519MN6500","70","ENCL","High Pressure Sodium","No","Wood","5000","36.9141","-76.2696","(36.9140968639763, -76.2696064858015)",,,,,,,,,,
"N0621BD5800","70","ENFL","High Pressure Sodium","No","Wood","5000","36.943","-76.2466","(36.9430203288168, -76.2466472205389)",,,,,,,,,,
"N0520RE9100","70","ENCL","High Pressure Sodium","No","Wood","5000","36.9224","-76.2608","(36.9224415249753, -76.2608370623652)",,,,,,,,,,
"N0521WH9000","100","ENFL","High Pressure Sodium","No","Wood","8000","36.9473","-76.2522","(36.9472811567017, -76.2522265979215)",,,,,,,,,,
"N0620FM0600","250","ENFL","High Pressure Sodium","No","Wood","23000","36.9341","-76.2412","(36.9340631479959, -76.241157789961)",,,,,,,,,,
"N0516XO3200","100","ENCL","High Pressure Sodium","No","Wood","8000","36.8531","-76.2516","(36.8530913776823, -76.2515854553176)",,,,,,,,,,
"N0618NJ6100","100","ENCL","High Pressure Sodium","No","Wood","8000","36.8877","-76.2261","(36.8877455371336, -76.226109366227)",,,,,,,,,,
"N0518EC2400","70","TRAD","High Pressure Sodium","No","Fiberglass","5000","36.8785","-76.2841","(36.8784938113128, -76.2840789289176)",,,,,,,,,,
"N0520AC8300","250","ENFL","High Pressure Sodium","No","Fiberglass","23000","36.9199","-76.2901","(36.9199446116047, -76.2900694952833)",,,,,,,,,,
"N0720MI7300","100","TRAD","High Pressure Sodium","No","Fiberglass","8000","36.9278","-76.1863","(36.9278391697942, -76.1863216246353)",,,,,,,,,,
"N0617XP3000","400","ENFL","High Pressure Sodium","No","Fiberglass","42000","36.8749","-76.2102","(36.8748904146376, -76.2101548743099)",,,,,,,,,,
"N0420WA9700","150","ENCL","High Pressure Sodium","No","Wood","14000","36.9178","-76.2941","(36.9178140237561, -76.29406436084)",,,,,,,,,,
"N0521UJ9200","70","ENFL","High Pressure Sodium","No","Wood","5000","36.951","-76.2569","(36.9510170442068, -76.256945807209)",,,,,,,,,,
"N0620EA6600","250","ULFL","High Pressure Sodium","No","Wood","23000","36.9176","-76.2418","(36.9176276194623, -76.241766355602)",,,,,,,,,,
"N0617SB2500","250","ENFL","High Pressure Sodium","No","Steel","23000","36.8564","-76.2189","(36.8563755980289, -76.2188663062466)",,,,,,,,,,
"N0620UI2400","100","ENCL","High Pressure Sodium","No","Wood","8000","36.9286","-76.2151","(36.9286228022067, -76.2151261053441)",,,,,,,,,,
"N0419QC2500","100","ENFL","High Pressure Sodium","No","Wood","8000","36.8995","-76.3054","(36.8995194530892, -76.305358660005)",,,,,,,,,,
"N0717FE8100","250","ULTR","High Pressure Sodium","No","Wood","23000","36.8615","-76.1996","(36.8614559719801, -76.1996025602467)",,,,,,,,,,
"N0417XO8000","150","ENFL","High Pressure Sodium","No","Wood","14000","36.8735","-76.2924","(36.873536480973, -76.292397851652)",,,,,,,,,,
"N0519PM6400","70","ENFL","High Pressure Sodium","No","Wood","5000","36.913","-76.2647","(36.9130000534424, -76.2646571743433)",,,,,,,,,,
"N0517BF9600","70","TRAD","High Pressure Sodium","No","Concrete","5000","36.8622","-76.2879","(36.8622327997411, -76.2878969719807)",,,,,,,,,,
"N0417TA5000","100","TRAD","High Pressure Sodium","No","Fiberglass","8000","36.8555","-76.3001","(36.8554820844795, -76.3000841109712)",,,,,,,,,,
"N0521NB6400","100","ENCL","High Pressure Sodium","No","Wood","8000","36.9397","-76.2679","(36.9396659235325, -76.2679482815666)",,,,,,,,,,
"N0417UH7000","70","TRAD","High Pressure Sodium","No","Concrete","5000","36.8639","-76.2979","(36.8639275886313, -76.2979224419214)",,,,,,,,,,
"N0616OL5100","70","ENFL","High Pressure Sodium","No","Wood","5000","36.849","-76.2245","(36.8490000010627, -76.2244676103389)",,,,,,,,,,
"N0521OH6200","150","ENFL","High Pressure Sodium","No","Fiberglass","14000","36.9475","-76.2667","(36.9474614590449, -76.2666726734248)",,,,,,,,,,
"N0518CK5600","70","TRAD","High Pressure Sodium","No","Fiberglass","5000","36.8898","-76.2871","(36.8898032270185, -76.2870542205186)",,,,,,,,,,
"N0515PL4700","100","ENCL","High Pressure Sodium","No","Wood","8000","36.8289","-76.2648","(36.8289027116376, -76.2648262034133)",,,,,,,,,,
"N0516BN3900","150","ACBA","LED","No","Aluminum","3","36.8528","-76.289","(36.8527510562189, -76.2889674141139)","500 Granby St","33353661","Follow-up","2022-06-14T08:47:27.000","Dominion","1","REPLACE LED HEAD NOT LISTED",,"85","Light Outage"
"N0518RA9000","70","ENCL","High Pressure Sodium","No","Wood","5000","36.8768","-76.2611","(36.8767581380506, -76.2610534125243)",,,,,,,,,,
"N0616TL3300","70","ENFL","High Pressure Sodium","No","Wood","5000","36.8486","-76.2164","(36.8486095669378, -76.2163841788367)",,,,,,,,,,
"N0516KP1100","400","ENCL","High Pressure Sodium","No","Concrete","42000","36.8542","-76.2742","(36.8541724993049, -76.2741719644587)",,,,,,,,,,
"N0519SO9500","70","ENCL","High Pressure Sodium","No","Wood","5000","36.9159","-76.2591","(36.9158760874498, -76.2591491821586)",,,,,,,,,,
