"department","division","position_title","city","gender","ethnicity","education","veteran_status","startyear","birthyear"
"Police","Police Administration - Sworn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Not Indicated","2010","1985"
"General Services","General Services-Parking Fac","Accountant I","Norfolk","Female","Black","Masters Level Degree","Not Indicated","2018","1978"
"Utilities","Utilities Water Distribution","Crew Leader I","Norfolk","Male","White","Not Indicated","Not Indicated","2012","1986"
"Utilities","Utilities Water Quality","Asst Supt of Utility Division","Norfolk","Female","Black","Not Indicated","Not Indicated","2008","1983"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist Sr","Norfolk","Female","","Not Indicated","Not Indicated","2011","1967"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Virginia Beach","Female","White","Not Indicated","Not Indicated","2008","1980"
"Utilities","Utilities Engineering","Engineering Technician III","Oxon Hill","Female","Black","Not Indicated","Not Indicated","2011","1965"
"Parks and Recreation","RPOS - Landscape Services","Athletics Groundskeeper","Norfolk","Male","Black","Not Indicated","Not Indicated","2019","1981"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Norfolk","Female","White","HS Graduate or Equivalent","Not Indicated","2012","1976"
"Police","Police Field Operations-Sworn","Master Police Officer","Suffolk","Male","White","Not Indicated","Not Indicated","2009","1984"
"Elections","Elections","Election Aide","Norfolk","Female","Black","Not Indicated","Not Indicated","2012","1955"
"Police","Police Administration - Sworn","Master Police Officer","Virginia Beach","Male","White","HS Graduate or Equivalent","Not Indicated","2012","1987"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Virginia Beach","Female","White","HS Graduate or Equivalent","Not Indicated","2012","1989"
"Norfolk Community Services Board","Clinical Acute Services Admin","Administrative Assistant II","Suffolk","Female","Black","Not Indicated","Not Indicated","2012","1984"
"Norfolk Community Services Board","NCSB-PACT","Psychiatrist","Virginia Beach","Female","White","Not Indicated","Not Indicated","2011","1972"
"Police","Police Field Operations-Sworn","Master Police Officer","Chesapeake","Male","Asian","Associate Degree","Not Indicated","2010","1985"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Supervisor","Chesapeake","Female","Black","Some College","Not Indicated","2017","1979"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Portsmouth","Male","Black","Bachelors Level Degree","Not Indicated","2014","1990"
"Police","Police Field Operations-Sworn","Police Sergeant","Virginia Beach","Male","White","Not Indicated","Not Indicated","2011","1987"
"Police","Police Administration - Sworn","Master Police Officer","Chesapeake","Male","White","Not Indicated","Not Indicated","2012","1987"
"City Planning","City Planning - Dir Office","Director of Planning","Williamsburg","Male","White","Not Indicated","Not Indicated","2011","1957"
"Zoological Park","Executive Zoo-HorticultureSvcs","Horticulture Technician","Norfolk","Female","White","Not Indicated","Not Indicated","2009","1957"
"Police","Police Field Operations-Sworn","Police Sergeant","Norfolk","Male","White","Not Indicated","Not Indicated","2012","1984"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Chesapeake","Female","Black","Not Indicated","Not Indicated","2011","1986"
"Police","Police Administration - Sworn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Not Indicated","2011","1988"
"Police","Police Administration - Sworn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Not Indicated","2010","1983"
"Police","Police Administrative Svc-Civl","Administrative Assistant II","Norfolk","Female","Black","Some College","Not Indicated","2014","1977"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","White","Bachelors Level Degree","Not Indicated","2010","1985"
"Cemeteries","Cemetery Fund","Division Head","Norfolk","Male","White","Not Indicated","Not Indicated","2013","1978"
"Human Services","Hum Svc Juvenile Detention Ctr","Support Technician","Norfolk","Female","Black","Not Indicated","Not Indicated","2011","1982"
"Police","Police Field Operations-Sworn","Master Police Officer","Chesapeake","Female","White","Not Indicated","Not Indicated","2009","1985"
"Neighborhood Services","Dept of Neighborhood Dev - Div","Codes Specialist, Senior","Chesapeake","Male","White","Not Indicated","Not Indicated","2012","1956"
"Information Technology","Information Technology","Programmer/Analyst IV","Chesapeake","Male","Black","Not Indicated","Not Indicated","2013","1971"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Norfolk","Male","Black","Not Indicated","Not Indicated","2011","1981"
"Police","Police Field Operations-Civiln","Humane Officer I","Norfolk","Male","White","Not Indicated","Not Indicated","2010","1984"
"Parks and Recreation","Rec,Parks,OpenSpace-Rec Center","Facilities Manager","Norfolk","Male","White","Not Indicated","Not Indicated","2012","1988"
"Police","Police Field Operations-Civiln","Humane Officer II","Norfolk","Male","White","Not Indicated","Not Indicated","2012","1975"
"Zoological Park","Zoo- Operations","Security Officer","Norfolk","Male","White","Not Indicated","Not Indicated","2013","1966"
"Parks and Recreation","Rec,Pks,OpenSpace-Therapeutics","Division Head","Chesapeake","Male","Black","Not Indicated","Not Indicated","2011","1974"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Shawboro","Male","White","Not Indicated","Not Indicated","2009","1983"
"Utilities","Utilities Water Distribution","Utility Maintenance Mech I","Norfolk","Male","Black","Not Indicated","Not Indicated","2009","1990"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Norfolk","Female","Hispanic","Not Indicated","Not Indicated","2009","1985"
"Nauticus","Maritime Center- USS Wisconsin","Maritime Center Specialist II","Norfolk","Male","White","Not Indicated","Not Indicated","2010","1963"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","Black","Not Indicated","Not Indicated","2010","1986"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","Black","Not Indicated","Not Indicated","2013","1987"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","Black","Not Indicated","Not Indicated","2012","1987"
"Human Services","Hum Svc Div of Social Services","Family Services Supervisor","Norfolk","Female","White","Not Indicated","Not Indicated","2012","1988"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","White","Not Indicated","Not Indicated","2010","1984"
"Police","Police Investigative Svc-Sworn","Police Sergeant","Virginia Beach","Male","White","Not Indicated","Not Indicated","2008","1986"
"Parks and Recreation","RPOS - Landscape Services","Crew Leader I","Portsmouth","Male","Black","Not Indicated","Not Indicated","2012","1973"
"Information Technology","Information Technology","Programmer/Analyst V","Virginia Beach","Female","Asian","Not Indicated","Not Indicated","2011","1974"
"City Planning","Planning-Planning","Principal Planner","Chesapeake","Male","White","Masters Level Degree","Not Indicated","2012","1990"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Portsmouth","Male","White","HS Graduate or Equivalent","Not Indicated","2015","1990"
"Norfolk Community Services Board","NCSB-Medical Services","Psychiatrist","Chesapeake","Female","White","Post-Doctorate","Not Indicated","2011","1953"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Chesapeake","Male","White","Not Indicated","Not Indicated","2009","1981"
"Police","Police Field Operations-Sworn","Master Police Officer","Moyock","Male","Black","Some College","Not Indicated","2010","1975"
"Human Services","Hum Svc Div of Social Services","Support Technician","Norfolk","Female","Black","Not Indicated","Not Indicated","2011","1971"
"Norfolk Community Services Board","NCSB-Mental Health Svs Admin","Programs Manager","Virginia Beach","Female","White","Not Indicated","Not Indicated","2013","1970"
"Police","Police Field Operations-Sworn","Police Sergeant","Norfolk","Male","White","HS Graduate or Equivalent","Not Indicated","2012","1983"
"Norfolk Community Services Board","NCSB-Intensive Outpatient","Counselor III","Portsmouth","Male","Black","Not Indicated","Not Indicated","2008","1980"
"Norfolk Community Services Board","NCSB-Opoid Replacement Clinic","Counselor III","Chesapeake","Female","","Not Indicated","Not Indicated","2009","1963"
"Police","Police Field Operations-Sworn","Police Sergeant","Chesapeake","Female","White","Not Indicated","Not Indicated","2009","1979"
"Emergency Preparedness and Response","EOC/911","Public Safety Telecomm I","Norfolk","Female","White","Not Indicated","Not Indicated","2010","1984"
"Utilities","Utilities WasteWater","Equipment Operator III","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2012","1988"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Chesapeake","Male","White","Not Indicated","Not Indicated","2011","1989"
"Budget and Strategic Planning","Office Budget & Strategic Plan","Bus Process Automation Manager","Arvada","Female","White","Bachelors Level Degree","Not Indicated","2015","1974"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Virginia Beach","Female","Black","Bachelors Level Degree","Not Indicated","2019","1983"
"Police","Police Field Operations-Guards","School Crossing Guard","Hampton","Female","Black","Not Indicated","Not Indicated","2011","1953"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist I","CHesapeake","Female","","Masters Level Degree","Not Indicated","2018","1992"
"Fire-Rescue","Fire-Rescue","Fire Lieutenant","Norfolk","Male","White","Not Indicated","Not Indicated","2011","1985"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Not Indicated","Not Indicated","2010","1976"
"Parks and Recreation","RPOS - Landscape Services","Groundskeeper Crew Leader","Norfolk","Male","White","Not Indicated","Not Indicated","2009","1989"
"Fire-Rescue","Fire-Rescue","Fire Inspector","Hampton","Male","Black","Not Indicated","Not Indicated","2009","1982"
"General Services","Gen Srvs-PublicInfrastructure","Supervising Operating Engineer","Norfolk","Male","White","Not Indicated","Not Indicated","2011","1973"
"Police","Police Field Operations-Guards","School Crossing Guard","Norfolk","Female","White","Not Indicated","Not Indicated","2009","1972"
"Emergency Preparedness and Response","EOC/911","Public Safety Telecomm II","Norfolk","Female","Black","Not Indicated","Not Indicated","2009","1977"
"Utilities","Utilities Engineering","Engineering Technician I","Norfolk","Male","Black","Not Indicated","Not Indicated","2011","1959"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Chesapeake","Male","White","Not Indicated","Not Indicated","2013","1983"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Not Indicated","2009","1984"
"Police","Police Administrative Svcs-Swn","Master Police Officer","Norfolk","Male","White","HS Graduate or Equivalent","Not Indicated","2010","1969"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Not Indicated","2009","1983"
"Police","Police Investigative Svc-Sworn","Police Sergeant","Virginia Beach","Male","Black","Not Indicated","Not Indicated","2010","1989"
"Norfolk Community Services Board","NCSB-Intensive Outpatient","Clinician","Chesapeake","Female","White","Not Indicated","Not Indicated","2010","1952"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Chesapeake","Male","Hispanic","Not Indicated","Not Indicated","2011","1983"
"Police","Police Field Operations-Sworn","Master Police Officer","Chesapeake","Male","White","Masters Level Degree","Not Indicated","2010","1974"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Female","Hispanic","Not Indicated","Not Indicated","2009","1981"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Virginia Beach","Female","Black","Not Indicated","Not Indicated","2013","1981"
"Fleet Management","General Services - Fleet Mgmt","Automotive Repair Tech, Senior","Norfolk","Male","White","Associate Degree","Not Indicated","2019","1999"
"Human Services","Hum Svc Div of Social Services","Family Services Supervisor","Virginia Beach","Female","Black","Not Indicated","Not Indicated","2012","1982"
"Fleet Management","General Services - Fleet Mgmt","Automotive Repair Tech, Senior","Virginia Beach","Male","Asian","Not Indicated","Not Indicated","2011","1976"
"Police","Police Administrative Svcs-Swn","Police Officer","Norfolk","Male","Black","Some Graduate School","Not Indicated","2020","1987"
"Police","Police Administrative Svcs-Swn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Not Indicated","2010","1989"
"Fire-Rescue","Fire-Rescue","Fire Lieutenant","Chesapeake","Female","Hispanic","Not Indicated","Not Indicated","2011","1981"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Chesapeake","Male","White","Not Indicated","Not Indicated","2011","1980"
"Police","Police Administrative Svc-Civl","Operations Officer II","Norfolk","Female","Black","Not Indicated","Not Indicated","2013","1965"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","White","Bachelors Level Degree","Not Indicated","2010","1969"
"Police","Police Investigative Svc-Sworn","Police Sergeant","Virginia Beach","Male","White","Some College","Not Indicated","2010","1986"
"Utilities","Utilities Engineering","Engineering Technician II","Norfolk","Female","Black","Not Indicated","Not Indicated","2012","1967"
"Norfolk Community Services Board","NCSB-Executive Directors Offic","Administrative Analyst","Hampton","Female","White","Not Indicated","Not Indicated","2010","1952"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","Black","Not Indicated","Not Indicated","2009","1987"
"Information Technology","Information Technology","Radio Communications Sys Supv","Virginia Beach","Male","White","Not Indicated","Not Indicated","2012","1969"
"Parks and Recreation","RPOS - Landscape Services","Tree Trimmer I","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2019","1969"
"Police","Police Administrative Svcs-Swn","Police Lieutenant","Chesapeake","Male","White","Not Indicated","Not Indicated","2009","1981"
"Utilities","Utilities Water Quality","Water Chemist, Senior","Norfolk","Female","White","Masters Level Degree","Not Indicated","2020","1985"
"Public Works","PW Waste Management","Refuse Collection Supv","Virginia Beach","Male","Black","Not Indicated","Not Indicated","2010","1953"
"Norfolk Community Services Board","NCSB-Board Access Unit (MH)","Program Administrator","Chesapeake","Female","Black","Not Indicated","Not Indicated","2011","1982"
"Norfolk Community Services Board","NCSB-Medical Services","Pharmacist","Suffolk","Male","White","Not Indicated","Not Indicated","2010","1954"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Female","White","Not Indicated","Not Indicated","2011","1984"
"Utilities","Utilities Water Distribution","Utility Maintenance Mech II","Norfolk","Male","Black","Not Indicated","Not Indicated","2013","1982"
"Clerk of the Circuit Court","Clerk of the Circuit Court","Administrative Assistant-CC","Norfolk","Female","Black","Some College","Not Indicated","2013","1985"
"Police","Police Investigative Svc-Civil","Administrative Assistant I","GATES","Female","Black","Not Indicated","Not Indicated","2012","1966"
"Fleet Management","General Services - Fleet Mgmt","Automotive Repair Tech, Senior","Chesapeake","Male","White","Not Indicated","Not Indicated","2011","1968"
"Utilities","Utilities Director's Office","Support Technician","Virginia Beach","Female","Black","Not Indicated","Not Indicated","2010","1981"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","White","Not Indicated","Not Indicated","2013","1985"
"Utilities","Utilities Engineering","Civil Engineer IV","Norfolk","Male","Black","Bachelors Level Degree","Not Indicated","2013","1989"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Chesapeake","Female","Black","Not Indicated","Not Indicated","2010","1984"
"Human Services","Human Services - VJCCCA","Programs Manager","Newport News","Female","Black","Not Indicated","Not Indicated","2012","1949"
"General Services","General Services-Animal Care","Kennel Supervisor","Norfolk","Female","","Some College","Not Indicated","2017","1990"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Chesapeake","Male","Black","Not Indicated","Not Indicated","2010","1958"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","Asian","Not Indicated","Not Indicated","2009","1969"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Norfolk","Female","Black","Not Indicated","Not Indicated","2011","1987"
"Fleet Management","General Services - Fleet Mgmt","Automotive Repair Tech, Senior","Virginia Beach","Male","White","Technical School","Not Indicated","2016","1968"
"Public Works","PW Waste Management","Automotive Mechanic","Virginia Beach","Male","White","Technical School","Not Indicated","2015","1972"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Virginia Beach","Female","Black","Not Indicated","Not Indicated","2010","1985"
"Information Technology","Information Technology","Programmer/Analyst V","Virginia Beach","Male","White","Some College","Veteran","2014","1979"
"Nauticus","Maritime Center - Visitor Svcs","Maritime Center Specialist II","Norfolk","Male","Black","Some College","Veteran","1996","1950"
"Parks and Recreation","RPOS - Landscape Services","Maintenance Mechanic I","Virginia Beach","Male","White","Associate Degree","Veteran","2021","1976"
"Information Technology","Information Technology","Network Engineer III","Virginia Beach","Male","White","Not Indicated","Veteran","1997","1956"
"General Services","Gen Srvs-PublicInfrastructure","Operating Engineer II","Chesapeake","Male","White","Not Indicated","Veteran","1999","1973"
"Police","Police Field Operations-Sworn","Police Lieutenant","Moyock","Female","White","Not Indicated","Veteran","2003","1978"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Norfolk","Male","White","Not Indicated","Veteran","2000","1968"
"Human Services","Hum Svc Div of Social Services","Programs Manager","Virginia Beach","Female","Black","Some College","Veteran","1999","1970"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Corporal)","Suffolk","Male","Black","Associate Degree","Veteran","2015","1975"
"Fire-Rescue","Fire-Rescue","Fire Lieutenant","Chesapeake","Male","White","Not Indicated","Veteran","2013","1986"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist II","Virginia Beach","Male","White","Not Indicated","Veteran","1997","1970"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Virginia Beach","Male","White","Not Indicated","Veteran","1996","1962"
"Finance","Finance - Director's Office","Fiscal Systems Manager","Chesapeake","Male","Asian","Bachelors Level Degree","Veteran","2014","1981"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Virginia Beach","Male","Black","Not Indicated","Veteran","2002","1969"
"General Services","Gen Srvs-PublicInfrastructure","Operating Engineer II","Norfolk","Male","Black","Not Indicated","Veteran","1998","1955"
"Sheriff and Jail","Judicial - Sheriff and Jail","Civilian Court Security","Norfolk","Male","Black","Not Indicated","Veteran","2003","1940"
"Transit","Transit - Transportation","Operations Manager","Chesapeake","Male","White","Not Indicated","Veteran","2000","1977"
"Police","Police Investigative Svc-Sworn","Police Sergeant","Chesapeake","Male","White","Not Indicated","Veteran","1999","1975"
"Public Works","PW Waste Management","Refuse Collector III","Norfolk","Male","Black","HS Graduate or Equivalent","Veteran","2013","1975"
"Police","Police Investigative Svc-Sworn","Police Lieutenant","Portsmouth","Male","Black","Not Indicated","Veteran","2000","1978"
"Police","Police Field Operations-Sworn","Police Sergeant","Chesapeake","Male","Black","Not Indicated","Veteran","1997","1964"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","White","Some College","Veteran","2014","1984"
"Police","Police Investigative Svc-Sworn","Police Lieutenant","Suffolk","Male","Black","Not Indicated","Veteran","1999","1967"
"Emergency Preparedness and Response","EOC/911","Public Safety Telecomm III","Virginia Beach","Female","Black","Associate Degree","Veteran","2014","1984"
"Emergency Preparedness and Response","EOC/911","Public Safety Telecomm I","norfolk","Female","White","Bachelors Level Degree","Veteran","2021","1994"
"Police","Police Administrative Svcs-Swn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Veteran","1996","1960"
"Police","Police Field Operations-Sworn","Police Lieutenant","Virginia Beach","Male","White","Not Indicated","Veteran","1997","1970"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Virginia Beach","Male","Black","Not Indicated","Veteran","1998","1960"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Veteran","2002","1976"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Currituck","Male","White","Not Indicated","Veteran","1996","1961"
"Police","Police Field Operations-Sworn","Master Police Officer","Chesapeake","Male","Black","Not Indicated","Veteran","2000","1959"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Shawboro","Male","White","Not Indicated","Veteran","2013","1980"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Virginia Beach","Male","Black","Not Indicated","Veteran","2002","1970"
"General Services","Gen Srvs-PublicInfrastructure","Electrician II","Norfolk","Male","White","Not Indicated","Veteran","1997","1957"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Not Indicated","Veteran","1996","1962"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Norfolk","Male","White","Not Indicated","Veteran","1996","1955"
"Police","Police Investigative Svc-Sworn","Police Sergeant","Virginia Beach","Male","Asian","Not Indicated","Veteran","2003","1977"
"Police","Police Field Operations-Sworn","Master Police Officer","Chesapeake","Male","Black","Not Indicated","Veteran","1999","1972"
"Emergency Preparedness and Response","EOC/911","Public Safety Telecomm Supv","Virginia Beach","Male","Black","Not Indicated","Veteran","2000","1960"
"Sheriff and Jail","Judicial - Sheriff and Jail","Civilian Court Security","Virginia Beach","Male","White","Associate Degree","Veteran","2021","1953"
"Police","Police Administrative Svcs-Swn","Police Captain","Virginia Beach","Male","Black","Not Indicated","Veteran","1998","1967"
"Police","Police Administrative Svcs-Swn","Police Captain","Chesapeake","Male","Hispanic","Not Indicated","Veteran","2000","1973"
"Cemeteries","Cemetery Fund","Groundskeeper Crew Leader","Hampton","Male","Black","Not Indicated","Veteran","2001","1972"
"Economic Development","Development","Management Analyst II","Chesapeake","Female","White","Bachelors Level Degree","Veteran","2000","1973"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Port Haywood","Male","White","Bachelors Level Degree","Veteran","2005","1974"
"Public Works","Public Works-Towing Operations","Towing Operations Manager","Norfolk","Male","White","Not Indicated","Veteran","2000","1959"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Chesapeake","Female","White","Not Indicated","Veteran","2013","1969"
"Public Works","PW Div of Streets & Bridges","Design/Construction Prj Mgr Sr","Norfolk","Male","White","Not Indicated","Veteran","2001","1960"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","White","Bachelors Level Degree","Veteran","2015","1980"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","White","Some College","Veteran","2013","1981"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Camden","Male","White","Not Indicated","Veteran","1997","1969"
"Police","Police Field Operations-Sworn","Master Police Officer","Suffolk","Male","White","Not Indicated","Veteran","1996","1972"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Moyock","Male","White","Not Indicated","Veteran","2000","1973"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Captain)","Virginia Beach","Male","White","Not Indicated","Veteran","1998","1974"
"Transit","Transit - Transportation","Traffic Sign Fabricator II","Portsmouth","Male","Black","Some College","Veteran","2015","1985"
"General Services","General Services-Parking Fac","Maintenance Mechanic II","Norfolk","Male","Black","Not Indicated","Veteran","2001","1957"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Lieutenant)","Smithfield","Male","White","Not Indicated","Veteran","2000","1979"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","Black","Not Indicated","Veteran","2000","1964"
"Fire-Rescue","Fire-Rescue","Fire Captain","Suffolk","Male","White","Not Indicated","Veteran","1996","1968"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","White","Not Indicated","Veteran","1996","1963"
"Police","Police Investigative Svc-Sworn","Police Sergeant","Virginia Beach","Male","White","Not Indicated","Veteran","2000","1972"
"Parks and Recreation","Rec.Pks,OpenSpace-Special Srvs","Lifeguard","Norfolk","Male","Black","Some College","Veteran","1995","1970"
"Police","Police Field Operations-Sworn","Police Sergeant","Hampton","Male","White","Not Indicated","Veteran","1997","1975"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","White","Bachelors Level Degree","Veteran","2013","1984"
"City Attorney","Law","Deputy City Attorney I","Norfolk","Male","Black","Not Indicated","Veteran","2001","1958"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Chesapeake","Male","Black","Not Indicated","Veteran","1996","1965"
"Police","Police Administrative Svcs-Swn","Master Police Officer","Norfolk","Female","White","Not Indicated","Veteran","2000","1969"
"Police","Police Field Operations-Sworn","Master Police Officer","Chesapeake","Male","Black","Not Indicated","Veteran","1996","1967"
"Public Works","PW Right of Way","Construction Inspector II","Norfolk","Male","White","Not Indicated","Veteran","1998","1961"
"Commissioner of the Revenue","Commissioner of Revenue","Deputy III - COR","Hampton","Male","White","Not Indicated","Veteran","1998","1949"
"Utilities","Utilities Water Distribution","Maintenance Worker II","Norfolk","Male","Black","Not Indicated","Veteran","1997","1960"
"Police","Police Field Operations-Sworn","Police Officer","Chesapeake","Male","White","Some College","Veteran","2020","1993"
"Police","Police Field Operations-Sworn","Police Officer","Chesapeake","Male","White","Some College","Veteran","2018","1993"
"Fire-Rescue","Fire-Rescue","Firefighter Recruit","Virginia Beach","Male","White","HS Graduate or Equivalent","Veteran","2022","1992"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Male","White","Bachelors Level Degree","Veteran","2019","1993"
"Economic Development","Development","Management Analyst I","Portsmouth","Male","Asian","Some College","Veteran","2022","2000"
"Police","Police Administration - Sworn","Police Sergeant","Poquoson","Male","White","Not Indicated","Veteran","2008","1982"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Moyock","Male","","Not Indicated","Veteran","2013","1991"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Male","White","Some College","Veteran","2021","1995"
"City Planning","Planning - Bldg Constr","Codes Specialist, Senior","Norfolk","Female","Hispanic","Some College","Veteran","2019","1991"
"Fire-Rescue","Fire-Rescue","Firefighter Recruit","Suffolk","Male","White","HS Graduate or Equivalent","Veteran","2021","2000"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","White","Bachelors Level Degree","Veteran","2016","1990"
"Police","Police Field Operations-Sworn","Police Officer","Norfolk","Male","Hispanic","Some College","Veteran","2021","1994"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Recruit)","Moyock","Male","Hispanic","Not Indicated","Veteran","2022","1995"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Male","White","Some College","Veteran","2021","2001"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Virginia Beach","Male","White","HS Graduate or Equivalent","Veteran","2012","1983"
"Police","Police Field Operations-Sworn","Police Officer","Chesapeake","Male","White","Bachelors Level Degree","Veteran","2019","1990"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","Hispanic","Some College","Veteran","2015","1992"
"City Manager","Executive City Manager","Mgmt Analyst II (CMO Only)","Chesapeake","Female","Black","Some College","Veteran","2022","1996"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Male","White","Some College","Veteran","2022","1995"
"Police","Police Administration - Sworn","Master Police Officer","Virginia Beach","Male","White","Some College","Veteran","2014","1989"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","White","Some College","Veteran","2012","1990"
"City Manager","City Manager-NCJS Adlt Com Sup","Pre-Trial Probation Officer I","Norfolk","Female","Asian","Bachelors Level Degree","Veteran","2017","1994"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Male","Black","HS Graduate or Equivalent","Veteran","2017","1994"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","Hispanic","Not Indicated","Veteran","2008","1973"
"Police","Police Field Operations-Sworn","Master Police Officer","Chesapeake","Male","White","HS Graduate or Equivalent","Veteran","2013","1990"
"Police","Police Field Operations-Sworn","Police Sergeant","Elizabeth City","Male","Hispanic","Not Indicated","Veteran","2009","1976"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","White","HS Graduate or Equivalent","Veteran","2020","1990"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","White","Not Indicated","Veteran","2002","1974"
