"department","division","position_title","city","gender","ethnicity","education","veteran_status","startyear","birthyear"
"Commonwealths Attorney","DCJS VSDVVF","Victim/Witness Prg Advocate","Virginia Beach","Female","White","Not Indicated","Not Indicated","2012","1991"
"Public Works","PW Storm Water Mgmt","Project Manager","Norfolk","Male","White","Not Indicated","Not Indicated","2010","1981"
"City Attorney","Law","Assistant City Attorney III","Norfolk","Male","White","Doctorate (Professional)","Not Indicated","2015","1958"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Chesapeake","Male","White","Not Indicated","Not Indicated","2010","1969"
"Commissioner of the Revenue","Commissioner of Revenue","Deputy II - COR","Norfolk","Female","Hawaiian","Not Indicated","Not Indicated","2009","1961"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Chesapeake","Male","White","Not Indicated","Not Indicated","2009","1970"
"Public Works","PW Div of Streets & Bridges","Equipment Operator II","Norfolk","Male","Black","Some College","Not Indicated","2017","1977"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Chesapeake","Male","White","Not Indicated","Not Indicated","2010","1986"
"Human Services","Hum Svc Juvenile Detention Ctr","Maintenance Supervisor I","Norfolk","Male","Black","Not Indicated","Not Indicated","2012","1959"
"Police","Police Field Operations-Sworn","Police Sergeant","Hampton","Male","White","Not Indicated","Not Indicated","2010","1979"
"Police","Police Investigative Svc-Sworn","Police Sergeant","Virginia Beach","Male","White","Bachelors Level Degree","Not Indicated","2011","1983"
"Human Services","Hum Svc Juvenile Detention Ctr","Food Service Manager","Chesapeake","Male","Black","Not Indicated","Not Indicated","2012","1968"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","Black","Bachelors Level Degree","Not Indicated","2010","1965"
"Utilities","Utilities WasteWater","Utility Maintenance Supervisor","Virginia Beach","Male","Black","Not Indicated","Not Indicated","2012","1988"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Chesapeake","Male","White","Not Indicated","Not Indicated","2011","1974"
"Public Works","PW Division of Design","Civil Engineer III","Chesapeake","Male","White","Bachelors Level Degree","Not Indicated","2017","1979"
"Slover Library","Slover Library","Library Assistant II","Norfolk","Female","Black","Bachelors Level Degree","Not Indicated","2018","1992"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Portsmouth","Female","Black","Not Indicated","Not Indicated","2012","1988"
"Norfolk Community Services Board","NCSB-Intake","Clinician","Chesapeake","Female","Black","Not Indicated","Not Indicated","2009","1959"
"Sheriff and Jail","Judicial - Sheriff and Jail","Executive Assistant - SC","Virginia Beach","Female","White","Not Indicated","Not Indicated","2009","1986"
"Police","Police Investigative Svc-Sworn","Police Sergeant","Suffolk","Male","Black","Not Indicated","Not Indicated","2009","1985"
"Public Works","PW Utility Cut Repairs","Equipment Operator II","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2012","1984"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","White","Not Indicated","Not Indicated","2013","1981"
"Public Works","PW Utility Cut Repairs","Equipment Operator III","Virginia Beach","Male","White","HS Graduate or Equivalent","Not Indicated","2012","1990"
"Human Services","Human Services Detention Ctr","Benefit Programs Specialist II","Norfolk","Female","Black","Not Indicated","Not Indicated","2013","1964"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Portsmouth","Female","Black","Not Indicated","Not Indicated","2009","1970"
"Police","Police Administrative Svcs-Swn","Master Police Officer","Moyock","Male","White","Not Indicated","Not Indicated","2011","1987"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Not Indicated","Not Indicated","2009","1967"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Coinjock","Male","White","Not Indicated","Not Indicated","2011","1972"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Suffolk","Male","Black","Not Indicated","Not Indicated","2009","1969"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Not Indicated","Not Indicated","2011","1984"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Norfolk","Male","White","Not Indicated","Not Indicated","2008","1969"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Hampton","Male","Black","Not Indicated","Not Indicated","2009","1981"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Norfolk","Male","White","Not Indicated","Not Indicated","2009","1988"
"Commonwealths Attorney","Commonwealth's Attorney","Asst Commonwealth's Att III","Norfolk","Male","White","Not Indicated","Not Indicated","2012","1984"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Chesapeake","Male","Black","Not Indicated","Not Indicated","2010","1981"
"City Treasurer","City Treasurer","Deputy III - TR","Chesapeake","Male","Black","Bachelors Level Degree","Not Indicated","2014","1958"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Hampton","Male","Black","Not Indicated","Not Indicated","2009","1982"
"Police","Police Administrative Svcs-Swn","Police Sergeant","Virginia Beach","Male","White","HS Graduate or Equivalent","Not Indicated","2012","1985"
"City Treasurer","City Treasurer","Deputy IV - TR","Norfolk","Male","Black","Bachelors Level Degree","Not Indicated","2013","1968"
"Public Works","PW Div of Streets & Bridges","Lead Mason","Virginia Beach","Male","White","Less Than HS Graduate","Not Indicated","2013","1971"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Sunbury","Male","White","Not Indicated","Not Indicated","2010","1987"
"Human Services","Hum Svc Div of Social Services","Family Services Supervisor","Chesapeake","Female","Black","Not Indicated","Not Indicated","2012","1968"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Suffolk","Male","Asian","Not Indicated","Not Indicated","2013","1986"
"City Treasurer","City Treasurer","Deputy IV - TR","Chesapeake","Female","Black","Not Indicated","Not Indicated","2012","1971"
"Utilities","Utilities WasteWater","Maintenance Worker II","Norfolk","Male","Black","Not Indicated","Not Indicated","2012","1962"
"Housing and Community Development","HUD Entitlement Management","Management Analyst II","Norfolk","Female","Black","Not Indicated","Not Indicated","2010","1991"
"Fire-Rescue","Fire-Rescue","Fire Inspector","Moyock","Male","White","Not Indicated","Not Indicated","2011","1991"
"Elections","Elections","Director of Elections","Norfolk","Female","White","Not Indicated","Not Indicated","2011","1971"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Ahoskie","Male","Black","Not Indicated","Not Indicated","2012","1972"
"Public Works","PW Right of Way","Construction Inspector II","Norfolk","Male","Black","Not Indicated","Not Indicated","2010","1965"
"Finance","Finance City Controller","Accounts Payable Manager","Virginia Beach","Male","NS","Not Indicated","Not Indicated","2009","1964"
"Clerk of the Circuit Court","Clerk of the Circuit Court","In Court Clerk-CC","Norfolk","Female","White","Some College","Not Indicated","2014","1993"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Chesapeake","Male","White","Not Indicated","Not Indicated","2011","1989"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","White","Not Indicated","Not Indicated","2013","1990"
