"full_name","pre_dir","type","street_name","street_suffix","post_dir","status"
"105TH STREET                            ",,,"105TH                         ","STREET    ",,"BASE      "
"10TH AVENUE                             ",,,"10TH                          ","AVENUE    ",,"BASE      "
"10TH STREET                             ",,,"10TH                          ","STREET    ",,"BASE      "
"11TH AVENUE                             ",,,"11TH                          ","AVENUE    ",,"BASE      "
"12TH AVENUE                             ",,,"12TH                          ","AVENUE    ",,"BASE      "
"12TH STREET                             ",,,"12TH                          ","STREET    ",,"BASE      "
"1ST AVENUE                              ",,,"1ST                           ","AVENUE    ",,"BASE      "
"1ST STREET                              ",,,"1ST                           ","STREET    ",,"BASE      "
"2ND AVENUE                              ",,,"2ND                           ","AVENUE    ",,"BASE      "
"3RD AVENUE                              ",,,"3RD                           ","AVENUE    ",,"BASE      "
"4TH AVENUE                              ",,,"4TH                           ","AVENUE    ",,"BASE      "
"5TH AVENUE                              ",,,"5TH                           ","AVENUE    ",,"BASE      "
"6TH AVENUE                              ",,,"6TH                           ","AVENUE    ",,"BASE      "
"7TH AVENUE                              ",,,"7TH                           ","AVENUE    ",,"BASE      "
"7TH STREET                              ",,,"7TH                           ","STREET    ",,"BASE      "
"8TH AVENUE                              ",,,"8TH                           ","AVENUE    ",,"BASE      "
"8TH STREET                              ",,,"8TH                           ","STREET    ",,"BASE      "
"A STREET                                ","  ","                ","A                             ","STREET    ","  ","BASE      "
"ABBOTT ROAD                             ","  ","                ","ABBOTT                        ","ROAD      ","  ","BASE      "
"9TH STREET                              ",,,"9TH                           ","STREET    ",,"BASE      "
"AMPHIBIOUS DRIVE                        ",,,"AMPHIBIOUS                    ","DRIVE     ",,"BASE      "
"AIR TERMINAL ROAD                       ",,,"AIR TERMINAL                  ","ROAD      ",,"BASE      "
"ALLEN STREET                            ",,,"ALLEN                         ","STREET    ",,"BASE      "
"ATTU ROAD                               ",,,"ATTU                          ","ROAD      ",,"BASE      "
"AVIONICS LOOP                           ",,,"AVIONICS                      ","LOOP      ",,"BASE      "
"AVIONICS STREET                         ",,,"AVIONICS                      ","STREET    ",,"BASE      "
"AYLWIN STREET                           ",,,"AYLWIN                        ","STREET    ",,"BASE      "
"B STREET                                ","  ","                ","B                             ","STREET    ","  ","BASE      "
"BACON AVENUE                            ",,,"BACON                         ","AVENUE    ",,"BASE      "
"BAINBRIDGE AVENUE                       ",,,"BAINBRIDGE                    ","AVENUE    ",,"BASE      "
"BALTIC AVENUE                           ",,,"BALTIC                        ","AVENUE    ",,"BASE      "
"BAHRAIN AVENUE                          ",,,"BAHRAIN                       ","AVENUE    ",,"BASE      "
"BATAAN COURT                            ","  ","                ","BATAAN                        ","COURT     ","  ","BASE"
"BELLINGER BOULEVARD                     ",,,"BELLINGER                     ","BOULEVARD ",,"BASE      "
"BIAK AVENUE                             ",,,"BIAK                          ","AVENUE    ",,"BASE      "
"BLANDY ROAD                             ",,,"BLANDY                        ","ROAD      ",,"BASE      "
"BOARD WALK                              ",,,"BOARD                         ","WALK      ",,"BASE      "
"BREEZY POINT CRESCENT                   ",,,"BREEZY POINT                  ","CRESCENT  ",,"BASE      "
"BREEZY POINT DRIVE                      ",,,"BREEZY POINT                  ","DRIVE     ",,"BASE      "
