"area_type","area_name","year","time_period","ownership","naics_code_level","naics_code","industry_name","establishments","avg_employment","_1st_month_emp","_2nd_month_emp","_3rd_month_emp","total_wages_all_workers","avg_weekly_wages"
"County","San Diego County","2021","4th Qtr","Federal Government","0","10","Total, All Industries","237","47359","47370","47485","47223","1231723232","2001"
"County","San Diego County","2021","4th Qtr","Federal Government","1","102","Service-Providing","237","47359","47370","47485","47223","1231723232","2001"
"County","San Diego County","2021","4th Qtr","Federal Government","2","1021","Trade, Transportation, and Utilities","111","6987","6809","7024","7130","113878834","1254"
"County","San Diego County","2021","4th Qtr","Federal Government","2","1022","Information","0","0","0","0","0","0","0"
"County","San Diego County","2021","4th Qtr","Federal Government","2","1023","Financial Activities","1","3","3","3","3","97724","2506"
"County","San Diego County","2021","4th Qtr","Federal Government","2","1024","Professional and Business Services","10","2512","2535","2513","2490","64712189","1981"
"County","San Diego County","2021","4th Qtr","Federal Government","2","1025","Education and Health Services","5","6226","6242","6226","6212","172444410","2130"
"County","San Diego County","2021","4th Qtr","Federal Government","2","1026","Leisure and Hospitality","3","26","29","27","24","470122","1356"
"County","San Diego County","2021","4th Qtr","Federal Government","2","1027","Other Services","1","27","26","27","29","462862","1303"
"County","San Diego County","2021","4th Qtr","Federal Government","2","1028","Public Administration","106","31575","31726","31665","31335","879657091","2143"
"County","San Diego County","2021","4th Qtr","Federal Government","2","44-45","Retail Trade","32","1774","1761","1780","1782","17882180","775"
"County","San Diego County","2021","4th Qtr","Federal Government","2","48-49","Transportation and Warehousing","79","5213","5048","5244","5348","95996654","1416"
"County","San Diego County","2021","4th Qtr","Federal Government","2","51","Information","0","0","0","0","0","0","0"
"County","San Diego County","2021","4th Qtr","Federal Government","2","52","Finance and Insurance","1","3","3","3","3","97724","2506"
"County","San Diego County","2021","4th Qtr","Federal Government","2","54","Professional and Technical Services","8","2510","2533","2511","2488","64649004","1981"
"County","San Diego County","2021","4th Qtr","Federal Government","2","56","Administrative and Waste Services","2","2","2","2","2","63185","2430"
"County","San Diego County","2021","4th Qtr","Federal Government","2","62","Health Care and Social Assistance","5","6226","6242","6226","6212","172444410","2130"
"County","San Diego County","2021","4th Qtr","Federal Government","2","71","Arts, Entertainment, and Recreation","3","26","29","27","24","470122","1356"
"County","San Diego County","2021","4th Qtr","Federal Government","2","81","Other Services, Ex. Public Admin","1","27","26","27","29","462862","1303"
"County","San Diego County","2021","4th Qtr","Federal Government","2","92","Public Administration","106","31575","31726","31665","31335","879657091","2143"
"County","San Diego County","2021","4th Qtr","Federal Government","3","445","Food and Beverage Stores","5","403","409","400","401","4966420","947"
"County","San Diego County","2021","4th Qtr","Federal Government","3","452","General Merchandise Stores","26","1371","1352","1380","1381","12915760","725"
"County","San Diego County","2021","4th Qtr","Federal Government","3","454","Nonstore Retailers","1","0","0","0","0","0","0"
"County","San Diego County","2021","4th Qtr","Federal Government","3","491","Postal Service","79","5213","5048","5244","5348","95996654","1416"
"County","San Diego County","2021","4th Qtr","Federal Government","3","511","Publishing Industries","0","0","0","0","0","0","0"
"County","San Diego County","2021","4th Qtr","Federal Government","3","522","Credit Intermediation & Related Activity","1","3","3","3","3","97724","2506"
"County","San Diego County","2021","4th Qtr","Federal Government","3","541","Professional and Technical Services","8","2510","2533","2511","2488","64649004","1981"
"County","San Diego County","2021","4th Qtr","Federal Government","3","561","Administrative and Support Services","2","2","2","2","2","63185","2430"
"County","San Diego County","2021","4th Qtr","Federal Government","3","622","Hospitals","5","6226","6242","6226","6212","172444410","2130"
"County","San Diego County","2021","4th Qtr","Federal Government","3","712","Museums, Parks and Historical Sites","2","26","29","27","24","470122","1356"
"County","San Diego County","2021","4th Qtr","Federal Government","3","713","Amusement, Gambling & Recreation Ind","1","0","0","0","0","0","0"
"County","San Diego County","2021","4th Qtr","Federal Government","3","812","Personal and Laundry Services","1","27","26","27","29","462862","1303"
"County","San Diego County","2021","4th Qtr","Federal Government","3","921","Executive, Legislative, & Gen Government","7","2109","2138","2134","2055","32057306","1169"
"County","San Diego County","2021","4th Qtr","Federal Government","3","922","Justice, Public Order, and Safety Activi","31","7162","7168","7196","7124","244493408","2626"
