"area_type","area_name","year","month","date","series_code","industry_title","seasonally_adjusted","current_employment"
"Metropolitan Area","El Centro MSA","2021","August","2021-08-01T00:00:00.000","90930000","Local Government","N","13000"
"Metropolitan Area","El Centro MSA","2021","August","2021-08-01T00:00:00.000","90932000","Local Government Excluding Education","N","7400"
"Metropolitan Area","El Centro MSA","2021","August","2021-08-01T00:00:00.000","90932994","Special Districts plus Indian Tribes","N","3100"
"Metropolitan Area","El Centro MSA","2021","August","2021-08-01T00:00:00.000","90940000","State and Local Government","N","15700"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","0","Total Nonfarm","N","52000"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","0","Total Nonfarm","Y","54100"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","1000000","Total Wage and Salary","N","61200"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","5000000","Total Private","N","35000"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","6000000","Goods Producing","N","4200"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","7000000","Service Providing","N","47800"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","8000000","Private Service Providing","N","30800"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","11000000","Total Farm","N","9200"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","15000000","Natural Resources, Mining and Constructi","N","2000"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","30000000","Manufacturing","N","2200"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","31000000","Durable Goods","N","700"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","32000000","Nondurable Goods","N","1500"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","40000000","Trade, Transportation and Utilities","N","11700"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","41000000","Wholesale Trade","N","1700"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","42000000","Retail Trade","N","7700"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","43000000","Transportation, Warehousing and Utilitie","N","2300"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","50000000","Information","N","200"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","55000000","Financial Activities","N","1100"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","60000000","Professional and Business Services","N","2900"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","65000000","Educational and Health Services","N","9800"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","70000000","Leisure and Hospitality","N","4100"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","80000000","Other Services","N","1000"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","90000000","Government","N","17000"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","90910000","Federal Government","N","2400"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","90920000","State Government","N","2700"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","90930000","Local Government","N","11900"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","90932000","Local Government Excluding Education","N","7400"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","90932994","Special Districts plus Indian Tribes","N","3100"
"Metropolitan Area","El Centro MSA","2021","July","2021-07-01T00:00:00.000","90940000","State and Local Government","N","14600"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","0","Total Nonfarm","N","53400"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","0","Total Nonfarm","Y","52900"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","1000000","Total Wage and Salary","N","64900"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","5000000","Total Private","N","34500"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","6000000","Goods Producing","N","4200"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","7000000","Service Providing","N","49200"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","8000000","Private Service Providing","N","30300"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","11000000","Total Farm","N","11500"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","15000000","Natural Resources, Mining and Constructi","N","2000"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","30000000","Manufacturing","N","2200"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","31000000","Durable Goods","N","700"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","32000000","Nondurable Goods","N","1500"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","40000000","Trade, Transportation and Utilities","N","11800"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","41000000","Wholesale Trade","N","1700"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","42000000","Retail Trade","N","7700"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","43000000","Transportation, Warehousing and Utilitie","N","2400"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","50000000","Information","N","200"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","55000000","Financial Activities","N","1100"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","60000000","Professional and Business Services","N","2700"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","65000000","Educational and Health Services","N","9500"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","70000000","Leisure and Hospitality","N","4100"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","80000000","Other Services","N","900"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","90000000","Government","N","18900"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","90910000","Federal Government","N","2400"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","90920000","State Government","N","2700"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","90930000","Local Government","N","13800"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","90932000","Local Government Excluding Education","N","7400"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","90932994","Special Districts plus Indian Tribes","N","3100"
"Metropolitan Area","El Centro MSA","2021","June","2021-06-01T00:00:00.000","90940000","State and Local Government","N","16500"
"Metropolitan Area","El Centro MSA","2021","May","2021-05-01T00:00:00.000","0","Total Nonfarm","Y","53000"
"Metropolitan Area","El Centro MSA","2021","May","2021-05-01T00:00:00.000","0","Total Nonfarm","N","53300"
"Metropolitan Area","El Centro MSA","2021","May","2021-05-01T00:00:00.000","1000000","Total Wage and Salary","N","64800"
"Metropolitan Area","El Centro MSA","2021","May","2021-05-01T00:00:00.000","5000000","Total Private","N","34600"
"Metropolitan Area","El Centro MSA","2021","May","2021-05-01T00:00:00.000","6000000","Goods Producing","N","4200"
"Metropolitan Area","El Centro MSA","2021","May","2021-05-01T00:00:00.000","7000000","Service Providing","N","49100"
"Metropolitan Area","El Centro MSA","2021","May","2021-05-01T00:00:00.000","8000000","Private Service Providing","N","30400"
