"month","year","alameda","alpine","amador","butte","calaveras","colusa","contra_costa","del_norte","el_dorado","fresno","glenn","humboldt","imperial","inyo","kern","kings","lake","lassen","los_angeles","madera","marin","mariposa","mendocino","merced","modoc","mono","monterey","napa","nevada","orange","placer","plumas","riverside","sacramento","san_benito","san_bernardino","san_diego","san_francisco","san_joaquin","san_luis_obispo","san_mateo","santa_barbara","santa_clara","santa_cruz","shasta","sierra","siskiyou","solano","sonoma","stanislaus","sutter","tehama","trinity","tulare","tuolumne","ventura","yolo","yuba","total_all_counties"
"April","2019","9930","11","278","2805","423","1263","7021","297","1557","21246","574","1112","8085","159","20393","3259","807","305","67709","2817","1090","184","879","6811","124","139","10440","959","778","16763","2593","478","19213","12267","989","16099","20569","5348","10906","1469","3034","3627","10251","5768","2102","46","800","3953","3074","8991","2625","774","162","13225","537","5744","2180","1094","346136"
"May","2019","10043","17","233","2075","338","652","6703","256","1367","15732","449","876","8686","118","16714","2218","575","211","69619","2053","1014","117","590","4858","71","220","5054","763","718","16439","2303","224","19103","11378","782","16122","19872","5289","8757","1359","2954","2518","10011","2838","1540","37","481","3556","2684","7793","1823","632","107","9853","421","5661","1561","835","309273"
"June","2019","10243","12","204","2055","321","494","6850","211","1236","13393","377","851","8540","123","14562","2156","538","161","72088","1811","1014","90","500","4115","48","185","3026","718","650","16735","2222","142","20676","11359","602","17038","20419","5523","8168","1326","3020","2252","10150","1832","1384","23","384","3328","2583","7036","1355","569","78","8598","349","5734","1360","736","301553"
"July","2019","10915","13","211","1980","320","356","6951","231","1214","12207","354","879","10748","118","13440","1752","519","147","75771","1663","1088","82","503","3401","47","163","2612","774","635","17636","2240","145","22932","11800","528","17598","21316","5816","7908","1307","3196","2226","10330","1688","1310","17","343","3543","2729","6487","1047","564","72","9312","345","6289","1373","705","309896"
"August","2019","10318","12","205","1653","318","188","6637","222","1126","10267","329","844","11301","97","10547","1451","475","112","70531","1349","1067","86","467","2526","38","164","2175","639","548","16830","2113","97","23784","11047","457","16186","20822","5508","7016","1221","3059","2191","10242","1519","1141","15","271","3152","2319","4989","761","503","60","7994","306","6907","1199","631","288032"
"September","2019","9440","11","186","1353","286","165","6122","214","1048","10126","210","630","10548","94","9654","1332","502","97","64604","1177","988","80","411","2072","35","183","2193","608","529","15765","2060","92","22429","10209","468","15184","19507","4832","6698","1110","2798","2225","9618","1407","1123","16","262","2976","2161","4430","749","395","58","7466","308","6721","1089","623","267677"
"October","2019","9284","8","207","1448","301","315","6181","234","1111","12643","193","690","10161","104","9773","1823","560","99","62665","1380","942","95","455","2541","52","218","2927","621","572","15639","2046","128","21082","10023","570","14671","19443","4927","7234","1044","2831","2433","9437","1832","1225","14","274","2976","2130","4908","902","416","93","8348","309","6584","1173","626","270921"
"November","2019","9036","8","244","1707","333","817","6109","280","1199","16292","271","747","8765","124","11568","2390","790","159","61329","1950","941","147","593","3814","75","250","5569","923","634","15375","2075","251","19345","10101","716","14439","19300","4831","8822","1181","2777","2974","9562","3296","1358","19","421","3183","2638","6091","1514","432","106","9610","352","6980","1800","784","287397"
"December","2019","9064","6","332","2324","429","1308","6417","320","1404","18972","489","915","7077","132","16809","2866","937","243","62529","2643","960","218","851","6264","120","199","12855","1253","716","15350","2290","421","19138","11382","1040","14436","19585","4886","10719","1358","2717","4720","9606","5204","1865","37","749","3678","2851","7879","2308","641","130","12177","463","7273","2469","1123","325147"
"January","2020","9853","11","360","2864","472","1775","6926","320","1546","22047","642","1267","6253","177","20389","3498","1028","373","66249","3044","1049","288","1027","7532","152","173","15085","1244","824","16260","2538","530","18942","12630","1244","15652","20935","5418","11889","1625","2966","5450","10180","6388","2435","53","985","4025","3166","8698","2624","818","193","13849","595","7150","2918","1297","357921"
