"parkid","park_name","purpose","athletic_park","baseball","bmx_skate","campground","cross_country_skiing","day_use","football","golf","nature_appreciation","off_leash","outdoor_rink","playground","rugby","soccer","tennis","tot_playground","volleyball","water_recreation","wilderness_trail","x_coord","y_coord","longitude","latitude","location"
"1","Antler Lake Uncas Community Hall","Community Hall or Centre","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","68207.5743000004","5930634.3017","-112.971276223798","53.5036720717526","
,  
(53.5036720717526, -112.97119804582)"
"20","Brookville Community Hall","Community Hall or Centre","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","66206.7220999999","5937982.2126","-112.999606071538","53.5707675993214","
,  
(53.5707675993221, -112.999606215391)"
"144","A.J. Ottewell Community Centre","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","44995.8367999997","5933470.3052","-113.321373329422","53.5317110349751","
,  
(53.5317110349762, -113.321813252836)"
"105","Smeltzer House","Recreation","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","45193.3642999996","5932389.3659","-113.319096832185","53.5222438525913","
,  
(53.522350868774, -113.319096832185)"
"124","Westlake Beach Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","71874.0214","5919824.9029","-112.919285327563","53.4067763916463","
,  
(53.4067763916463, -112.919368859337)"
"28","Clarkdale Meadows Pond","Storm Water Management Facilit","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",,"YES","NO","NO","49146.6184","5935465.2116","-113.253346475834","53.5503288685846","
,  
(53.5503288685846, -113.254860852091)"
"37","Community Centre & Library","Community Hall or Centre","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","46484.9546999997","5932827.3997","-113.297158058705","53.5258829783533","
,  
(53.5258829783533, -113.297471593717)"
"147","Fultonvale Elementary Junior High School","School","NO","YES","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","YES","NO",,"NO","NO","YES","54141.7834999999","5925653.9978","-113.186746015388","53.4575729969465","
,  
(53.4575490207503, -113.19078051146)"
"2","Antler Lake Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"YES","NO","NO","68387.3130999999","5929091.7888","-112.969253789798","53.4907398533192","
,  
(53.491152275624, -112.969253789798)"
"189","Yohemas Park",,,,,,,,,,,,,,,,,,,,,"46191.2297","5931076.1304","-113.303071003868","53.5104701921089","
,  
(53.5104701921089, -113.302971284415)"
"23","Charlton Heights Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","47322.8430000003","5935056.796","-113.285962142369","53.5460942475095","
,  
(53.5460927069665, -113.285962142369)"
"112","Summerton Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO",,"NO","YES","NO","48617.2692","5936322.9322","-113.266947120709","53.557477112004","
,  
(53.557477112004, -113.266941473586)"
"90","Nottingham Green Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","47910.9764","5932790.7882","-113.27830621438","53.5262181706728","
,  
(53.5262181706728, -113.278207870708)"
"155","Salisbury Athletic Park","School","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO",,"NO","NO","NO","46309.4748999998","5932829.7891","-113.301911166395","53.5253021062644","
,  
(53.5253021062644, -113.301953154666)"
"62","Fultonvale Fastball","Recreation","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","50771.9354999997","5924023.2174","-113.234816848154","53.4472813167585","
,  
(53.4472813167581, -113.234817436408)"
"163","Upper Nottingham Lake Park East","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","48216.6563999997","5931684.1423","-113.273284087836","53.515831109296","
,  
(53.515831109296, -113.27355464205)"
"154","Emerald Hills Regional Park","School","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO",,"NO","NO","NO","47029.3378999997","5937369.0226","-113.285866263609","53.5655290248171","
,  
(53.5655290248163, -113.286625566592)"
"110","Strathcona Station Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO",,"NO","NO","NO","46372.9225000003","5934976.0274","-113.301397046518","53.5446229256466","
,  
(53.5446594039201, -113.30139704652)"
"21","Carson Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO",,"NO","YES","NO","48560.3152999999","5935086.4532","-113.268738492168","53.5458935157165","
,  
(53.5458935157165, -113.267671317861)"
"77","Josephburg Gymkhana","Recreation","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","64213.9599000001","5954138.8549","-113.025969765335","53.7149835834164","
,  
(53.7149835834129, -113.02599640581)"
"34","Colchester School","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","43747.4203000003","5924946.161","-113.338635267916","53.4548900231136","
,  
(53.4548900231133, -113.338948729396)"
"38","Craigavon Meadows Wetlands","Storm Water Management Facilit","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","48351.1396000003","5933430.2341","-113.268458486936","53.5315770652544","
,  
(53.5315770652544, -113.267700612878)"
"85","McPherson Park","Recreation","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","NO","YES","NO",,"NO","NO","NO","48958.3783","5931835.7935","-113.261401120095","53.5165009407984","
,  
(53.5165009407988, -113.261390008095)"
"56","Fountain Creek Lake Park","Storm Water Management Facilit","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","44360.8597999997","5930045.9583","-113.331542935098","53.500711453671","
,  
(53.5001893350122, -113.331542935094)"
"53","Estates of Sherwood Park Sport Field Park","Recreation","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO",,"NO","NO","NO","46751.6754000001","5931002.678","-113.2934812129","53.5086903669619","
,  
(53.5086903669622, -113.293091279474)"
"122","Village on the Lake Outfall Swale","Storm Water Management Facilit","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","44395.8328999998","5931777.1497","-113.33152902637","53.5169819485072","
,  
(53.5169819485072, -113.331529091081)"
"131","Greengrove Park","Recreation","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",,"NO","NO","YES","47622.5171999997","5933409.4427","-113.284053276818","53.5319283135329","
,  
(53.5319283135315, -113.28347410638)"
"169","Sherwood Hills Estates Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","49199.8488999996","5930454.8563","-113.257511534576","53.5081446179427","
,  
(53.5081446179426, -113.254777297746)"
"71","Granville Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","48127.7755000005","5933920.0253","-113.276822508505","53.536557412682","
,  
(53.536557412682, -113.276515735718)"
"164","Foxboro Lake Park","Storm Water Management Facilit","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","49824.0891000004","5932894.7974","-113.250282000852","53.525490550209","
,  
(53.5254905502091, -113.249801980606)"
"190","Amesbury Park","Recreation",,,,,,,,,,,,,,,,,,,,"46260.1535999998","5930829.1355","-113.302579601569","53.5078138969336","
,  
(53.5078138969352, -113.303182166785)"
"43","Davenport Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","49136.0473999996","5935919.9843","-113.259298157239","53.553065724508","
,  
(53.5531753826605, -113.259298157237)"
"89","Normandy Drive Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","48248.1390000004","5931476.4448","-113.272124568751","53.514075853611","
,  
(53.514075853611, -113.272145441139)"
"9","Ball Lake Island Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","48243.5581999999","5932293.7284","-113.273533524335","53.5207555874386","
,  
(53.5207555874386, -113.273433991691)"
"114","Summerwood Urban Forest","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",,"NO","NO","YES","49427.2345000003","5936452.5029","-113.256112498935","53.5588917713425","
,  
(53.5588917713426, -113.255924895438)"
"86","Meadowood Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","46897.1829000004","5931427.4021","-113.291755800518","53.5133490646973","
,  
(53.5133490646973, -113.292008986625)"
"8","Eton Park","Recreation","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","47739.7111","5937039.9926","-113.278123514752","53.5634666491574","
,  
(53.5634666491575, -113.27845940956)"
"111","Strathcona Village Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","46551.1036999999","5935199.2165","-113.297411946653","53.5474364491534","
,  
(53.5474364491534, -113.297411952745)"
"46","Dawson Drive Natural Area","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","48316.9903999995","5936119.7979","-113.272577679784","53.5556673232605","
,  
(53.5556673232605, -113.272856237083)"
"173","Ardrossan Recreation Complex","Recreation","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",,"NO","NO","NO","56755.3679","5935964.5388","-113.145498911235","53.5537890314005","
,  
(53.5537890314009, -113.145252674447)"
"41","Cranford Way Retention Pond","Storm Water Management Facilit","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","47111.193","5934673.701","-113.289799190529","53.5431468012608","
,  
(53.5431468012606, -113.289844098631)"
"116","Sunflower Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",,"NO","NO","NO","49193.9754999997","5935924.7308","-113.25713486437","53.5539105161205","
,  
(53.5539105161261, -113.257141627059)"
"118","Rotary Park at Trillium Centre","School","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO",,"NO","NO","NO","47990.4289999995","5935740.5821","-113.27332447177","53.552037336447","
,  
(53.552037336447, -113.273426484813)"
"44","Davidson Creek Park","Recreation","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO",,"NO","NO","NO","49039.0701000001","5935734.5892","-113.261474791703","53.5517918471667","
,  
(53.551791847185, -113.262971274589)"
"91","Nottingham Park","Recreation","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO",,"NO","NO","NO","47899.7034999998","5932538.9855","-113.27880936851","53.5234120166749","
,  
(53.5234120166749, -113.279205146939)"
"101","Robin Hood Park","Recreation","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",,"NO","NO","NO","46192.7490999997","5931726.5769","-113.302771306598","53.5160402327447","
,  
(53.5160402327447, -113.30270024644)"
"121","Village on the Lake","Storm Water Management Facilit","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO",,"NO","YES","NO","44470.4516000003","5931829.6623","-113.324907779444","53.5166898491938","
,  
(53.5166898491938, -113.326276881907)"
