"responseid","location","age_gp","gender","identity","q1_at_the_present_time_how","q3_to_what_extent_do_you","q5_do_you_own_or_operate","q4_a_mandatory_mask_bylaw","q2_1_i_don_t_experience_any","q2_2_affordability_purchasing","q2_3_access_getting_to","q2_4_i_have_a_disability","q2_5_i_feel_silly","q2_6_general_discomfort","q2_7_i_can_t_get_my_child","q2_8_i_just_don_t_like_it","q2_9_i_don_t_believe_wearing","q2_10_i_feel_judged_by_others"
"3272","4","5","2",,"4","3","2",,"0","0","0","0","0","0","0","0","1","0"
"3282","4","4","2",,"1","1","2",,"1","0","0","0","0","0","0","0","0","0"
"3416","4","2","2",,"4","4","2",,"0","0","0","0","0","1","1","1","1","0"
"3580","4","2","2",,"2","2","2",,"0","0","0","0","0","1","0","0","0","0"
"3623","4","2","2",,"1","1","2",,"1","0","0","0","0","0","0","0","0","0"
"3643","4","2","2",,"1","1","2",,"1","0","0","0","0","0","0","0","0","0"
"3670","4","3","2",,"2","1","2",,"1","0","0","0","0","0","0","0","0","0"
"3730","4","5","2",,"4","5","2",,"0","0","0","1","0","0","0","0","0","0"
"3778","4","4","1",,"3","1","2",,"1","0","0","0","0","0","0","0","0","0"
"3801","4","2","2",,"1","1","2",,"1","0","0","0","0","0","0","0","0","0"
"3806","4","2","2",,"4","4","2",,"0","1","0","1","0","1","1","0","0","0"
"3840","4","2","1",,"1","1","2",,"1","0","0","0","0","0","0","0","0","0"
"3845","4","2","2",,"4","4","2",,"0","0","0","0","0","1","1","1","1","0"
"3887","4","3","2",,"1","1","2",,"1","0","0","0","0","0","0","0","0","0"
"3894","4","3","1",,"3","1","2",,"1","0","0","0","0","0","0","0","0","0"
"3956","4","3","2",,"4","4","2",,"0","0","0","0","1","1","0","1","1","0"
"3961","4","3","1",,"1","1","2",,"0","0","0","0","1","0","0","0","0","0"
"3973","4","4","2",,"4","4","2",,"0","0","0","0","0","1","0","0","1","0"
"3987","4","1","2",,"4","4","2",,"0","0","0","0","1","1","0","1","1","0"
"4007","4","1","2",,"2","4","2",,"0","0","0","0","1","1","0","1","1","0"
"4019","4","3","1",,"4","4","2",,"0","0","0","0","0","0","0","0","1","0"
"4031","4","3","2",,"4","4","2",,"0","0","0","0","0","1","0","0","0","0"
"4037","4","6","1",,"4","4","2",,"0","0","0","0","0","0","0","0","1","0"
"4046","4","1","2",,"2","2","2",,"0","0","0","0","0","0","0","0","1","0"
"4047","4","2","2",,"4","4","2",,"0","1","0","1","0","1","1","1","1","0"
"4053","4","6","2",,"1","1","2",,"1","0","0","0","0","0","0","0","0","0"
"4056","4","6","1",,"3","1","2",,"1","0","0","0","0","0","0","0","0","0"
"4065","4","2","1",,"2","4","2",,"0","1","0","1","1","1","0","1","1","0"
"4087","4","1","2",,"4","4","2",,"0","0","0","1","0","1","0","0","1","0"
"4088","4","3","2",,"4","4","2",,"0","1","0","1","0","1","0","1","1","0"
"4129","4","2","2",,"4","4","2",,"0","0","0","0","0","0","0","0","1","0"
"4162","4","4","2",,"4","4","2",,"0","1","1","0","0","1","0","1","1","0"
"4207","4","2","2",,"4","4","2",,"0","0","0","1","0","0","0","0","0","0"
"4222","4","3","2",,"4","3","2",,"0","0","0","0","0","0","0","0","1","0"
"4257","4","2","2",,"1","1","2",,"1","0","0","0","0","0","0","0","0","0"
"4260","4","3","2",,"3","1","2",,"0","1","0","0","0","1","0","0","0","1"
"4325","4","3","2",,"1","1","2",,"1","0","0","0","0","0","0","0","0","0"
"4449","4","2","2",,"2","4","2",,"0","1","0","0","0","1","0","0","1","0"
"4506","4","4","2",,"4","4","2",,"0","0","0","1","0","0","0","0","0","0"
"4542","4","3","2",,"1","1","2",,"1","0","0","0","0","0","0","0","0","0"
