"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","product_type","product_orientation_vertical_chest","product_description","defrost_type","number_of_glass_doors","number_of_solid_doors","number_of_doors","door_opening_orientation_hinged_sliding","total_volume_cu_ft","mixed_door_cabinet_glass_door_volume_cu_ft","mixed_door_cabinet_solid_door_volume_cu_ft","height_in","width_in","depth_in","energy_use_daily_energy_consumption_kwh_day","refrigerant_type","refrigerant_with_gwp","date_available_on_market","date_qualified","markets","energy_star_model_identifier"
"2345124","Beverage-Air Corp.","Beverage-Air","Horizon Series","HBR27HC****G*******","","","Vertical Transparent Door Refrigerator","Vertical","Reach-in","Automatic","1","0","1","Hinged","26.17","26.17","0","78","30","32.5","2.05","R-290","R-290 (GWP:3 | Lower GWP)","2017-11-07T00:00:00.000","2019-08-21T00:00:00.000","United States, Canada","ES_42829_HBR27HC****G*******_08012019153434_2432214"
"2366222","Beverage-Air Corp.","Beverage-Air","Horizon Series","HBR35HC-1**G*******","","","Vertical Transparent Door Refrigerator","Vertical","Reach-in","Automatic","2","0","2","Hinged","35.55","35.55","0","78","39.5","30","2.64","R-290","R-290 (GWP:3 | Lower GWP)","2020-09-05T00:00:00.000","2020-09-24T00:00:00.000","United States, Canada","ES_42829_HBR35HC-1**G*******_09212020163127_7886927"
"2366206","Beverage-Air Corp.","Beverage-Air","Horizon Series","HBR35HC-1**S*******","","","Vertical Solid Door Refrigerator","Vertical","Reach-in","Automatic","0","2","2","Hinged","35.4","0","35.4","78","39.5","30","1.7","R-290","R-290 (GWP:3 | Lower GWP)","2020-08-31T00:00:00.000","2020-09-24T00:00:00.000","United States, Canada","ES_42829_HBR35HC-1**S*******_09212020163347_9861414"
"2344791","Beverage-Air Corp.","Beverage-Air","Horizon Series","HBR44HC****1*******","","","Vertical Solid Door Refrigerator","Vertical","Reach-in","Automatic","0","2","2","Hinged","40.2","0","40.2","78","47","32.38","1.93","R-290","R-290 (GWP:3 | Lower GWP)","2017-11-07T00:00:00.000","2019-08-19T00:00:00.000","United States, Canada","ES_42829_HBR44HC****1*******_08012019150420_19037"
"2344792","Beverage-Air Corp.","Beverage-Air","Horizon Series","HBR49HC****1*******","","","Vertical Solid Door Refrigerator","Vertical","Reach-in","Automatic","0","2","2","Hinged","46.15","0","46.15","78","52","32.38","2.11","R-290","R-290 (GWP:3 | Lower GWP)","2017-11-07T00:00:00.000","2019-08-19T00:00:00.000","United States, Canada","ES_42829_HBR49HC****1*******_08012019150612_6003229"
"2345210","Beverage-Air Corp.","Beverage-Air","Horizon Series","HBR49HC****G*******","","","Vertical Transparent Door Refrigerator","Vertical","Reach-in","Automatic","2","0","2","Hinged","46.15","46.15","0","78","52","32.38","3.21","R-290","R-290 (GWP:3 | Lower GWP)","2017-11-07T00:00:00.000","2019-08-21T00:00:00.000","United States, Canada","ES_42829_HBR49HC****G*******_08192019174614_5896722"
"2344793","Beverage-Air Corp.","Beverage-Air","Horizon Series","HBR72HC****1*******","","","Vertical Solid Door Refrigerator","Vertical","Reach-in","Automatic","0","3","3","Hinged","68.93","0","68.93","78","75","31.75","2.38","R-290","R-290 (GWP:3 | Lower GWP)","2017-11-07T00:00:00.000","2019-08-19T00:00:00.000","United States, Canada","ES_42829_HBR72HC****1*******_08012019151745_113794"
"2345200","Beverage-Air Corp.","Beverage-Air","Horizon Series","HBR72HC****G*******","","","Vertical Transparent Door Refrigerator","Vertical","Reach-in","Automatic","3","0","3","Hinged","68.93","68.93","0","78","75","31.75","3.92","R-290","R-290 (GWP:3 | Lower GWP)","2017-11-07T00:00:00.000","2019-08-21T00:00:00.000","United States, Canada","ES_42829_HBR72HC****G*******_08012019154352_6305200"
"2357024","Beverage-Air Corp.","Beverage-Air","Horizon Series Top Mount Freezer","HF1HC***S********","","","Vertical Solid Door Freezer","Vertical","Reach-in","Automatic","0","1","1","Hinged","21.02","0","21.02","78.5","26","30","4.59","R-290","R-290 (GWP:3 | Lower GWP)","2020-01-01T00:00:00.000","2020-03-23T00:00:00.000","United States, Canada","ES_42829_HF1HC***S********_03232020103621_297510"
"2345929","Beverage-Air Corp.","Beverage-Air","Horizon Series Top Mount Freezer","HF1WHC***S********","","","Vertical Solid Door Freezer","Vertical","Reach-in","Automatic","0","2","2","Hinged","30.37","0","30.37","78.5","35","30","5.37","R-290","R-290 (GWP:3 | Lower GWP)","2019-04-02T00:00:00.000","2019-09-05T00:00:00.000","United States, Canada","ES_42829_HF1WHC***S********_08282019174001_4102899"
