"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","product_type","cop_rating","eer_rating","date_available_on_market","date_qualified","markets","energy_star_model_identifier","meets_most_efficient_criteria"
"2274997","Carrier Corporation","Bryant","GC","GC024C/H/V******1*X1 + UI","","","Open Loop Water-to-Air","5","30","2016-04-13T00:00:00.000","2016-08-12T00:00:00.000","United States, Canada","ES_1020846_08122016172440_3659441","Yes"
"2274998","Carrier Corporation","Bryant","GC","GC024C/H/V******1*X1 + UI","","","Closed Loop Water-to-Air","4.2","24","2016-04-13T00:00:00.000","2016-08-12T00:00:00.000","United States, Canada","ES_1020846_08122016172440_7763491","Yes"
"2275001","Carrier Corporation","Bryant","GC","GC036C/H/V******1*X1 + UI","","","Open Loop Water-to-Air","5.1","32.5","2016-04-13T00:00:00.000","2016-08-12T00:00:00.000","United States, Canada","ES_1020846_08122016172441_1762397","Yes"
"2275002","Carrier Corporation","Bryant","GC","GC036C/H/V******1*X1 + UI","","","Closed Loop Water-to-Air","4.5","27","2016-04-13T00:00:00.000","2016-08-12T00:00:00.000","United States, Canada","ES_1020846_08122016172441_2588806","Yes"
"2275100","Carrier Corporation","Bryant","GZ","GZ024*******1*X1","","","Open Loop Water-to-Air","4.3","25.9","2016-03-31T00:00:00.000","2016-08-12T00:00:00.000","United States, Canada","ES_1020846_08122016172431_6110857","Yes"
"2275101","Carrier Corporation","Bryant","GZ","GZ024*******1*X1","","","Closed Loop Water-to-Air","3.7","21","2016-03-31T00:00:00.000","2016-08-12T00:00:00.000","United States, Canada","ES_1020846_08122016172431_9309763","Yes"
"2275102","Carrier Corporation","Bryant","GZ","GZ024*******1*X1","","","Open Loop Water-to-Air","4.3","26.4","2016-03-31T00:00:00.000","2016-08-12T00:00:00.000","United States, Canada","ES_1020846_08122016172431_5527047","Yes"
"2275103","Carrier Corporation","Bryant","GZ","GZ024*******1*X1","","","Closed Loop Water-to-Air","3.9","21.3","2016-03-31T00:00:00.000","2016-08-12T00:00:00.000","United States, Canada","ES_1020846_08122016172431_7893723","Yes"
"2275108","Carrier Corporation","Bryant","GZ","GZ024*******1*X1","","","Open Loop Water-to-Air","4.2","24.3","2016-03-31T00:00:00.000","2016-08-12T00:00:00.000","United States, Canada","ES_1020846_08122016172432_1568912","Yes"
"2275109","Carrier Corporation","Bryant","GZ","GZ024*******1*X1","","","Closed Loop Water-to-Air","3.6","20.2","2016-03-31T00:00:00.000","2016-08-12T00:00:00.000","United States, Canada","ES_1020846_08122016172432_4593639","Yes"
