"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","indoor_outdoor","product_type","ceiling_fan_size_diameters_in_inches","ceiling_fan_efficiency_cfm_w","fan_power_consumption_low_speed_w","fan_power_consumption_high_speed_w","fan_power_consumption_standby_w","ceiling_fan_features","ceiling_fan_components_warranty_years","shipped_with_energy_star_lamp_s_formula","energy_star_lamp_pd_id","energy_star_lamp_alternate_pd_ids","lamp_manufacturer","lamp_model_number","lighting_technology","light_output_lumens","total_input_power_watts","energy_efficiency_measured_outside_the_fixture_lm_w","lighting_efficiency_measured_at_the_source_lm_w","power_factor","correlated_color_temperature_kelvin","color_quality_cri","light_source_life_hours","light_sources_per_light_kit","light_source_connection_base_type","light_kit_dimmability","special_features_dimming_motion_sensing_etc","light_kit_warranty","connected_functionality","communication_standard_media_network_layer","notes","date_available_on_market","date_qualified","markets","energy_star_model_identifier","meets_most_efficient_criteria"
"2320988","Big Ass Fans","Big Ass Fans","Haiku","B3213-X4-AB-04-02-D-01","B3213-X4-AB-04-02-D-01-F421
B3213-X4-AB-04-02-D-01-F523,B3213-X4-AB-04-02-D-01-F531
B3213-X4-AO-04-02-D-01-F471
B3213-X4-AS-04-02-D-01-F470
B3213-X4-AW-04-02-D-01
B3213-X4-AW-04-02-D-01-F421
B3213-X4-AW-04-02-D-01-F523
B3213-X4-AW-04-02-D-01-F531
B3213-X4-A*-04-02-D-01-F,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","84","353",,"53.7","2","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_B3213-X4-AB-04-02-D-01_0605201804094370185411","No"
"2320989","Big Ass Fans","Big Ass Fans","Haiku","B3213-X4-BC-04-02-D-01",",B3213-X4-BCO-04-02-D-01
B3213-X4-BCS-04-02-D-01
B3213-X4-BCW-04-02-D-01
B3213-X4-BW-04-02-D-01
B3213-X4-BWO-04-02-D-01
B3213-X4-BWS-04-02-D-01
B3213-X4-BWW-04-02-D-01
B3213-X4-B*-04-02-D-01,SenseME","","Indoor Ceiling Fan","Standard Fan Only","84","368","3.8","39.2","2","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_B3213-X4-BC-04-02-D-01_0605201804094370185412","No"
"2320990","Big Ass Fans","Big Ass Fans","Haiku","S3127-A2-AB-04-02-C-01-F258","S3127-A2-AB-04-02-C-01-F421
S3127-A2-AB-04-02-C-01-F523
S3127-A2-AB-04-02-C-01-F531,S3127-A2-AO-04-02-C-01-F471
S3127-A2-AS-04-02-C-01-F470
S3127-A2-AW-04-02-C-01-F259
S3127-A2-AW-04-02-C-01-F421
S3127-A2-AW-04-02-C-01-F523
S3127-A2-AW-04-02-C-01-F531
S3127-A2-A*-04-02-C-01-F,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","52","305",,"20.7","1.3","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3127-A2-AB-04-02-C-01-F258_0605201804094370185413","Yes"
"2320991","Big Ass Fans","Big Ass Fans","Haiku","S3127-A2-BC-04-02-C-01",",S3127-A2-BCO-04-02-C-01
S3127-A2-BCS-04-02-C-01
S3127-A2-BCW-04-02-C-01
S3127-A2-BW-04-02-C-01
S3127-A2-BWO-04-02-C-01
S3127-A2-BWS-04-02-C-01
S3127-A2-BWW-04-02-C-01
S3127-A2-B*-04-02-C-01,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","52","236",,"26.6","1.3","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3127-A2-BC-04-02-C-01_0605201804094370185414","Yes"
"2320992","Big Ass Fans","Big Ass Fans","Haiku","S3127-S0-AB-04-02-C-01-F258","S3127-S0-AB-04-02-C-01-F421
S3127-S0-AB-04-02-C-01-F523,S3127-S0-AB-04-02-C-01-F531
S3127-S0-AO-04-02-C-01-F471
S3127-S0-AS-04-02-C-01-F470
S3127-S0-AW-04-02-C-01-F259
S3127-S0-AW-04-02-C-01-F421
S3127-S0-AW-04-02-C-01-F523
S3127-S0-AW-04-02-C-01-F531
S3127-S0-A*-04-02-C-01-F,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","52","338",,"15.6","1.3","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3127-S0-AB-04-02-C-01-F258_0605201804094370185415","Yes"
"2320993","Big Ass Fans","Big Ass Fans","Haiku","S3127-S0-BW-04-02-C-01",",S3150-S0-BC-04-02-C-01
S3150-S0-BCO-04-02-C-01
S3150-S0-BCS-04-02-C-01
S3150-S0-BCW-04-02-C-01
S3150-S0-BWO-04-02-C-01
S3150-S0-BWS-04-02-C-01
S3150-S0-BWW-04-02-C-01
S3150-S0-B*-04-02-C-01,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","52","286",,"19.2","1.3","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3127-S0-BW-04-02-C-01_0605201804094370185416","Yes"
"2320994","Big Ass Fans","Big Ass Fans","Haiku","S3127-X2-AB-04-02-C-01-F258","S3127-X2-AB-04-02-C-01-F421
S3127-X2-AB-04-02-C-01-F523
S3127-X2-AB-04-02-C-01-F531,S3127-X2-AO-04-02-C-01-F471
S3127-X2-AS-04-02-C-01-F470
S3127-X2-AW-04-02-C-01-F259
S3127-X2-AW-04-02-C-01-F421
S3127-X2-AW-04-02-C-01-F523
S3127-X2-AW-04-02-C-01-F531
S3127-X2-A*-04-02-C-01-F,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","52","305",,"20.7","1.3","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3127-X2-AB-04-02-C-01-F258_0605201804094370185417","Yes"
"2320995","Big Ass Fans","Big Ass Fans","Haiku","S3127-X2-BW-04-02-C-01",",S3127-X2-BC-04-02-C-01
S3127-X2-BCO-04-02-C-01
S3127-X2-BCS-04-02-C-01
S3127-X2-BCW-04-02-C-01
S3127-X2-BWO-04-02-C-01
S3127-X2-BWS-04-02-C-01
S3127-X2-BWW-04-02-C-01
S3127-X2-B*-04-02-C-01,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","52","236",,"26.6","1.3","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3127-X2-BW-04-02-C-01_0605201804094370185418","Yes"
"2320996","Big Ass Fans","Big Ass Fans","Haiku","S3150-A2-AB-04-02-C-01-F258","S3150-A2-AB-04-02-C-01-F421
S3150-A2-AB-04-02-C-01-F523,S3150-A2-AB-04-02-C-01-F531
S3150-A2-AO-04-02-C-01-F471
S3150-A2-AS-04-02-C-01-F470
S3150-A2-AW-04-02-C-01-F259
S3150-A2-AW-04-02-C-01-F421
S3150-A2-AW-04-02-C-01-F523
S3150-A2-AW-04-02-C-01-F531
S3150-A2-A*-04-02-C-01-F,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","60","307",,"26.8","1.3","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3150-A2-AB-04-02-C-01-F258_0605201804094370185419","Yes"
"2320997","Big Ass Fans","Big Ass Fans","Haiku","S3150-A2-BC-04-02-C-01",",S3150-A2-BCO-04-02-C-01
S3150-A2-BCS-04-02-C-01
S3150-A2-BCW-04-02-C-01
S3150-A2-BW-04-02-C-01
S3150-A2-BWO-04-02-C-01
S3150-A2-BWS-04-02-C-01
S3150-A2-BWW-04-02-C-01
S3150-A2-B*-04-02-C-01,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","60","338",,"21.4","1.3","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3150-A2-BC-04-02-C-01_0605201804094370185410","Yes"
