"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","lab_grade_refrigerators_and_freezers_product_type","product_form_factor","number_of_glass_doors","number_of_solid_doors","total_number_of_doors","door_opening_orientation","number_of_internal_ports_and_or_access_holes","number_of_drawers_or_shelves","defrost_type","refrigerant_type","refrigerant_with_gwp","refrigerant_type_other","total_volume_cubic_feet","average_test_cabinet_temperature_oc","peak_temperature_variance_c","daily_energy_consumption","calculated_daily_energy_consumption_kwh_day_cu_ft","steady_state_energy_consumption_kwh_day","maximum_daily_energy_consumption_mdec_requirements_kw_hrs_day","depth_in","height","width","installed_accessories","date_available_on_market","date_qualified","markets","energy_star_model_identifier"
"2320349","Desmon Spa","Desmon","DS-PSM04G","DS-PSM04GBBPCBHE-A","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","11.85","3.49","4.4","3.04",,"2.91","5.68","21.25","68.89","23.62","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PSM04GBBPCBHE-A_05142018231937_9977646"
"2320350","Desmon Spa","Desmon","LABR12CF-PG","LABR12CF-PG","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","11.85","3.49","4.4","3.04",,"2.91","5.68","21.25","68.89","23.62","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_MR12PA-GA_05142018231709_9829890"
"2320351","Desmon Spa","Desmon","DS-PGM07C","DS-PGM07GSSPCBHE-A","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","21.8","3.77","3.6","3.85",,"3.71","7.5","31.49","79.13","28.34","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGM07CSSPCBHE-A_05142018233824_1104292"
"2320352","Desmon Spa","Desmon","DS-PGM07G","DS-PGM07GBBPCBHE-A","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","21.8","3.77","3.6","3.85",,"3.71","7.5","31.49","79.13","28.34","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGM07GBBPCBHE-A_05142018234007_1207031"
"2320353","Desmon Spa","Desmon","LABR25CF-SG","LABR25CF-SG","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","21.8","3.77","3.6","3.85",,"3.71","7.5","31.49","79.13","28.34","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_MR25SS-GA_05142018233530_0930680"
"2320355","Desmon Spa","Desmon","DS-PGH09G","DS-PGH09GBBPCBHE-A","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","32.28","3.73","4.5","2.77",,"1.69","9.22","37.4","81.1","32.28","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGH09GBBPCBHE-A_05142018235715_2235708"
"2320356","Desmon Spa","Desmon","DS-PGH09G","DS-PGH09GSSPCBHE-A","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","32.28","3.73","4.5","2.77",,"1.69","9.22","37.4","81.1","32.28","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGH09GSSPCBHE-A_05142018235801_2281568"
"2320357","Desmon Spa","Desmon","DS-PGM09C","DS-PGM09CBBPCBHE-A","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","32.28","3.73","4.5","2.77",,"1.69","9.22","37.4","81.1","32.28","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGM09CBBPCBHE-A_05142018235312_1992992"
"2320358","Desmon Spa","Desmon","DS-PGM09C","DS-PGM09CSSPCBHE-A","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","32.28","3.73","4.5","2.77",,"1.69","9.22","37.4","81.1","32.28","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGM09CSSPCBHE-A_05142018235425_2065208"
"2320359","Desmon Spa","Desmon","DS-PGM09G","DS-PGM09GBBPCBHE-A","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","32.28","3.73","4.5","2.77",,"1.69","9.22","37.4","81.1","32.28","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGM09GBBPCBHE-A_05142018235349_2029763"
"2320360","Desmon Spa","Desmon","DS-PGM09G","DS-PGM09GSSPCBHE-A","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","32.28","3.73","4.5","2.77",,"1.69","9.22","37.4","81.1","32.28","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGM09GSSPCBHE-A_05142018235610_2170561"
"2320361","Desmon Spa","Desmon","LABR30CF-PG","LABR30CF-PG","","","High Performance Refrigerator","Upright","1","0","1","Swinging","0","4","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","32.28","3.73","4.5","2.77",,"1.69","9.22","37.4","81.1","32.28","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_MR30PA-GA_05142018235234_1954944"
"2320362","Desmon Spa","Desmon","DS-PGM14S","DS-PGM14SBBPCBHE-A","","","High Performance Refrigerator","Upright","2","0","2","Sliding","0","8","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","47.09","3.83","3.6","4.93",,"4.76","11.39","31.49","79.13","56.69","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGM14SBBPCBHE-A_05152018001659_3419987"
"2320363","Desmon Spa","Desmon","DS-PGM14S","DS-PGM14SSSPCBHE-A","","","High Performance Refrigerator","Upright","2","0","2","Sliding","0","8","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","47.09","3.83","3.6","4.93",,"4.76","11.39","31.49","79.13","56.69","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGM14SSSPCBHE-A_05152018001735_3455353"
"2320364","Desmon Spa","Desmon","LABR45CF-PG","LABR45CF-PG","","","High Performance Refrigerator","Upright","2","0","2","Sliding","0","8","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","47.09","3.83","3.6","4.93",,"4.76","11.39","31.49","79.13","56.69","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_MR45PA-GA_05152018001808_3488903"
"2320366","Desmon Spa","Desmon","DS-PGB14C","DS-PGB14CSSPCBHE-A","","","High Performance Freezer","Upright","0","2","2","Swinging","0","8","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","47.31","-20.54","7.1","7.39",,"6.78","22.79","31.49","79.13","56.69","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGB14CSSPCBHE-A_05152018013754_8274119"
"2320367","Desmon Spa","Desmon","LABF49CF-SS","LABF49CF-SS","","","High Performance Freezer","Upright","0","2","2","Swinging","0","8","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","47.31","-20.54","7.1","7.39",,"6.78","22.79","31.49","79.13","56.69","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_MF49SS-SA_05152018013707_8227950"
"2320368","Desmon Spa","Desmon","DS-PGH21G","DS-PGH21GBBPCBHE-A","","","High Performance Refrigerator","Upright","3","0","3","Swinging","0","12","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","72.94","3.49","3.5","8.67",,"8.32","11.62","31.49","79.13","85.03","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGH21GBBPCBHE-A_05152018012144_7304068"
"2320369","Desmon Spa","Desmon","DS-PGH21G","DS-PGH21GSSPCBHE-A","","","High Performance Refrigerator","Upright","3","0","3","Swinging","0","12","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","72.94","3.49","3.5","8.67",,"8.32","11.62","31.49","79.13","85.03","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGH21GSSPCBHE-A_05152018012233_7353056"
"2320370","Desmon Spa","Desmon","DS-PGM21G","DS-PGM21GBBPCBHE-A","","","High Performance Refrigerator","Upright","3","0","3","Swinging","0","12","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","72.94","3.49","3.5","8.67",,"8.32","11.62","31.49","79.13","85.03","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGM21GBBPCBHE-A_05152018012008_7208968"
"2320371","Desmon Spa","Desmon","DS-PGM21G","DS-PGM21GSSPCBHE-A","","","High Performance Refrigerator","Upright","3","0","3","Swinging","0","12","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","72.94","3.49","3.5","8.67",,"8.32","11.62","31.49","79.13","85.03","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_DS-PGM21GSSPCBHE-A_05152018012056_7256081"
"2320372","Desmon Spa","Desmon","LABR72CF-PG","LABR72CF-PG","","","High Performance Refrigerator","Upright","3","0","3","Swinging","0","12","Automatic","R-290","R-290 (GWP:3 | Lower GWP)","","72.94","3.49","3.5","8.67",,"8.32","11.62","31.49","79.13","85.03","None","2018-05-15T00:00:00.000","2018-05-14T00:00:00.000","United States","ES_1141281_MR72PA-GA_05152018011919_7159815"
"2321349","Qingdao Haier Biomedical Co.,Ltd","Haier","DW-86L578J","DW-86L578J",",,120V","","Ultra-Low Temperature Freezer","Upright","0","1","1","Right,Swinging","2","4","Manual","R-290,R170","R-170 (ethane) (GWP:6 | Lower GWP), R-290 (GWP:3 | Lower GWP)","R170","20.44",,"17.07",,"0.39",,,"37.25","78","31.5","Chart recorder","2018-04-26T00:00:00.000","2018-06-15T00:00:00.000","United States, Canada","ES_1141959_DW-86L578J_06152018172222_3342273"
"2321351","Qingdao Haier Biomedical Co.,Ltd","Haier","DW-86L728J(220V)","DW-86L728J(220V)",",,220-240V, 50Hz","","Ultra-Low Temperature Freezer","Upright","0","1","1","Right,Swinging","2","4","Manual","R-290,R170","R-170 (ethane) (GWP:6 | Lower GWP), R-290 (GWP:3 | Lower GWP)","R170","25.32",,"21.18",,"0.42",,,"37.25","78","37.5","Chart recorder","2014-06-30T00:00:00.000","2018-06-15T00:00:00.000","United States, Canada","ES_1141959_DW-86L728J(220V)_06152018172622_3582905"
"2321352","Qingdao Haier Biomedical Co.,Ltd","Haier","DW-86L828J(220V)","DW-86L828J(220V)",",,220-240V, 50Hz","","Ultra-Low Temperature Freezer","Upright","0","1","1","Right,Swinging","2","4","Manual","R-290,R170","R-170 (ethane) (GWP:6 | Lower GWP), R-290 (GWP:3 | Lower GWP)","R170","28.75",,"11.63",,"0.38",,,"37.25","78","41.5","Chart recorder","2015-06-30T00:00:00.000","2018-06-15T00:00:00.000","United States, Canada","ES_1141959_DW-86L828J(220V)_06152018172850_3730424"
"2322054","Thermo Fisher Scientific LLC","Thermo Fisher Scientific","TSX Series","TSX50086D","","","Ultra-Low Temperature Freezer","Upright","0","1","1","Swinging,Right","2","4","Manual","R-290,R-170","R-170 (ethane) (GWP:6 | Lower GWP), R-290 (GWP:3 | Lower GWP)","R-170","24.49",,"12.67",,"0.43",,,"35.87","77.87","34","Water Cooled Option","2017-07-31T00:00:00.000","2018-06-28T00:00:00.000","United States, Canada","ES_1075790_TSX50086D_06282018210003_9603392"
"2322055","Thermo Fisher Scientific LLC","Thermo Fisher Scientific","TSX Series","TSX50086V","","","Ultra-Low Temperature Freezer","Upright","0","1","1","Swinging,Right","2","4","Manual","R-290,R-170","R-170 (ethane) (GWP:6 | Lower GWP), R-290 (GWP:3 | Lower GWP)","R-170","24.49",,"12.67",,"0.43",,,"35.87","77.87","34","Water Cooled Option","2017-07-31T00:00:00.000","2018-06-28T00:00:00.000","United States, Canada","ES_1075790_TSX50086V_06282018211025_0226050"
