"pd_id","energy_star_partner","product_category","product_type","brand_name","model_name","model_number","additional_model_information","upc","energy_star_model_identifier"
"2262536","Designers Fountain, Inc.","Light Fixtures","Directional Luminaire","Designers Fountain","LED6061-X","LED6061-X","","","ES_20542_LED6061-X_03172016155220_9940804"
"2262537","Designers Fountain, Inc.","Light Fixtures","Directional Luminaire","Designers Fountain","LED6070-X","LED6070-X","","","ES_20542_LED6070-X_03172016155712_0232456"
"2262538","Designers Fountain, Inc.","Light Fixtures","Directional Luminaire","Designers Fountain","LED6071-X","LED6071-X","","","ES_20542_LED6071-X_03172016161333_1213995"
"2262548","Sunco Lighting","Light Bulbs","Lamps","Sunco Lighting","self-ballasted LED Lamp","SCBR20","","","ES_1127217_SCBR20_03172016144345_4564347"
"2262649","The Home Depot","Light Fixtures","Directional Luminaire","Hampton Bay","LED Ceiling light","546831XX","","","ES_31912_546831XX_03212016085114_0274503"
"2262651","The Home Depot","Light Fixtures","Directional Luminaire","Commercial Electric","546771XX","546771XX","","","ES_31912_546771XX_03212016085037_0237801"
"2262673","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 D010TE LAR25NF 4LSQA1H",",LDSQA4A 18830 D010TE LAR25NF 4LSQA0H,; ,LDSQA4A 18830 D010TE LAR35FL 4LSQA0H,; ,LDSQA4A 18830 D010TE LAR35FL 4LSQA1H,","","ES_1018926_LDSQA4A 18830 D010TE LAR25NF 4LSQA1H_03142016233711_8631881"
"2262674","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 D010TE LAR35FL 4LSQAL1H",",LDSQA4A 18830 D010TE LAR35FL 4LSQAL0H,","","ES_1018926_LDSQA4A 18830 D010TE LAR35FL 4LSQAL1H_03142016233753_8673183"
"2262677","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 DLT LAR25NF 4LSQA1H",",LDSQA4A 18830 DLT LAR25NF 4LSQA0H,; ,LDSQA4A 18830 DLT LAR35FL 4LSQA0H,; ,LDSQA4A 18830 DLT LAR35FL 4LSQA1H,","","ES_1018926_LDSQA4A 18830 DLT LAR25NF 4LSQA1H_03212016225109_0669258"
"2262678","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 DLT LAR35FL 4LSQAL1H",",LDSQA4A 18830 DLT LAR35FL 4LSQAL0H,","","ES_1018926_LDSQA4A 18830 DLT LAR35FL 4LSQAL1H_03142016233955_8795521"
"2262679","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 DMX LAR25NF 4LSQA1H",",LDSQA4A 18830 DMX LAR25NF 4LSQA0H,; ,LDSQA4A 18830 DMX LAR35FL 4LSQA0H,; ,LDSQA4A 18830 DMX LAR35FL 4LSQA1H,","","ES_1018926_LDSQA4A 18830 DMX LAR25NF 4LSQA1H_03142016233103_8263891"
"2262680","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 DMX LAR35FL 4LSQAL1H",",LDSQA4A 18830 DMX LAR35FL 4LSQAL0H,","","ES_1018926_LDSQA4A 18830 DMX LAR35FL 4LSQAL1H_03142016233635_8595383"
"2262681","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 D010TE LAR25NF 4LSQA1H",",LDSQA4A 18827 D010TE LAR25NF 4LSQA0H,; ,LDSQA4A 18827 D010TE LAR35FL 4LSQA0H,; ,LDSQA4A 18827 D010TE LAR35FL 4LSQA1H,","","ES_1018926_LDSQA4A 18827 D010TE LAR25NF 4LSQA1H_03142016221930_3970374"
"2262682","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 D010TE LAR35FL 4LSQAL1H",",LDSQA4A 18827 D010TE LAR35FL 4LSQAL0H,","","ES_1018926_LDSQA4A 18827 D010TE LAR35FL 4LSQAL1H_03142016222041_4041221"
"2262685","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 DLT LAR25NF 4LSQA1H",",LDSQA4A 18827 DLT LAR25NF 4LSQAL0H,; ,LDSQA4A 18827 DLT LAR35FL 4LSQA1H,; ,LDSQA4A 18827 DLT LAR35FL 4LSQAL0H,","","ES_1018926_LDSQA4A 18827 DLT LAR25NF 4LSQA1H_03142016222127_4087981"
"2262686","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 DLT LAR35FL 4LSQAL1H","","","ES_1018926_LDSQA4A 18827 DLT LAR35FL 4LSQAL1H_03142016222152_4112334"
"2262687","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 DMX LAR25NF 4LSQA1H",",LDSQA4A 18827 DMX LAR25NF 4LSQAL0H,; ,LDSQA4A 18827 DMX LAR35FL 4LSQA1H,; ,LDSQA4A 18827 DMX LAR35FL 4LSQAL0H,","","ES_1018926_LDSQA4A 18827 DMX LAR25NF 4LSQA1H_03142016220916_3356163"
"2262688","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 DMX LAR35FL 4LSQAL1H","","","ES_1018926_LDSQA4A 18827 DMX LAR35FL 4LSQAL1H_03142016221818_3898969"
