"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","full_load_input_rate_btu_hr","reported_thermal_efficiency_te","turndown_ratio","control_type","application","date_available_on_market","date_qualified","markets","energy_star_model_identifier"
"2318293","NY Thermal Inc.","NTI","NTI","FTG 800","","","800","95","10","Multi-stage","Indoor","2016-06-04T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_FTG 800_04102018180052_7486212"
"2318294","NY Thermal Inc.","NTI","NTI","FTG 1200","","","1200","96.1","10","Multi-stage","Indoor","2017-08-15T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_FTG 1200_04102018180054_4901510"
"2318295","NY Thermal Inc.","NTI","NTI","FTG 1400","","","1400","96","10","Multi-stage","Indoor","2017-08-15T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_FTG 1400_04102018180057_7300297"
"2318296","NY Thermal Inc.","NTI","NTI","FTG 2000","","","2000","96","8","Multi-stage","Indoor","2017-08-15T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_FTG 2000_04102018180059_6318779"
"2318297","NY Thermal Inc.","NTI","NTI","FTG 2200","","","2200","95.6","9","Multi-stage","Indoor","2017-08-15T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_FTG 2200_04102018180102_5685924"
"2318298","NY Thermal Inc.","NTI","NTI","FTG 2400","","","2350","95.2","10","Multi-stage","Indoor","2017-08-15T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_FTG 2400_04102018180104_5020049"
"2318299","NY Thermal Inc.","Trinity","NTI","LX600","","","600","94","10","Multi-stage","Indoor","2010-09-03T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_LX600_04102018180142_5734189"
"2318300","NY Thermal Inc.","NTI","NTI","LX400","","","399","94","5","Multi-stage","Indoor","2008-01-12T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_LX400_04102018180145_0084825"
"2318301","NY Thermal Inc.","Trinity","NTI","LX400","","","399","94","5","Multi-stage","Indoor","2008-01-12T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_LX400_04102018180147_8023510"
"2318302","NY Thermal Inc.","NTI","NTI","LX500","","","500","94","10","Multi-stage","Indoor","2010-09-03T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_LX500_04102018180150_0455318"
"2318303","NY Thermal Inc.","Trinity","NTI","LX500","","","500","94","10","Multi-stage","Indoor","2010-09-03T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_LX500_04102018180152_7281188"
"2318304","NY Thermal Inc.","NTI","NTI","LX800","","","800","94","10","Multi-stage","Indoor","2010-09-03T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_LX800_04102018180154_1839567"
"2318305","NY Thermal Inc.","Trinity","NTI","LX800","","","800","94","10","Multi-stage","Indoor","2010-09-03T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016238_LX800_04102018180156_4761743"
"2366307","P. B. Heat, LLC","Peerless","PureFire","PFC-1500-LP","","","1500","96.5","10","Multi-stage","Indoor","2020-09-09T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1115867_PFC-1500-LP_09252020114827_4634436"
"2367252","P. B. Heat, LLC","Peerless","PureFire","PFC-1000-LP","","","1000","96.6","10","Multi-stage","Indoor","2020-09-09T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1115867_PFC-1000-LP_09252020114826_6747725"
"2367253","P. B. Heat, LLC","Peerless","PureFire","PFC-1500-NAT","","","1500","96.5","10","Multi-stage","Indoor","2020-09-09T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1115867_PFC-1500-NAT_09252020114825_8110598"
"2367254","P. B. Heat, LLC","Peerless","PureFire","PFC-1000-NAT","","","1000","96.6","10","Multi-stage","Indoor","2020-09-09T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1115867_PFC-1000-NAT_09252020114826_8862926"
"2367255","P. B. Heat, LLC","Peerless","PureFire","PF-399 NAT","","","399","95.2","5","Multi-stage","Indoor","2020-09-09T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1115867_PF-399 NAT_09252020114824_6599442"
"2367256","P. B. Heat, LLC","Peerless","PureFire","PF-399 LP","","","399","95.2","5","Multi-stage","Indoor","2020-09-09T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1115867_PF-399 LP_09252020114822_9076585"
