"pd_id","energy_star_partner","brand_name","model_name","model_number","product_type","additional_model_information","upc","tank_capacity_gal","tank_capacity_ounces","production_capacity_gal_hr","normalized_ready_to_brew_idle_energy_rate_watts_gal","measured_average_tank_temperature_in_ready_to_brew_idle","normalized_heavy_use_brew_energy_rate_watts_gal","maximum_serving_temperature_f","energy_save_mode_feature","normalized_energy_save_mode_idle_energy_rate_watts_gal","preheat_time_min","preheat_energy_wh","date_available_on_market","date_qualified","markets","energy_star_model_identifier"
"2325557","Bunn-o-Matic Corporation","BUNN","ICB SH","ICB SH","Large Batch Type II","","","2.8","358.4","10","34.93","200","174.85","201","No",,"17.08","944.4","2017-02-01T00:00:00.000","2018-08-15T00:00:00.000","United States, Canada","ES_1135889_ICB SH_08232018172653_5213388"
"2325558","Bunn-o-Matic Corporation","BUNN","ICB Twin SH","ICB Twin SH","Large Batch Type II","","","5.7","729.6","15","29.28","199","178.79","202","No",,"22.76","937","2017-02-01T00:00:00.000","2018-08-15T00:00:00.000","United States, Canada","ES_1135889_ICB Twin SH_08232018174231_6151082"
"2332240","Wilbur Curtis Co., Inc.","CURTIS","GEMXSIFT10A1000","GEMXSIFT10A1000","Medium Batch Type II","","","2.2","281.6","9.51","31.08","199","197.97","196","Yes","42.14","12.28","727.39","2018-08-01T00:00:00.000","2018-12-28T00:00:00.000","United States, Canada","ES_1142493_GEMXSIFT10A1000_12292018003513_3713445"
"2332241","Wilbur Curtis Co., Inc.","CURTIS","GEMXTIFT10A1000","GEMXTIFT10A1000","Medium Batch Type II","","","5.2","665.6","19.01","21.87","191","203.76","197","Yes","37.34","17.38","1746.89","2018-08-01T00:00:00.000","2018-12-28T00:00:00.000","United States, Canada","ES_1142493_GEMXTIFT10A1000_12292018005019_4619782"
"2332242","Wilbur Curtis Co., Inc.","CURTIS","TPX2S10A3100","TPX2S10A3100","Medium Batch Type II","","","2.9","371.2","10.36","30.03","200","184.98","196","Yes","41.21","15.26","886.75","2018-09-01T00:00:00.000","2018-12-28T00:00:00.000","United States, Canada","ES_1142493_TPX2S10A3100_12292018010109_5269679"
"2332243","Wilbur Curtis Co., Inc.","CURTIS","TPX2T10A3100","TPX2T10A3100","Medium Batch Type II","","","6.9","883.2","19.61","20.77","196","196.33","196","Yes","30.07","22.92","2257.64","2018-09-01T00:00:00.000","2018-12-28T00:00:00.000","United States, Canada","ES_1142493_TPX2T10A3100_12292018010812_5692262"
"2338559","Wilbur Curtis Co., Inc.","CURTIS","G4GEMTIF10A1000-001","G4GEMTIF10A1000-001","Medium Batch Type II","","","5.2","665.6","19.01","21.87","191","203.76","197","Yes","37.34","17.38","1746.89","2014-01-01T00:00:00.000","2019-05-17T00:00:00.000","United States, Canada","ES_1142493_G4GEMTIF10A1000-001_05172019154629_7989819"
"2338560","Wilbur Curtis Co., Inc.","CURTIS","G4GEMTIF10A1000","G4GEMTIF10A1000","Medium Batch Type II","","","5.2","665.6","19.01","21.87","191","203.76","197","Yes","37.34","17.38","1746.89","2014-01-01T00:00:00.000","2019-05-17T00:00:00.000","United States, Canada","ES_1142493_G4GEMTIF10A1000_05172019154600_7960046"
"2338561","Wilbur Curtis Co., Inc.","CURTIS","G4GEMTIF10B1000","G4GEMTIF10B1000","Medium Batch Type II","","","5.2","665.6","19.01","21.87","191","203.76","197","Yes","37.34","17.38","1746.89","2014-01-01T00:00:00.000","2019-05-17T00:00:00.000","United States, Canada","ES_1142493_G4GEMTIF10B1000_05172019154653_8013635"
"2338562","Wilbur Curtis Co., Inc.","CURTIS","G4GEMXTIFT10A1000","G4GEMXTIFT10A1000","Medium Batch Type II","","","5.2","665.6","19.01","21.87","191","203.76","197","Yes","37.34","17.38","1746.89","2018-01-01T00:00:00.000","2019-05-17T00:00:00.000","United States, Canada","ES_1142493_G4GEMXTIFT10A1000_05172019154502_7902280"
