"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","product_type","fuel_type","efficiency_afue","date_available_on_market","date_qualified","markets","energy_star_model_identifier","can_integrate_hot_water_heating","meets_most_efficient_criteria"
"2313265","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMNH-0201","","","Boiler","Natural Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMNH-0201_03232018155253_5357241","No","No"
"2313228","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMNH-0211","","","Boiler","Natural Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMNH-0211_03232018155141_1471426","No","No"
"2313263","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMNH-0211","","","Boiler","Natural Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMNH-0211_03232018155249_6741491","No","No"
"2313223","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMNH-0251","","","Boiler","Natural Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMNH-0251_03232018155131_4733975","No","No"
"2313255","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMNH-0251","","","Boiler","Natural Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMNH-0251_03232018155239_8670174","No","No"
"2313235","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMNH-0261","","","Boiler","Natural Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMNH-0261_03232018155155_9800867","No","No"
"2313270","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMNH-0261","","","Boiler","Natural Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMNH-0261_03232018155303_5380405","No","No"
"2313214","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMNH-0291","","","Boiler","Natural Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMNH-0291_03232018155113_0210734","No","No"
"2313246","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMNH-0291","","","Boiler","Natural Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMNH-0291_03232018155221_0477418","No","No"
"2313234","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0083","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPC-0083_03232018155154_7227356","Yes","No"
