"case_number","status","case_request","case_subrequest","additional_subrequest","date_time_opened","date_time_closed","case_origin","oem_id","contact_type","preferred_language","state_issue","parent_case","closed_when_created","incident_address","incident_city","incident_council_district","incident_zip_code","latitude","longitude","mapped_location"
"157936","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-21T21:27:00.000","2019-03-21T21:27:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"160964","Closed","Trash, Recycling & Litter","Residential Dumpster Services","Missed Dumpster Trash Service","2019-03-28T16:11:00.000","2019-03-28T21:22:00.000","Phone",,,,"FALSE",,"FALSE","414 neill ave","NASHVILLE","5","37206","36.17934","-86.76073","(36.17934, -86.76073)"
"170159","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-16T16:04:00.000","2019-04-16T16:04:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"157700","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-21T17:14:00.000","2019-03-21T17:14:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"159750","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-26T18:01:00.000","2019-03-26T18:01:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"171528","Closed","Streets, Roads & Sidewalks","Mowing on right of way","Roadway","2019-04-18T15:48:00.000","2019-04-30T16:07:00.000","Phone",,,,"FALSE",,"FALSE","Lee Davis Rd","NASHVILLE","7","37216","36.2011808","-86.7292099","(36.2011808, -86.7292099)"
"159795","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-26T19:04:00.000","2019-03-26T19:04:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"169926","Closed","Trash, Recycling & Litter","Illegal Dumping","Roadway","2019-04-16T12:56:00.000","2019-04-25T16:10:00.000","Phone",,,,"FALSE",,"FALSE","Meharry Blvd","NASHVILLE","21","37208","36.1678927","-86.8093542","(36.1678927, -86.8093542)"
"159160","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-25T17:23:00.000","2019-03-25T17:23:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"172060","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-19T13:45:00.000","2019-04-19T13:45:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"171469","Closed","Trash, Recycling & Litter","File a Trash or Recycling Complaint","Trash in Recycling Cart","2019-04-18T15:13:00.000","2019-04-18T15:13:00.000","Phone",,"Resident",,"FALSE",,"FALSE","3503 Echo Hill Rd","NASHVILLE","25","37215","36.1143421","-86.8218184","(36.1143421, -86.8218184)"
"172750","Closed","Streets, Roads & Sidewalks","Illegal Parking or Blocking","Parking in Bike Lanes","2019-04-22T14:59:00.000","2019-04-22T20:30:00.000","hubNashville Community",,,,"FALSE",,"FALSE","64 Music Square W","NASHVILLE","19","37203","36.14711","-86.7934","(36.14711, -86.7934)"
"168485","Closed","Streets, Roads & Sidewalks","Road Closures","Road Closures","2019-04-12T13:01:00.000","2019-04-12T14:16:00.000","Phone","OE-00011210_4/11/2019 23:25",,,"FALSE",,"FALSE","5877 LICKTON PKE","GOODLETTSVILLE","3","37072","36.33842098","-86.775117","(36.33842098, -86.775117)"
