"site_name","address","city","zip","siren_power","location"
"Ezell Road Park","5135 Harding Place","Nashville","37211","Eclipse 8","(36.090944, -86.686028)"
"Sevier Park","3000 Granny White Pike","Nashville","37204","Eclipse 8","(36.118861, -86.787889)"
"Fannie May Dees Park","2401 Blakemore Ave","Nashville","37212","Eclipse 8","(36.136167, -86.8055)"
"Paragon Mills Park","Antioch Pike","Nashville","37211","Eclipse 8","(36.235417, -86.772778)"
"Jere Baxter Alternative","3515 Gallatin Pike","Nashville","37216","Eclipse 8","(36.212694, -86.732917)"
"Glenview Elementary","1115 Thompson Place","Nashville","37217","Eclipse 8","(36.127278, -86.706694)"
"Ted Rhodes Golf Course","720 Mainstream Dr","Nashville","37228","Eclipse 8","(36.194194, -86.817639)"
"Hartman Park","2801 Tucker Rd","Nashville","37218","Eclipse 8","(36.210306, -86.82425)"
"Cedar Hill Park","860 Old Hickory Blvd","Nashville","37115","Eclipse 8","(36.269722, -86.748139)"
"Richland Park","4601 Charlotte Pk","Nashville","37209","Eclipse 8","(36.151806, -86.845)"
"Riverfront Park","100 1st Ave S","Nashville","37201","Eclipse 8","(36.162278, -86.774472)"
"Edwin Warner Park","Old Hickory Blvd","Nashville","37221","508","(36.053389, -86.89775)"
"Andrew Jackson Elementary","110 Shute Ln","Old Hickory","37138","Eclipse 8","(36.231778, -86.62425)"
"Old Hickory Beach Park","Swinging Bridge & Burnett Rd","Nashville","37138","508","(36.094667, -86.715056)"
"Cleveland Park","927 N 6th St","Nashville","37207","Eclipse 8","(36.187111, -86.761278)"
"Rosebank Elementary","1012 Preston Dr","Nashville","37206","Eclipse 8","(36.184194, -86.71925)"
"Madison Park","510 Cumberland Ave","Madison","37115","Eclipse 8","(36.26625, -86.702222)"
"New Dodson Elementary School","4401 Chandler Rd","Hermitage","37076","Eclipse 8","(36.191861, -86.602694)"
"Kirkpatrick Elementary","1000 Sevier St","Nashville","37206","Eclipse 8","(36.167833, -86.752583)"
"William A Pitts Park","299 Tusculum Rd","Antioch","37013","508","(36.056194, -86.706444)"
"Una Elementary","2018 Old Murfreesboro Pike","Nashville","37217","Eclipse 8","(36.095778, -86.65375)"
"Haywood Elementary","3790 Turley Dr","Nashville","37211","Eclipse 8","(36.074889, -86.708722)"
"Donelson Middle School","110 Stewarts Ferry Pike","Nashville","37214","Eclipse 8","(36.165556, -86.656778)"
"Antioch Community Center","5023 Blue Hole Rd","Antioch","37013","Eclipse 8","(36.05625, -86.672611)"
"Woodland St & Gay St","1st Ave N","Nashville","37243","Eclipse 8","(36.166583, -86.777)"
"Issac Litton Middle School","4500 Gallatin Pike","Nashville","37216","Eclipse 8","(36.228167, -86.724972)"
"Nashville Fairgrounds","300 Raines Ave","Nashville","37203","Eclipse 8","(36.131167, -86.7655)"
"Cane Ridge Park","419 Battle Rd","Antioch","37013","508","(35.987567, -86.624217)"
"OHB @ Pettus Road (Woodbine Baptist)","13984 Old Hickory Blvd","Antioch","37013","Eclipse 8","(36.277139, -86.668861)"
"Centennial Park","West End Ave","Nashville","37203","Eclipse 8","(36.148889, -86.811889)"
"Hunters Lane High School","1150 Hunters Ln","Nashville","37207","508","(36.278083, -86.751194)"
"Cumberland Elementary","4247 Cato Rd","Nashville","37218","Eclipse 8","(36.212472, -86.866611)"
"Inglewood Elementary","1700 Riverside Dr","Nashville","37216","Eclipse 8","(36.197417, -86.7235)"
"Wharton Middle School","1623 Dr DB Todd Jr Blvd","Nashville","37208","Eclipse 8","(36.175861, -86.809556)"
