"month","month_number","year","home_delievered_meals","congreated_dining_program"
"December","12","2017","5288","6009"
"November","11","2017","5669","6310"
"October","10","2017","5700","7580"
"September","9","2017","4871","6650"
"August","8","2017","5907","8015"
"July","7","2017","5138","6978"
"June","6","2017","5716","7381"
"May","5","2017","5565","7160"
"April","4","2017","4390","6744"
"March","3","2017","6341","7152"
"February","2","2017","5405","6263"
"January ","1","2017","5916","6753"
"December","12","2016","6106","6387"
"November","11","2016","6798","6645"
"October","10","2016","6367","7450"
"September","9","2016","5970","7715"
"August","8","2016","6846","8557"
"July","7","2016","5587","7630"
"June","6","2016","6817","7513"
"May","5","2016","6409","6940"
"April","4","2016","6796","7952"
"March","3","2016","7145","8624"
"February","2","2016","5877","7424"
"January","1","2016","6580","5910"
"December","12","2015","8486","7318"
"November","11","2015","8021","6922"
"October","10","2015","7346","8218"
"September","9","2015","6572","7626"
"August","8","2015","7060","7902"
"July","7","2015","7389","7727"
"June","6","2015","7842","7134"
"May","5","2015","7721","7482"
"April","4","2015","7773","8048"
"March","3","2015","7332","7016"
"February","2","2015","6863","6994"
"January","1","2015","6555","7633"
"December","12","2014","7420","7364"
"November","11","2014","6870","6370"
"October","10","2014","8911","8262"
"September","9","2014","7390","7204"
"August","8","2014","7941","7745"
"July","7","2014","8362","7645"
"June","6","2014","7796","7137"
"May","5","2014","7727","7429"
"April","4","2014","7677","8091"
"March","3","2014","7421","6916"
"February","2","2014","6922","6994"
"January","1","2014","7551","6601"
"December","12","2013","7078","6566"
"November","11","2013","7734","6838"
"October","10","2013","7076","8462"
"September","9","2013","6699","6839"
"August","8","2013","7001","8020"
"July","7","2013","6706","8696"
"June","6","2013","6657","8235"
"May","5","2013","7854","7897"
"April","4","2013","7718","8941"
"March","3","2013","7031","8021"
"February","2","2013","7552","8127"
"January","1","2013","7630","9032"
"December","12","2012","8021","7333"
"November","11","2012","8994","8378"
"October","10","2012","9316","9341"
"September","9","2012","6890","7731"
"August","8","2012","8344","8638"
"July","7","2012","7690","8220"
"June","6","2012","7484","8112"
"May","5","2012","8687","8269"
"April","4","2012","7350","8142"
"March","3","2012","7320","7873"
"February","2","2012","8562","6452"
"January","1","2012","7667","7346"
