"accident_number","date_and_time","number_of_motor_vehicles","number_of_injuries","number_of_fatalities","property_damage","hit_and_run","reporting_officer","collision_type","collision_type_description","weather","weather_description","illuaccidemination","illumination_description","harmfulcodes","harmfuldescriptions","street_address","city","state","zip","rpa","precinct","lat","long","mapped_location"
"20220455633","2022-09-11T00:00:00.000","0","0","0",,"true","4004350","4","ANGLE","22","CLOUDY","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MURFREESBORO PKE & NASHBORO BLVD","ANTIOCH","TN","37013","8891","SOUTH","36.0869","-86.6487","POINT (-86.6487 36.0869)"
"20220455632","2022-09-11T00:00:00.000","0","0","0",,"true","4001725","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","99","UNKNOWN","2","DARK - NOT LIGHTED","24","GUARDRAIL FACE","BRILEY PKWYW & BRILEY PKWYE","NASHVILLE","TN","37218","3216","NORTH","36.2254","-86.8638","POINT (-86.8638 36.2254)"
"20220455499","2022-09-11T19:15:00.000","0","0","0",,"false","4001488","11","Front to Rear","22","CLOUDY","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","KOREAN VETERANS BLVD & 1ST AVS","NASHVILLE","TN","37201","4047","CENTRA","36.1583","-86.7719","POINT (-86.7719 36.1583)"
"20220455492","2022-09-11T19:20:00.000","0","0","0",,"false","279195","11","Front to Rear","22","CLOUDY","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MM 49 6 I 24","NASHVILLE","TN","37210","4008","CENTRA","36.1571","-86.7604","POINT (-86.7604 36.1571)"
"20220455391","2022-09-11T18:05:00.000","0","1","0",,"false","4000339","11","Front to Rear","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","JEFFERSON ST & 21ST AVN","NASHVILLE","TN","37208","5351","NORTH","36.1688","-86.8114","POINT (-86.8114 36.1688)"
"20220455377","2022-09-11T17:15:00.000","0","0","0",,"false","4001926","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","21","CLEAR","1","DAYLIGHT","75","Bridge/Overhead Structure","8TH AVS & GLEAVES ST","NASHVILLE","TN","37203","4009","CENTRA","36.1518","-86.7793","POINT (-86.7793 36.1518)"
"20220455310","2022-09-11T14:50:00.000","0","0","0",,"true","4001926","9","UNKNOWN",,,"1","DAYLIGHT","14","PARKED MOTOR VEHICLE","3RD AVS & MOLLOY ST","NASHVILLE","TN","37201","4051","CENTRA","36.1586","-86.774","POINT (-86.774 36.1586)"
"20220455307","2022-09-11T00:00:00.000","0","0","0",,"false","4001562","11","Front to Rear","22","CLOUDY","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","BELL RD & LINCOYA BAY DR","NASHVILLE","TN","37214","8957","HERMIT","36.1455","-86.6262","POINT (-86.6262 36.1455)"
"20220455268","2022-09-11T15:41:00.000","0","0","0",,"false","409207","4","ANGLE","22","CLOUDY","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","THOMPSON LN & ELIZABETH ST","NASHVILLE","TN","37211","8519","MIDTOW","36.111","-86.7459","POINT (-86.7459 36.111)"
"20220455255","2022-09-11T15:30:00.000","0","0","0",,"false","4002616","4","ANGLE","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","OLD HICKORY BLVD & ANDREW JACKSON PKWY","HERMITAGE","TN","37076","9561","HERMIT","36.1836","-86.6107","POINT (-86.6107 36.1836)"
