"company","local_unit_of_government","county","projected_investment","reported_actual_investment","projected_job_creation_retention","reported_current_jobs","reported_jobs_transferredto_zone","reported_baseline_jobs_at_designation","reported_actual_job_creation_retention","reported_avg_weekly_wage_of_jobs_created","change_in_taxable_value_tv","change_in_sev","raw_materials_from_mi_2012","first_year_benefits_received"
"Arauco North America ","Township of Grayling","Crawford","$325,000,000","$0","250","0","0","0","0","$0","0","0","0%","2016"
"Verso Quinnesec, LLC ","Township of Breitung","Dickinson","$43,000,000","$50,000,000","400 (ret)","424","4","472","-52","$1,200","154.6","154.9","0.39%","2011"
