"payment_type","company_name","program","amount_received"
"MBDP Repayment","ArcticAx US Ltd.","Michigan Business Development Program","6000.00"
"MBDP Repayment","Baker Industries, Inc.","Michigan Business Development Program","14545.00"
"MBDP Repayment","Blissfield Manufacturing Company","Michigan Business Development Program","56490.00"
"Forbearance Fee","Cherry Growers, Incorporated","Michigan Business Development Program","5000.00"
"Revenue Participation","Founders Brewing Company","Michigan Business Development Program","300000.00"
"Interest Payment","M1 Rail","Michigan Business Development Program","60778.00"
"Profit Participation","Materne North America Gogo Squeeze","Michigan Business Development Program","52675.00"
"Forbearance Fee","Plasan Carbon Composites, Inc.","Michigan Business Development Program","60000.00"
"MBDP Repayment","Proos Manufacturing, Inc.","Michigan Business Development Program","21000.00"
"MBDP Repayment","Rigaku Innovative Technologies, Inc.","Michigan Business Development Program","525000.00"
"Annual Interest Payment","Southwest Michigan First Corp.","Michigan Business Development Program","40000.00"
"MBDP Repayment","Teijin Advanced Composites America, Inc.","Michigan Business Development Program","60000.00"
