"company","local_unit_of_government","county","required_investment","reported_actual_investment","projected_job_creation","projected_job_retention","reported_current_jobs","reported_jobs_transferredto_zone","reported_baseline_jobs_at_designation","reported_actual_job_creation","reported_avg_weekly_wage_of_jobs_created","change_in_taxable_value_tv","change_in_sev","first_year_benefits_received"
"LG Chem Michigan, Inc. ","City of Holland, Allegan County","Allegan","290000000.00","336797995.00","300","0","459","9","0","450","911.00","9962.7","4075.5","2011-01-01T00:00:00.000"
"The Dow Chemical Company ","City of Midland, County of Midland","Midland","167000000.00","113562070.00","500","0","0","0","0","0","0.00","1712.2","1706.8","2011-01-01T00:00:00.000"
