"company","local_unit_of_government","county","projected_investment","reported_actual_investment","projected_job_creation","projected_job_retention","reported_current_jobs","reported_jobs_transferred_to_zone","reported_baseline_jobs_at_designation","reported_actual_job_creation","reported_avg_weekly_wage_of_jobs_created","change_in_taxable_value_tv","change_in_sev","raw_materials_from_mi_2012","first_year_benefits_received"
"Arauco North America ","Grayling Township","Crawford","325000000.00","1135000.00","250","0","1","0","0","1","0.00","0","0","0","2016-01-01T00:00:00.000"
"Verso Quinnesec, LLC ","Township of Breitung","Dickinson","43000000.00","50200000.00","0","400","425","4","472","-51","1200.00","60.97","61.23","32.0","2011-01-01T00:00:00.000"
