"type","company","local_unit_of_government","county","required_investment","reported_actual_investment","projected_job_creation","projected_jobretention","reported_current_jobs","reported_jobs_transferredto_zone","reported_baseline_jobs_at_designation","reported_actual_job_creation","reported_avg_weekly_wage_of_jobs_created","change_in_taxable_value_tv","change_in_sev","first_year_benefits_received"
"Non-industry specific Zones","Eaton Aeroquip LLC ","City of Jackson","Jackson","0.00","22580581.00","0","348","654","0","563","91","$0","-36.8","-42.5","2007-01-01T00:00:00.000"
"Non-industry specific Zones","Alpinist Endeavors LLC","City of Walker","Kent","0.00","10500000.00","0","0","500","0","0","500","Not Reported","189.4","203.7","2007-01-01T00:00:00.000"
"Non-industry specific Zones","Dow Chemical Company ","City of Midland","Midland","65000000.00","97194017.00","65","0","86","0","0","86","$983","Not Reported","Not Reported","2007-01-01T00:00:00.000"
"Non-industry specific Zones","XALT Energy MI, LLC ","City of Midland","Midland","294000000.00","376344296.00","320","0","158","0","17","141","$1,305","29,525.2","19,925.7","2011-01-01T00:00:00.000"
"Non-industry specific Zones","Dow Corning Corporation","City of Midland","Midland","0.00","61606293.00","0","0","1,192","31","1,137","24","$1,100","629.4","629.4","2007-01-01T00:00:00.000"
"Non-industry specific Zones","La-Z-Boy, Inc.","City of Monroe, Frenchtown Township","Monroe","45000000.00","66327838.00","50","405","568","0","405","163","$1,264",,,"2014-01-01T00:00:00.000"
"Non-industry specific Zones","Greenville Industrial Park - Northland Corporation (AGA Marvel) ","City of Greenville","Montcalm","0.00","89203052.00","0","0","402","0","133","269","$1,550","11,581.0","5,469.0","2007-01-01T00:00:00.000"
"Non-industry specific Zones","Motown Motion Pictures, LLC","City of Pontiac","Oakland","40000000.00","56428656.00","3600","0","5","4","0","1","$1,600","56.5","51.9","2010-01-01T00:00:00.000"
"Redevelopment Zones","Marathon Petroleum Company LLC","City of Detroit","Wayne","200000000.00","302911880.00","0","280","273","0","330","-57","$1,970","2,364.1","2,364.1","2003-01-01T00:00:00.000"
"Redevelopment Zones","NextEnergy Center","City of Detroit","Wayne","0.00","0.00","Refused to Report - No Reporting Requirements ","Refused to Report - No Reporting Requirements ","Refused to Report - No Reporting Requirements ","Refused to Report - No Reporting Requirements ","Refused to Report - No Reporting Requirements ","Refused to Report - No Reporting Requirements ","Refused to Report - No Reporting Requirements ",,,"2003-01-01T00:00:00.000"
"Redevelopment Zones","Sakthi Auto Group USA ","City of Detroit","Wayne","5000000.00","44132000.00","50","0","454","0","172","282","$750","-98.0","-98.0","2016-01-01T00:00:00.000"
