"company_name","project_industry","location_1","application_number","tax_year","status","actual_jobs_created","actual_jobs_retained","capital_investment_reported"
"Rlptechnologies, Inc.","Business Services","
Farmington Hills,  
(42.485645, -83.357869)","235","2007","Approved","18","-","-"
"Coca-Cola Refreshments","Food Processing","
Paw Paw,  
(39.532025, -78.455725)","68","1999","Approved","108","-","-"
"ConAgra Food Packaged Foods, LLC","Food Processing","
Grand Rapids,  
(42.965446, -85.670209)","643","2012.1","Approved","165","-","$44,392,860"
"ConAgra Food Packaged Foods, LLC","Food Processing","
Grand Rapids,  
(42.965446, -85.670209)","643","2011","Approved","73","-","$15,927,128"
"Coca-Cola Refreshments","Food Processing","
Paw Paw,  
(39.532025, -78.455725)","108","2006","Approved","77","-","-"
"Continental Dairy Facilities, LLC","Food Processing","
Coopersville,  
(43.066555, -85.93635)","532","2013","Approved","60","-","$11,786,384"
"Dawn Food Products, Inc.","Food Processing","
Jackson,  
(42.247454, -84.408847)","232","2008","Approved","103","-","-"
"Coca-Cola Refreshments","Food Processing","
Paw Paw,  
(39.532025, -78.455725)","68","2010","Approved","109","-","-"
"Dawn Food Products, Inc.","Food Processing","
Jackson,  
(42.247454, -84.408847)","232","2010","Approved","122","-","-"
"Dawn Food Products, Inc.","Food Processing","
Jackson,  
(42.247454, -84.408847)","232","2009","Approved","104","-","$7,949,816"
"Coca-Cola Refreshments","Food Processing","
Paw Paw,  
(39.532025, -78.455725)","108","2008","Did Not Qualify","57","-","-"
"Coca-Cola Refreshments","Food Processing","
Paw Paw,  
(39.532025, -78.455725)","68","2008","Approved","148","-","-"
"Coca-Cola Refreshments","Food Processing","
Paw Paw,  
(39.532025, -78.455725)","68","2009","Approved","138","-","-"
"Coca-Cola Refreshments","Food Processing","
Paw Paw,  
(39.532025, -78.455725)","108","2004","Approved","78","-","-"
"Benteler Automotive Corporation","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","737","2014","Approved","312","-","$11,571,993"
"General Motors LLC","Automotive - Manufacturing","
Lansing,  
(42.733625, -84.553927)","83","2004","Approved","-","1,865","-"
"R.L. Polk Company","Automotive - Manufacturing","
Southfield,  
(42.477952, -83.240756)","169","2008","Approved","134","-","-"
"Kellogg Company","Food Processing","
Wyoming,  
(42.913415, -85.695442)","305","2012","Approved","237","-","-"
"Ford Motor Company","Automotive - Manufacturing","
Wayne,  
(40.927178, -74.231046)","221","2010","Approved","-","3,193","-"
"Nicholas Plastics, Inc.","Plastics","
Allendale,  
(33.007593, -81.308964)","37","2005","Approved","92","-","-"
"Nissan North America, Inc.","Automotive - Manufacturing","
Farmington Hills,  
(42.485645, -83.357869)","171","2014","Approved","342","-","-"
"Gestamp Mason, LLC.","Automotive - Manufacturing","
Mason,  
(30.749797, -99.23192)","33","2004","Approved","154","-","-"
"Changan US Research and Development Center, Inc","Automotive - Manufacturing","
Plymouth,  
(41.95575, -70.664394)","726","2013","Approved","20","-","$141,026"
"Affinia Group Inc.","Automotive - Manufacturing","
Ann Arbor,  
(42.281419, -83.748478)","266","2007","Approved","65","-","-"
"ZF Group NAO","Automotive - Manufacturing","
Northville,  
(42.440686, -83.493151)","179","2006.2","Approved","12","-","-"
"Brembo North America Homer, Incorporated","Automotive - Manufacturing","
Homer,  
(59.641779, -151.551418)","433","2013","Approved","239","-","-"
"AT&T Inc. Michigan","Call Center","
Detroit,  
(42.332916, -83.047853)","279","2010","Approved","-","883","-"
"Lear Corporation","Automotive - Manufacturing","
Roscommon,  
(44.304574, -84.753305)","605","2012","Approved","222","-","-"
"Inergy Automotive Systems USA, LLC","Automotive - Manufacturing","
Adrian,  
(41.895299, -84.039815)","1","2008","Approved","157","-","$9,675,739"
"JAC Products, Inc.","Automotive - Manufacturing","
Saline,  
(42.166685, -83.781318)","682","2013","Approved","74","-","-"
"Auto Alliance International, Inc","Automotive - Manufacturing","
Flat Rock,  
(42.089873, -83.286219)","180","2009","Approved","-","1,961","-"
"Flagstar Bank, Fsb","Financial Services","
Troy,  
(42.727684, -73.691059)","81","2008","Approved","1,018","-","-"
"Vitec, LLC","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","29","2000","Approved","107","-","-"
"Gemini Group, Inc.","Automotive - Manufacturing","
Bad Axe,  
(43.802035, -83.000495)","735","2015","Approved","-","555","$22,077,486"
"Webasto-Edscha Cabrio USA, Inc.","Automotive - Manufacturing","
Plymouth,  
(41.95575, -70.664394)","222","2012","Approved","81","-","$4,747,878"
"Flagstar Bank, Fsb","Financial Services","
Troy,  
(42.727684, -73.691059)","81","2001","Approved","442","-","-"
"Shape Corporation","Automotive - Manufacturing","
Grand Haven,  
(43.058798, -86.227994)","21","2000","Approved","345","-","-"
"SoundOff Signal","Electronics","
Hudsonville,  
(42.869026, -85.861291)","525","2012","Approved","39","-","$3,239,384"
"Spartan Motors, Inc.","Automotive - Manufacturing","
Charlotte,  
(35.222936, -80.840161)","240","2006","Approved","128","-","-"
"AVL Powertrain Engineering, Inc.","Automotive - R&D Testing","
Plymouth,  
(41.95575, -70.664394)","321","2007","Approved","84","-","-"
