"company","local_unit_ofgovernment","county","projectedinvestment","reported_actualinvestment","projected_jobcreation_1","reported_current_jobs","reported_jobstransferredto_zone_3","reportedbaseline_jobs_atdesignation_4","reportedactual_jobcreation","reported_avgweekly_wage_ofjobs_created","change_intaxablevalue_tv","change_insev","first_yearbenefitsreceived"
"LG Chem Michigan, Inc. '","City of Holland","Allegan","302000000","294130477","300","130","5","0","125","878","14045.6","5670.9","2011"
"Alpena Prototype Biorefinery, LLC ","City of Alpena","Alpena","23500000","29760543","10","34","0","0","34","740","709","709","2010"
"Heat Transfer International, LLC ","City of Kentwood","Kent","2000000","2622587","12","8","0","10","-2","1200","248","251","2010"
"Grid Logic Incorporated ","Township of Lapeer","Lapeer","20630000","4753387","161","14","0","7","7","1806","58","55","2012"
"The Dow Chemical Company ","City of Midland","Midland","167000000","110839741","500","48","0","0","48","1614","4041.0","4028.6","2011"
