"company","local_unit_of_government","county","required_investment","reported_actual_investment","projected_job_creation","projected_job_retention","reported_current_jobs","reported_jobs_transferredto_zone","reported_baseline_jobs_at_designation","reported_actual_job_creation","reported_avg_weekly_wage_of_jobs_created","change_in_taxable_value_tv","change_in_sev","raw_materials_from_mi","first_year_benefits_received"
"Carbon Green BioEnergy, LLC","Woodland Township","Barry","55000000.00","71189339.00","33","0","38","0","2","36","$900","16,889.8","22,261.0","100.0","2006-01-01T00:00:00.000"
"Graceland Fruit, Inc. ","Gilmore Township","Benzie","15000000.00","33213359.00","45","0","137","0","91","46","$366","443.8","456.6","40.0","2003-01-01T00:00:00.000"
"W.K. Kellogg Institute for Food and Nutrition Research ","Battle Creek","Calhoun","54000000.00","90900000.00","0","300","517","125","300","92","$1,500","-7.5","-7.8","14.4","2009-01-01T00:00:00.000"
"The Andersons, Inc.","Township of Sheridan","Calhoun","70000000.00","116146111.00","30","0","51","0","0","51","$978","28,724.2","28724.21","100.0","2006-01-01T00:00:00.000"
"Michigan Milk Producers Association","Village of Ovid","Clinton","35000000.00","68622596.00","10","0","120","0","86","34","$607","26,456.3","12,584.6","100.0","2009-01-01T00:00:00.000"
"Shoreline Fruit","Acme Township","Grand Traverse","12750000.00","8932799.00","45","0","166","0","84","82","$520","-90.65","-92.45","80.0","2013-01-01T00:00:00.000"
"Kellogg Company ","City of Grand Rapids","Kent","35000000.00","180408117.00","43","0","436","12","390","34","$1,348",,,"95.0","2003-01-01T00:00:00.000"
"Airgas Carbonic, Inc.","Riga Township","Lenawee","0.00","15316487.00","17","0","26","0","0","26","$1,088","335.0","335.0","100.0","2006-01-01T00:00:00.000"
"Green Plains Holdings","Riga Township","Lenawee","85000000.00","97852447.00","44","0","48","0","0","48","$1,012","17,878.7","17,887.8","59.6","2006-01-01T00:00:00.000"
"Gerber Products Company ","City of Fremont","Newaygo","75000000.00","301431440.00","200","1100","1312","52","1100","160","$937","-25.52","-31.24","40.2","2009-01-01T00:00:00.000"
"Burnette Foods, Inc.","Village of New Era","Oceana","5000000.00","13016857.00","40","0","109","0","45","64","$536","191.63","195.61","80.0","2003-01-01T00:00:00.000"
"Request Foods, Inc. ","Holland Township","Ottawa","35200000.00","85008749.00","155","0","227","104","0","123","$531","7,881.8","7,802.2","50.0","2011-01-01T00:00:00.000"
"Zeeland Farm Services, Inc.","Zeeland Township","Ottawa","4000000.00","0.00","30","0","Refused to Report - No Reporting Requirements","Refused to Report - No Reporting Requirements","Refused to Report - No Reporting Requirements","Refused to Report - No Reporting Requirements","Refused to Report - No Reporting Requirements","Refused to Report - No Reporting Requirements","Refused to Report - No Reporting Requirements","Refused to Report - No Reporting Requirements","2003-01-01T00:00:00.000"
"Dairy Farmers of America, Inc.","Village of Cass City, Tuscola County","Tuscola","40000000.00","50422280.00","25","0","31","0","0","31","$1,075","32,404.5","30,348.5","50.0","2014-01-01T00:00:00.000"
