"project_industry","company_name","application_number","tax_year","status","actual_jobs_created","actual_jobs_retained","capital_investment_reported","city"
"Alternative Energy - Other","Hemlock Semiconductor Corporation","306","2009","Approved","150",,,"Hemlock"
"Alternative Energy - Other","Hemlock Semiconductor Corporation","306","2010","Approved","150",,,"Hemlock"
"Alternative Energy - Other","Hemlock Semiconductor Corporation","306","2011","Approved","149",,,"Hemlock"
"Alternative Energy - Other","Hemlock Semiconductor Corporation","306","2012","Approved","150",,,"Hemlock"
"Alternative Energy - Other","Hemlock Semiconductor Corporation","306","2013","Approved","150",,,"Hemlock"
"Alternative Energy - Other","Hemlock Semiconductor Corporation","306","2014","Approved","150",,,"Hemlock"
"Alternative Energy - Other","LG Chem Power Inc","290","2005","Approved","5",,,"Troy"
"Alternative Energy - Other","LG Chem Power Inc","290","2006","Approved","7",,,"Troy"
"Alternative Energy - Other","LG Chem Power Inc","290","2007","Approved","15",,,"Troy"
"Alternative Energy - Other","LG Chem Power Inc","290","2008","Approved","42",,,"Troy"
"Alternative Energy - Other","LG Chem Power Inc","290","2009","Approved","54",,,"Troy"
"Alternative Energy - Other","LG Chem Power Inc","290","2010.1","Approved","67",,"2568388","Troy"
"Alternative Energy - Other","LG Chem Power Inc","290","2010.2","Approved","63",,,"Troy"
"Alternative Energy - Other","LG Chem Power Inc","290","2011","Approved","78",,"4484275","Troy"
"Alternative Energy - Other","LG Chem Power Inc","290","2012","Approved","79",,"2877144","Troy"
"Alternative Energy - Other","LG Chem Power Inc","290","2013","Approved","80",,"1279591","Troy"
"Alternative Energy - Other","Sakti3, Inc.","416","2009","Approved","8",,"3590542","Ann Arbor"
"Alternative Energy - Other","Sakti3, Inc.","416","2010","Approved","10",,"191212","Ann Arbor"
"Alternative Energy - Other","Sakti3, Inc.","416","2011","Approved","18",,"337587","Ann Arbor"
"Alternative Energy - Other","Sakti3, Inc.","416","2012","Approved","24",,"712745","Ann Arbor"
"Alternative Energy - Other","United Solar Ovonic Corporation","288","2006","Approved","139",,,"Auburn Hills"
"Alternative Energy - Other","United Solar Ovonic Corporation","288","2007.1","Approved","229",,,"Auburn Hills"
"Alternative Energy - Other","United Solar Ovonic Corporation","288","2007.2","Approved","228",,,"Auburn Hills"
"Alternative Energy - Other","United Solar Ovonic Corporation","288","2008","Approved","247",,,"Auburn Hills"
