"placa","clase","fecha_matricula","modelo","motor","estado","chasis","cod_marca","cod_linea","linea","cod_carroceria","servcio"
"NVQ405","7","13/08/1998","1998","621944","V","9GDNPR65LWB142103","143","1085","NUEVONPRCAMION","107","2"
"NVQ393","7","5/08/1998","1998","4D34-G31536","V","FE649E-AO4027","466","18","CANTER","107","2"
"VZH850","7","9/03/2010","2010","6HE1416185","V","9GDFSR320AB200627","143","580","FSR 32L","107","2"
"VZH856","7","9/03/2010","2010","763111","V","9GDNNR719AB200694","143","1392","NNR PARTNER","108","2"
"NVQ060","7","10/03/1998","1998","1532458","V","V11606352","173","12","DELTAVIIG","107","2"
"NVP959","7","30/01/1998","1997","4D34F86999","V","FE649EA02874","466","18","CANTER","107","2"
"NVP959","7","30/01/1998","1997","4D34F86999","V","FE649EA02874","466","18","CANTER","112","2"
"NVP959","7","30/01/1998","1997","4D34F86999","V","FE649EA02874","466","18","CANTER","107","2"
"NVQ065","4","10/03/1998","1998","TD27-583440","V","JN1TC4E24ZO600541","490","460","URVAN DX STD ROOF","116","2"
"NVP960","7","28/01/1998","1998","447985","V","AANKR55EW7100422","143","991","NKR","107","2"
"NVP960","7","28/01/1998","1998","447985","V","AANKR55EW7100422","143","991","NKR","108","2"
"NVP930","4","3/02/1998","1998","G4CSV479129","V","KMJFD27GPWU387689","317","223","GRACE DLX","116","2"
"NVP783","7","12/11/1997","1998","423843","V","JAANKR55EW7100162","143","991","NKR","108","2"
"VZD881","1","30/06/2009","2009","G4HC9M705639","V","MALAB51GP9M386364","317","113","ATOSPRIMEGL999CCTAXI","5018","2"
"NVP455","3","26/05/1997","1997","F2798700","V","B220009093","450","226","B 2200","107","2"
"NVP439","7","14/05/1997","1997","C119949","V","T45-06442","450","343","T 45","107","2"
"VZH790","1","31/07/2009","2009","G4HC9M704557","V","MALAB51GP9M398011","317","450","TAXIATOSPRIMEGL999CC","5018","2"
"VZS347","1","1/04/2009","2009","G4HG8498016","V","KNABA24329T685910","385","115","PICANTOPICANTOEKOTAXI","5018","2"
"NVO150","7","21/07/1995","1995","9LN03181","V","CM95308124","143","720","KODIAKC7H042","108","2"
"NVN958","3","4/04/1995","1995","400643","V","TS95290222","143","940","LUV TFS","107","2"
"NVN679","4","29/12/1994","1994","KA24050377M","V","4BJLGC120M001885","490","479","VENETTE","116","2"
"NVN731","8","19/01/1995","1994","11445784","V",,"375","5","55111","130","2"
"NVN730","8","20/01/1995","1994","0903410","V","XTC551110N0086759","375","5","55111","130","2"
"NVN800","8","7/02/1995","1994","0910871","V","XTC541120P1023054","375","3","54112","113","2"
"NVN806","8","7/02/1995","1994","0023232","V","XTC54112OP1031055","375","3","54112","130","2"
"NVN607","3","2/12/1994","1995",,"V","AJF3SP-11475","234","290","F 350","108","2"
