"item","nombre_del_establecimiento","nombre_del_representante","fecha_de_apertura_del","direcci_n"
"1","A TODA HORA S.A.","A TODA HORA S.A","2015-12-23T00:00:00.000","BOGOTA"
"2","TIENDA DEPORTIVA FOREVER 1","ACEVEDO GELVEZ JHON FREYSER","2017-08-01T00:00:00.000","C 7 24 15 BR CENTRO"
"3","DROGUERIA EL PAISANO","ACOSTA CARLOS ALBERTO","1991-11-25T00:00:00.000","BARRIO CENTRO"
"4","COMIDAS RAPIDAS FRUTI PIZZA","ACOSTA ELVIA","2012-01-01T00:00:00.000","K 5 7 56 CARANAL"
"5","TALLER DE HORNAMENTACION P&T","ACOSTA FLOREZ YEFERSON ARMANDO","2017-02-01T00:00:00.000","C 7 16 13 BR RAMIREZ"
"6","MONTALLANTAS EL PALMAR","ACOSTA MORA WILSON","2016-01-01T00:00:00.000","CARANAL"
"7","TIENDA SHALOM","AGUDELO HENAO MARIA LUDIVIA","2014-10-14T00:00:00.000","C 11 17 03 B EL RECREO"
"8","MICRO MERCADO YIRETH","AGUDELO HENAO MARIA NIDIA","2004-06-17T00:00:00.000","CALLE 10 17 ESQUINA"
"9","ALMACEN DE ROPA SISA","AGUILAR CAISA ANA SISA","2017-03-01T00:00:00.000","C 7 21 65 BR CENTRO"
"10","MUNDO FLORAL","ALBEIRO",,"C 7 16 29 BR RAMIREZ"
"11","CALZADO PATITAS","ALCOCER CAROLINA","2012-01-01T00:00:00.000","CARANAL"
"12","DAYNELL COUSINS","ALFONSO SANCHEZ LENNYS DAYANA","2017-01-01T00:00:00.000","C 7 15 26 BR RAMIREZ"
"13","TALLER EL CONDOR","ALVARADO LUIS EDGAR","2001-01-01T00:00:00.000","C 7 13 88 BR RAMIREZ"
"14","TALLER ALVARADO","ALVARADO SALAMANCA  LUIS OMEYDER","2013-09-11T00:00:00.000","CRA 20 No. 6 -45"
"15","AUTOLAVADO EL POLLO","ALVAREZ JORGE ANDRES","2017-01-01T00:00:00.000","C 9A 25. BR VILLA LUCIA"
"16","TECNICONTROL S.A.S","ALVAREZ RODRIGUEZ DANIEL","2017-01-01T00:00:00.000","C 72 7 82 PI 3 BOGORA"
"17","ALMACEN DE ZAPATOS LA GRAN ESQUINA","AMAGUAÑA ANRANGO HELENA","2013-01-01T00:00:00.000","C 7 20 05 ESQUINA BR CENTRO"
"18","ALMACEN DE ROPA ARKANO","AMAGUAÑA ARKANO SUSANA","2018-03-13T00:00:00.000","C 7 20 23 BR CENTRO"
"19","RESTAURANE LAS DELICIAS DE DELIA","AMAYA MENDOZA DELIA ROSA","2016-01-01T00:00:00.000","CARANAL"
"20","VIVERES BRYMAR","ANGARITA RANGEL GABRIEL","2014-01-01T00:00:00.000","CARANAL"
"21","ALMACEN NOHEMI NINIBETH","ANRANGO JOSE",,"C 7 24 03"
"22","COMERCIAL NUBER","ANTAMBA GUALACATA GREGORIO","2013-01-01T00:00:00.000","C 7 22 17"
"23","QUESILLOS APONTE","APONTE ACOSTA ESMERALDA","2016-01-01T00:00:00.000","C 4 20 69 BR UNIDOS"
"24","ALMACEN REY DE LOS REMATES","ARANGO ALFONSO","2018-05-15T00:00:00.000","C 7 22 55 BR CENTRO"
"25","FERRETERIA FERREBRIC","ARCHILA FAJARDO CARMENZA","2016-11-01T00:00:00.000","C 8 4 31 CASERIO CARANAL"
