PERIODO,LINEA,SUBLINEA,VALOR,MODALIDAD,DEPA_ORIGEN,MUNICIPIO_ORIGEN,DIV_REF,ESTRATO,SEXO,NIVEL_ACADEMICO,AREA_CONOCIM,IES,IES_REF,POBLACION_VULNERABLE,GRUPO_ETNICO,AÑO_SOLICITUD
2016-2,ACCES,19-ACCES,2250000,MATRICULA,15-BOYACA,15238-DUITAMA,"(5.825992, -73.030125)",1,M,UNIVERSITARIA,AGRONOMIA VETERINARIA Y AFINES,CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-,"(4.8682581, -75.6278068)",NO,NO,2011
2016-2,ACCES,19-ACCES,3170000,MATRICULA,76-VALLE DEL CAUCA,76845-ULLOA,"(4.703239, -75.737598)",2,F,UNIVERSITARIA,AGRONOMIA VETERINARIA Y AFINES,CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-,"(4.8682581, -75.6278068)",NO,NO,2011
2016-2,ACCES,19-ACCES,3447270,SOSTENIMIENTO,86-PUTUMAYO,86001-MOCOA,"(1.15234, -76.651055)",1,F,UNIVERSITARIA,AGRONOMIA VETERINARIA Y AFINES,UNIVERSIDAD DE LA AMAZONIA,"(1.6136396, -75.6126148)",NO,Grupo Etnico,2011
2016-2,ACCES,19-ACCES,3568000,MATRICULA,,,,2,M,UNIVERSITARIA,AGRONOMIA VETERINARIA Y AFINES,CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-,"(4.8682581, -75.6278068)",NO,NO,2011
2016-2,ACCES,19-ACCES,755300,MATRICULA,,,,2,M,UNIVERSITARIA,AGRONOMIA VETERINARIA Y AFINES,CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-,"(4.8682581, -75.6278068)",NO,NO,2011
2016-2,TRADICIONAL,17-PREGRADO MP,1861526,MATRICULA,15-BOYACA,15238-DUITAMA,"(5.825992, -73.030125)",2,F,UNIVERSITARIA,AGRONOMIA VETERINARIA Y AFINES,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,"(5.5325925, -73.361544)",NO,NO,2011
2016-2,ACCES,19-ACCES,755300,MATRICULA,,,,3,M,UNIVERSITARIA,AGRONOMIA VETERINARIA Y AFINES,CORPORACION UNIVERSITARIA LASALLISTA,"(6.0997455, -75.6387931)",NO,NO,2011
2016-2,ACCES,19-ACCES,5479600,MATRICULA,,,,3,M,UNIVERSITARIA,AGRONOMIA VETERINARIA Y AFINES,CORPORACION UNIVERSITARIA LASALLISTA,"(6.0997455, -75.6387931)",NO,NO,2011
2016-2,ACCES,19-ACCES,2757816,SOSTENIMIENTO,86-PUTUMAYO,86001-MOCOA,"(1.15234, -76.651055)",2,M,UNIVERSITARIA,AGRONOMIA VETERINARIA Y AFINES,UNIVERSIDAD DE LA AMAZONIA,"(1.6136396, -75.6126148)",NO,NO,2012
2016-2,ACCES,19-ACCES,755300,MATRICULA,19-CAUCA,19100-BOLIVAR,"(1.97084, -76.96953)",2,M,UNIVERSITARIA,AGRONOMIA VETERINARIA Y AFINES,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,"(4.6017681, -74.0719324)",DESPLAZADO,NO,2012
