"secretaria","codigodepartamento","nombredepartamento","codigomunicipio","nombremunicipio","codigoestablecimiento","nombreestablecimiento","zona","direccion","telefono","niveles","grados","modelos"
"PUTUMAYO","86","PUTUMAYO","86320","ORITO","286320001502","I. ETNOEDUC RUR PUERTO RICO","RURAL","VDA. LOS GUADUALES",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21,22",
"PUTUMAYO","86","PUTUMAYO","86320","ORITO","186320002628","JARDIN INFANTIL SAN LUIS","URBANA","KR 15 VI PRINCIPAL",,,,
"PUTUMAYO","86","PUTUMAYO","86885","VILLAGARZÓN","286885000089","I.E.R. SANTA JULIANA","RURAL","VDA EL GUINEO",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",
"PUTUMAYO","86","PUTUMAYO","86568","PUERTO ASÍS","386568061054","PREESCOLAR DESPERTAR INFANTIL","URBANA","CR 36 NO 10 - 65","3115810864","PREESCOLAR","-3",
"PUTUMAYO","86","PUTUMAYO","86001","MOCOA","286001000277","I.E.R. SIMON BOLIVAR","RURAL","VDA PEPINO","3107654662","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",
"PUTUMAYO","86","PUTUMAYO","86885","VILLAGARZÓN","186885002061","IE LUIS CARLOS GALAN","URBANA","IND BARRIO OBRERO","4284804","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","-1,0,1,2,3,4,5,6,7,8,9,10,11",
"AMAZONAS","91","AMAZONAS","91798","TARAPACÁ","291798000092","ESC EL GUAYABAL","RURAL","COMUNID SANTA LUCIA","3143750495","PREESCOLAR,BÁSICA PRIMARIA","0,1,2,3,4,5",
"PUTUMAYO","86","PUTUMAYO","86571","PUERTO GUZMÁN","286001001516","IE AMAZONICA","RURAL,URBANA","CL 5 13 12","3209023084","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99",
"PUTUMAYO","86","PUTUMAYO","86568","PUERTO ASÍS","386568061015","COLEGIO ANTONIO NARI¥O ","URBANA","KR 23 CL 11","4220306","MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","21,22,23,24,25,26",
"PUTUMAYO","86","PUTUMAYO","86568","PUERTO ASÍS","186568000567","IE ALVERNIA","URBANA","KR 16 12 77","4227048","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99",
"PUTUMAYO","86","PUTUMAYO","86573","PUERTO LEGUÍZAMO","286573000901","I.E.R. RUR JORGE ELIECER GAITAN","RURAL","IND INSP PTO  OSPINA","3125289729","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99",
"PUTUMAYO","86","PUTUMAYO","86568","PUERTO ASÍS","286568002874","C.E.R. DANUBIO","RURAL","VDA EL DANUBIO","3106188609","PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,21,22,23,24",
"PUTUMAYO","86","PUTUMAYO","86001","MOCOA","286001000633","I.E. RUR ALTO AFAN","RURAL","VDA ALTO AFAN",,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,21,22,23,24",
"PUTUMAYO","86","PUTUMAYO","86571","PUERTO GUZMÁN","286001001494","I.E. RUR GALLINAZO","RURAL","VDA EL GALLINAZO",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,21,22,23,24,25",
"PUTUMAYO","86","PUTUMAYO","86573","PUERTO LEGUÍZAMO","186573000354","IE JOSE MARIA HERNANDEZ","URBANA","KR 3 A 3 52","3132086124","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",
"PUTUMAYO","86","PUTUMAYO","86573","PUERTO LEGUÍZAMO","286573003901","IE RUR SAN LUIS GONZAGA","RURAL","INSP POLICIA SENCELLA","3125250329","PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5,6,7,8,9",
"PUTUMAYO","86","PUTUMAYO","86569","PUERTO CAICEDO","286568002602","I.E. JOSE ANTONIO GALAN","URBANA","IND B. SANTA BARBARA","4294604","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99",
"PUTUMAYO","86","PUTUMAYO","86001","MOCOA","286001001800","CENT EDUC RUR CALIYACO","RURAL","VDA CALIYACO","4200777","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,21,22,23,24,25",
"PUTUMAYO","86","PUTUMAYO","86573","PUERTO LEGUÍZAMO","286573003935","I.E. RUR OVER ANTONIO MORALES","RURAL","CASER SALADO GRANDE","3204776223","PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,21,22",
