"the_geom","id","ubicacion","longitud_m","estado","barrio","programa"
"MULTILINESTRING ((-74.81935472337766 10.937920684153127, -74.81937793615543 10.93838950024934, -74.81935079936643 10.938942509200594))","0","CALLE 78 ENTRE DIAGONAL 54E Y CARRERA 3A","99,03","100% EJECUTADO","SANTO DOMINGO","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81931599568199 10.937932163435395, -74.81905458468697 10.937989556392196, -74.81870990334107 10.938178978480124, -74.81863438257746 10.938232553462058, -74.81826645839969 10.938532958614136, -74.81820448909265 10.938640113051164, -74.81801084309416 10.938821888153704, -74.81744539612137 10.939340424142637))","0","DIAGONAL 54E ENTRE CALLE 78 Y TRANSVERSAL 1D","254,85","100% EJECUTADO","SANTO DOMINGO","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81028915539325 10.953352241696708, -74.81000349688667 10.953734924741475, -74.8095774326997 10.954256326954111))","0","CALLE 56A ENTRE CARRERAS 9L Y 9M","42,60","100% EJECUTADO","EL BOSQUE","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.80906390526991 10.955706320675503, -74.80939429285857 10.95597902561655))","0","CARRERA 9M2 ENTRE CALLES 58 Y 60","44,10","100% EJECUTADO","EL BOSQUE","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81273160327142 10.947062654946581, -74.8125258477883 10.947218114573355, -74.81243809624573 10.947322754423848, -74.81215365321486 10.947750288075731, -74.81200538018949 10.947962559410133, -74.81188131200751 10.94817782233927, -74.81176631769068 10.948431954445008, -74.81162106470354 10.948710003366465, -74.81150607591113 10.948886398248542, -74.8114092472039 10.948982067444208, -74.81130636986752 10.949041857483563, -74.81122769993048 10.949074740319471))","0","CALLE 55B ENTRE CARRERAS 5B Y 6","278,70","100% EJECUTADO","LA SIERRITA","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81215365277002 10.947756267854363, -74.81244107491777 10.94796259096051, -74.81274967383649 10.948213763630632, -74.81307037315517 10.948503805388276, -74.81340317492358 10.948805807191171))","0","TRANSVERSAL 5C ENTRE CALLES 55B Y 56","179,10","100% EJECUTADO","LA SIERRITA","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.8126746404995 10.948171899867623, -74.81244950980323 10.94846608891465, -74.8122824767557 10.948688524651292))","0","CALLE 55C ENTRE TRANSVERSAL 5C Y 5D","67,50","100% EJECUTADO","LA SIERRITA","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.8128610104733 10.948320211538007, -74.81243738484143 10.948769860784953))","0","CALLE 55D ENTRE TRANSVERSAL 5C Y 5D","63,30","100% EJECUTADO","LA SIERRITA","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81230063233785 10.948666998760114, -74.81243375369078 10.94877464434715))","0","CARRERA 5D ENTRE CALLES 55C Y 55D","22,50","100% EJECUTADO","LA SIERRITA","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81243859449302 10.948778232561303, -74.81261044030299 10.948943286716322, -74.81279923203924 10.949080834989374, -74.81291783011022 10.949194459116466))","0","CALLE 55D ENTRE CARRERAS 5D Y CORDIALIDAD","92,20","100% EJECUTADO","LA SIERRITA","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.82678024768782 10.950800599858836, -74.82677419162884 10.95100690242163, -74.82670762087098 10.951210212952718), (-74.8268468283652 10.950196644152966, -74.82682564574432 10.950313249636775, -74.82678024768782 10.950800599858836))","0","CALLE 95 ENTRE CARRERAS 7B Y 7F","110,70","100% EJECUTADO","MALVINAS","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.82562690551437 10.950859166072254, -74.82563267530962 10.950850703421544, -74.82567164913844 10.950871137966091, -74.82583533832431 10.950928098949086, -74.82585339339367 10.950933151114398, -74.8261734997382 10.951022722991345, -74.82642614913846 10.95111158407911, -74.82648499243587 10.951137971891198, -74.82670655685769 10.951211757005256, -74.82690546009532 10.951268887342033, -74.82705430276765 10.951311638844537, -74.82709081627472 10.95130875334712, -74.82710019646062 10.95130801207268, -74.82710274582875 10.951307810580088, -74.82712691936993 10.951305899992214, -74.82727360365635 10.951327430123941, -74.82747701072641 10.951378599199607, -74.82750631456828 10.951385970860434, -74.82751323799224 10.951387712513288))","0","CARRERA 7F ENTRE CALLES 93 Y 97","204,30","100% EJECUTADO","MALVINAS","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.82829372471014 10.950388650399422, -74.82813493234873 10.950606789518005, -74.8279625851673 10.950801965921281, -74.82776119005051 10.951046893351744, -74.82751323799224 10.951387712513288, -74.82741358688855 10.951562581696614, -74.8273387890079 10.951678109294075, -74.82719936132425 10.951829514033593, -74.82708680151266 10.951988812652976, -74.82701926472636 10.952118691806602, -74.82699747825437 10.952176814719428, -74.82695244925232 10.952442315744275, -74.82692920327612 10.952787467917704))","0","CALLE 97 ENTRE CARRERAS 7 Y 8","312,50","100% EJECUTADO","MALVINAS","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.82879049088518 10.950619625003757, -74.8286466382474 10.950792747261353, -74.82848687960825 10.950930279386684, -74.82822787653788 10.951121627124701, -74.82797008381749 10.951297427199428, -74.82785147498576 10.95137994614882, -74.82770502882902 10.951507909913888, -74.82767307090312 10.951542575145279, -74.82748100206693 10.951444980924766))","0","DIAGONAL 97B ENTRE CARRERAS 7 Y CALLE 97","179,60","100% EJECUTADO","MALVINAS","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.82761392173553 10.950311234844362, -74.82759261223427 10.950670977700899, -74.82757808152236 10.950999785777496, -74.82756960764463 10.951103235274493, -74.82755326699646 10.951204293443016, -74.82751323799225 10.951387712513275))","0","CALLE 96B ENTRE CARRERAS 7B Y CALLE 97","105,00","100% EJECUTADO","MALVINAS","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.8270941383552 10.951319458383233, -74.827081376153 10.951343571550616, -74.82698842101134 10.95158945759231, -74.82694484786752 10.951719576841999))","0","CALLE 96 ENTRE CARRERAS 7F Y 7G","43,00","100% EJECUTADO","MALVINAS","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.82628706452769 10.950680992543854, -74.8264931720868 10.950757060076679, -74.82670811546437 10.950794379259943, -74.82678024768782 10.950800599858836), (-74.82585124993491 10.950507327891426, -74.8259340310519 10.950541773632136, -74.82619544750398 10.950653721930845, -74.82628706452769 10.950680992543854))","0","CARRERA 7D ENTRE CALLES 93 Y 95","100,00","100% EJECUTADO","MALVINAS","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.82768504812717 10.951972478386264, -74.82735404403077 10.951675574794102))","0","CARRERA 7G ENTRE CALLES 97 Y DIAGONAL 97","44,00","100% EJECUTADO","MALVINAS","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.82719869397137 10.951833690952684, -74.82694484786752 10.951719576841999, -74.82662490716635 10.951646598609013, -74.82631895136524 10.95155282781883, -74.8260246150067 10.951438008220899, -74.82546789327134 10.951241855855729))","0","CARRERA 7G ENTRE CALLES 93 Y 97","198,50","100% EJECUTADO","MALVINAS","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.80951843459755 10.954921176362186, -74.80927273594872 10.95502998760603, -74.80898952146741 10.955104113435059, -74.80887820825747 10.955123166488187))","0","CALLE 57A ENTRE CARRERAS 9M Y 9M1","59,00","100% EJECUTADO","EL BOSQUE","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.80972271574413 10.954962718495937, -74.80955109937815 10.955069477459734, -74.80939979608915 10.955269189165856, -74.80926564461952 10.955478361944621, -74.80911945209225 10.955637167596928))","0","CALLE 58 ENTRE CARRERAS 9M Y 9M1","33,80","100% EJECUTADO","EL BOSQUE","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.7895733517832 11.004725488491095, -74.78991101807188 11.0051393370225, -74.79020633333725 11.005444347175132, -74.79054280276408 11.005776870617321, -74.79081513197363 11.00599576856123))","0","CARRERA 70 ENTRE CALLES 68 Y 70","190,20","100% EJECUTADO","SAN FRANCISCO","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.78922999044218 11.005549791374854, -74.78991101807188 11.005139337022506))","0","CALLE 69 ENTRE CARRERAS 69 Y VÍA 40","96,50","100% EJECUTADO","SAN FRANCISCO","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.84235942045783 10.967334852445486, -74.84263393545785 10.967673539337179, -74.84285325743343 10.967944775703856, -74.84306241147479 10.968167217267506, -74.8432338018675 10.96835091087399))","0","CARRERA 14 ENTRE CALLES 112 Y 112A3","143,00","100% EJECUTADO","LOS ANGELES","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.84212123121453 10.96756591699072, -74.84239719802542 10.967884512022314, -74.84262378193262 10.968152878068096, -74.84282567407683 10.968382495713888, -74.84315102564045 10.96873696728914))","0","CARRERA 15 ENTRE CALLES 112 Y 112A3","165,50","100% EJECUTADO","LOS ANGELES","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.84187577891987 10.967772584059901, -74.8421444836276 10.968092614640858, -74.84239140174668 10.968378202074106, -74.84265139253249 10.968679575540051, -74.84290266883876 10.968963727283406, -74.84294333825339 10.969022567080534, -74.84299853312673 10.969124460808038, -74.84304501352065 10.969226354774191))","0","CARRERA 16 ENTRE CALLES 112 Y 112A3","234,30","100% EJECUTADO","LOS ANGELES","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.84311187101507 10.966690212330107, -74.8428756188533 10.966901663767453, -74.84262968376098 10.967117899099913, -74.84235942045783 10.967334852445486, -74.84212123121453 10.96756591699072, -74.84187577891987 10.967772584059901, -74.84162312754144 10.967974030372043))","0","CALLE 112 ENTRE CARRERAS 11 Y 17","223,10","100% EJECUTADO","LOS ANGELES","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.8314545144523 10.950385684925404, -74.83167682224176 10.950477854364292, -74.8321570578537 10.950676865378728, -74.8325443445065 10.950833777251711, -74.83313689383687 10.951078711958543, -74.83407219466423 10.951457592143708, -74.83458535266463 10.951671908153736))","0","CARRERA 6Q ENTRE CALLES 101 Y 110","355,50","100% EJECUTADO","VILLA SAN PEDRO","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.76996872150323 10.982795655460203, -74.77018660276192 10.982756235026075, -74.77125057602538 10.982623706670648, -74.77253606254065 10.98244098963826, -74.7738905360406 10.982279808017442, -74.77496176914319 10.982143680251792))","0","CARRERA 43B ENTRE CALLES 6 Y 10","550,00","100% EJECUTADO","BARRANQUILLITA","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.83367942340035 10.943198631813761, -74.83373081601773 10.942743014605732, -74.8338082723548 10.94181303768594, -74.83386442963646 10.940942381175544, -74.83389040262628 10.940144006430316, -74.83400295524318 10.939074821809115, -74.8341372911074 10.937826242418302, -74.83422805778201 10.936986679647319, -74.83431882535494 10.93604665719392, -74.83432608553909 10.93554794226979, -74.83429602521473 10.934963694113726, -74.8342132463596 10.934376716760775, -74.83413918206107 10.934006448460806, -74.83402155036956 10.933562987084171, -74.83384437654438 10.93309656367252, -74.83360330555304 10.932532550215795, -74.83330484838474 10.931988962239, -74.83297954955573 10.931506750048632, -74.83271744720699 10.931157672129713, -74.83245749811996 10.930849115424655, -74.83218593381629 10.930579305440347, -74.83189258446866 10.93030662512232, -74.83146111824783 10.92998709520987, -74.83115251191343 10.929762001985276, -74.83093170871153 10.929615600714214, -74.83058413615504 10.92944193345344, -74.82997227025888 10.929149992258711, -74.82898524903537 10.928678411774234, -74.82819234386334 10.92831817380052, -74.82735151716415 10.927914879310217, -74.82636547240938 10.927449865318373, -74.82599661696717 10.927270462728885, -74.82515143793046 10.926891559319351, -74.82417701827379 10.926433715510624, -74.82360195276148 10.926153842831404, -74.82256945073345 10.925683075229877, -74.8219479180665 10.92538597573554, -74.82150064778486 10.925182166024953, -74.82059884793576 10.9247587568752, -74.8198553366296 10.92439993510396, -74.8191176347284 10.924062640779436, -74.81826812132039 10.923666494719368, -74.81775178855972 10.923406789018745, -74.81720979452462 10.923157341213969, -74.81676508444151 10.92300463891772, -74.81644565700122 10.922912941999567, -74.81609713582382 10.922828245810797, -74.81583429236493 10.922778000354059, -74.81545527248532 10.922736357435227, -74.81505011252924 10.92269901975348, -74.81465379648714 10.92269463512691, -74.8140350288346 10.922729091181044, -74.8130336660076 10.922773403156723, -74.81235919023102 10.922809343676489, -74.8116374486975 10.922846604606777, -74.81071239595725 10.92290394077591, -74.80988318986458 10.922952671747991, -74.80929214332336 10.922982760790632, -74.80854280823924 10.923022882155555, -74.80782542083986 10.923060136002746, -74.80687422981978 10.923105976504253, -74.80605796126383 10.923151416552589, -74.80506148257703 10.923203317534641, -74.80415280073454 10.923254975946614, -74.80341507996873 10.923300826120489, -74.80251180957751 10.923345222686596, -74.80195852102433 10.923375303751154, -74.80128760077967 10.923413980283083, -74.80085629625556 10.923431157110645, -74.79922809890479 10.923531381418826), (-74.8382811117152 10.964667232498142, -74.83826187788664 10.964527591612148, -74.83823960595582 10.964334324806021, -74.83814035289666 10.963770312624607, -74.83808515771071 10.963530643126138, -74.83796363631402 10.96303790981129, -74.8378382395852 10.962592536677272, -74.83765474880694 10.96197375015476, -74.83747464737225 10.961395866068147, -74.83729454593758 10.960773970010674, -74.83716479507457 10.960324291417637, -74.83698663130595 10.959700480199203, -74.83681073129183 10.959047580635003, -74.83675717463294 10.958867259678867, -74.83654415443466 10.958097596169887, -74.83627710147037 10.95728480917363, -74.83617640212366 10.956919324920106, -74.83598081463178 10.956243848577609, -74.83571285077579 10.95533227524401, -74.83558891291099 10.954811795497896, -74.83537008959598 10.954099962226245, -74.8350583175985 10.953070482248911, -74.83473299271837 10.951941500167422, -74.83401070051755 10.949421377739224, -74.83370280924214 10.948384242798838, -74.83354789836464 10.947672407304896, -74.83350349823341 10.94747175359836, -74.83344363180792 10.947135913422771, -74.83341167154674 10.946882402059591, -74.83338870431987 10.946508079970222, -74.83339367649498 10.946207276775656, -74.83341797861839 10.945678245258087, -74.83367571156158 10.94318326154449), (-74.83828681871219 10.966834843257287, -74.83832070226642 10.966457876858446, -74.83833618473032 10.96574125812563, -74.83831971861115 10.965252352475089, -74.83830406726396 10.964885231528445, -74.83827624015143 10.964641235370218), (-74.83824698202262 10.967161426612096, -74.83825812652204 10.967068104772276, -74.8382878589613 10.966819117041839), (-74.83803758652651 10.968322446681587, -74.83806897366254 10.968203021682799, -74.83811351303265 10.968014538974728, -74.83816579588049 10.96775142741858, -74.83819469827645 10.967493744652714, -74.83825279232587 10.967155685385785), (-74.837801566762 10.96911403503082, -74.83782193156951 10.969048386166218, -74.83794457586033 10.968652922882798, -74.83801773016546 10.96838715295079, -74.83803421964083 10.968324062332155), (-74.83603334541465 10.97922600668027, -74.83603545016737 10.979525164235966, -74.83603947461978 10.980014621253408, -74.83604029478171 10.980087262676092, -74.83605519513729 10.980587410538547, -74.83605578982203 10.980600090928665, -74.83608726319632 10.981155014216412, -74.83609513333649 10.981404416689935, -74.83609506596288 10.981448711948307, -74.83610273488046 10.98258103032844, -74.83610447346521 10.98265968045823), (-74.83603455544534 10.97922959413876, -74.83603302651272 10.979012096892784, -74.83603211831598 10.978334337581224, -74.83603228270768 10.978260305891324, -74.83603443237614 10.97787759805649, -74.8360490524574 10.97743580654223, -74.83605688576664 10.977214773405086, -74.83609972552425 10.976406762316719, -74.83610879401705 10.976288569045874, -74.83613919480288 10.975989387928806, -74.83618289155325 10.975574051866372, -74.83624313796611 10.97512543376256, -74.83632657259137 10.974541150838135, -74.83648359001818 10.973751277306892, -74.83651877073969 10.973599414194897, -74.83658190164292 10.97331180781284, -74.83670359821106 10.972717702314231, -74.83678047603306 10.97242451269072, -74.83694606787931 10.971865514522829, -74.83702950789447 10.971574513800766, -74.83714446799631 10.971195704108348, -74.8371502630282 10.971177327143067, -74.83731008319873 10.970661665750276, -74.83739690087936 10.970391086864403, -74.83742578620733 10.970299312013791, -74.8374387686598 10.97025836630202, -74.83753135981276 10.969973588450722, -74.83769058350192 10.96946756590985, -74.83780146794734 10.96911010791685))","0","CIRCUNVALAR ENTRE CALLE 30 Y CARRERA 38","VARIABLE","100% EJECUTADO","BARRANQUILLA","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.82990272132929 10.958647109099035, -74.8301435728173 10.958613625761698, -74.83022345312767 10.958607647073041, -74.83043041556351 10.958605257879988, -74.8307220996498 10.95858612619118))","0","CARRERA 9J ENTRE CALLES 98D Y 99","82,6","EJECUTADA","LOS ROSALES","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.8294452370811 10.957936704850818, -74.82945854942434 10.957997698769473, -74.82946823097751 10.958051516899411, -74.8294621785963 10.958104138823082, -74.82944160230223 10.958172307928994, -74.8294186055663 10.958229713399287, -74.82938108510002 10.958290706497253, -74.82934477518408 10.958336152195344, -74.82930362367154 10.958403124998913, -74.82926852391392 10.958455746437362, -74.82924068581667 10.958517935632642, -74.82921647844202 10.958590888480748, -74.82919953299863 10.958657861674007, -74.82919105994381 10.958710483549456))","0","CALLE 98B ENTRE CARRERAS 9G Y 9J","92,2","EJECUTADA","LOS ROSALES","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.8308970210067 10.959302266028498, -74.83092412967991 10.959499359700706, -74.83098609407428 10.95980935189253))","0","CALLE 99 ENTRE CARRERAS 9L Y 9M","58,0","EJECUTADA","LOS ROSALES","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.83155250309534 10.961597788390472, -74.83164351896876 10.96160735684409, -74.83176939212512 10.961605444399874, -74.83194948753955 10.961605445859576, -74.8320385670066 10.961603533014719, -74.83220704321083 10.961624583038, -74.83239682101264 10.961651373686756, -74.83260596386299 10.961693472547985, -74.83272990037462 10.961722176137336))","0","CARRERA 12 ENTRE CALLES 99B Y 99D","125,0","EJECUTADA","7 DE AGOSTO","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.83274345923404 10.961106020322124, -74.83276282329209 10.961297373184639, -74.83277250482965 10.961488725994217, -74.83276282177026 10.961586315851191, -74.83272990037462 10.961722176137336, -74.8327182806166 10.961850382421956, -74.83270278759386 10.962020686289897))","0","CALLE 99D ENTRE CARRERAS 11 Y 12A","98,0","EJECUTADA","7 DE AGOSTO","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.83039445564775 10.962701881007769, -74.8305822996242 10.962556455289532, -74.8307720799551 10.96240911594928, -74.83107417854393 10.962204371885065, -74.83118843337895 10.962154621369036, -74.83134722803418 10.962099130666585, -74.83155249864888 10.962074256748462, -74.83180618191749 10.962064691316964, -74.83206761116267 10.962062779842071, -74.83229611967398 10.962062781452623, -74.83243167558273 10.96206086879959, -74.83270278759386 10.962020686289897))","0","CARRERA 12A ENTRE CALLES 98 Y 99D","350,0","EJECUTADA","7 DE AGOSTO","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.83169580917165 10.96110601306855, -74.83166482390118 10.961236132677797, -74.83160672734768 10.96138156026252, -74.83157186925712 10.961482976911551, -74.83155250309534 10.961597788390472, -74.8315428198476 10.96167241587721, -74.83153894580423 10.961781486912455, -74.83154862762595 10.96185994163029, -74.83155249864888 10.962074256748462))","0","CALLE 99B ENTRE CARRERAS 11 Y 12A","103,0","EJECUTADA","7 DE AGOSTO","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.83223603016476 10.960038413934196, -74.83218381480565 10.960277459406907, -74.83213540166905 10.9603597407547, -74.83209667101703 10.960442022165495, -74.83208117821817 10.960545352547987, -74.83209473113762 10.96089170115832))","0","CALLES 99C ENTRE CARRERAS 9M Y 10","105,0","EJECUTADA","7 DE AGOSTO","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.83231694901374 10.96031429572409, -74.83243313591674 10.960813727199705))","0","CALLE 99C-1 ENTRE CARRERAS 9M-1 Y 10","55,0","EJECUTADA","7 DE AGOSTO","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.83231694901373 10.96031429572409, -74.83245782934878 10.960337258954736, -74.83255659085266 10.960350175857545, -74.83270037607808 10.960354482097602, -74.83284997080567 10.960360223443981, -74.83290951816552 10.96037457518532, -74.83294292271503 10.960397537671899))","0","CARRERA 9M1 ENTRE CALLES 99C1 Y 99D","82,0","EJECUTADA","7 DE AGOSTO","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.83322177648185 10.961073492467253, -74.83327696802608 10.960759195744975))","0","CALLE 99D ENTRE CARRERAS 10 Y 11","55,0","EJECUTADA","7 DE AGOSTO","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.83300682584435 10.960720445756087, -74.83299811217344 10.960586977161613, -74.83297632716523 10.96044346248738, -74.83294292271503 10.960397537671899))","0","CALLE 99D ENTRE CARRERAS 9M1 Y 10","36,0","EJECUTADA","7 DE AGOSTO","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.83037315282915 10.96278703270246, -74.83058374390032 10.963200835662628))","0","CALLE 98 ENTRE CARRERAS 12A Y 12B","50,0","EJECUTADA","7 DE AGOSTO","MODULO II (MANTEN. BARRIOS A LA OBRA) PR"
"MULTILINESTRING ((-74.82278683298088 10.97143026055334, -74.82267789368115 10.971609649496216, -74.82250540571226 10.971905641443922, -74.82232081438632 10.972186683387482, -74.82219977224574 10.972333182941277, -74.82202426242078 10.972509579096345, -74.82164903447583 10.972871339743314, -74.82125262171668 10.973289906814864, -74.82079568727248 10.973756308824704, -74.82064438342513 10.97392672547249, -74.82047492177352 10.974141989482066, -74.82021164764713 10.97453664211403, -74.81981219405584 10.975173468659396, -74.81953378323564 10.975672765894455, -74.81936431361389 10.976010614500023, -74.81923721307977 10.976225879867892, -74.81912827339642 10.976336500152135, -74.81901328358552 10.976411241486248, -74.81885593169197 10.97646206155632, -74.81861082756578 10.976506897260217, -74.81824166077185 10.976527807167066, -74.81776658556392 10.976551700768052))","0","DIAG 78 ENTRE CL 76 Y DIAG 82F (BAJADA DE LA MANGA","818,5","EJECUTADA","LA MANGA","MODULO II (MANTEN. BARRIOS A LA OBRA) PF"
