"the_geom","id","ubicacion","longitud_m","estado","barrio","programa"
"MULTILINESTRING ((-74.8126420961107 10.931474054568906, -74.81281151993161 10.93152477511807, -74.81290639802977 10.931542960327977, -74.8129886918729 10.931536268724503, -74.81306130536736 10.93151235464465, -74.81312714324561 10.93146739123425))","0","CARRERA 1 SUR ENTRE CALLES 51B Y 51B1","87,15","100% EJECUTADO","CARRIZAL","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81268577993751 10.934871053576643, -74.81273418314655 10.934942814405126, -74.81282978218032 10.935048065337938, -74.81296652923176 10.935142555508813, -74.81313716288662 10.935228676272727))","0","CARRERA 1E ENTRE DIAGONAL 52 Y 52A","59,70","100% EJECUTADO","CARRIZAL","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81313716288662 10.935228676272727, -74.81358008789954 10.935406904216409))","0","CARRERA 1E ENTRE DIAGONAL 52A Y CALLE 52B","45,30","100% EJECUTADO","CARRIZAL","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81358008789954 10.935406904216409, -74.81373257026294 10.935470300236737, -74.81386689671245 10.935574357493415, -74.81402663399258 10.935733430387442, -74.81413070361441 10.935862600605345, -74.81421662010756 10.935991769592654))","0","CARRERA 1E ENTRE CALLES 52B Y 52D","92,35","100% EJECUTADO","CARRIZAL","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.8132436060666 10.936013231223544, -74.8135292025561 10.936216563427244, -74.81362480335649 10.936306266667675))","0","CARRERA 1F ENTRE CALLES 52B Y 52D","48,60","100% EJECUTADO","CARRIZAL","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81389090498858 10.934901753038542, -74.81358008789954 10.935406904216409, -74.81340482368172 10.935770463101182, -74.81323247275117 10.93600390199322, -74.81290907387456 10.936415288580278, -74.81263795774707 10.936796062039537))","0","CALLE 52B ENTRE TRANSVERSAL 1D Y CARRERA 2A","245,20","100% EJECUTADO","CARRIZAL","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81420185071455 10.936062569254759, -74.81444023450851 10.936490737342341, -74.814793580646 10.937057643569538, -74.81497630609368 10.937329137340615))","0","CARRERA 1E ENTRE CALLES 52D Y 53A","161,10","100% EJECUTADO","SANTO DOMINGO","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81503681075357 10.937427209605145, -74.81517960240885 10.937650862463054, -74.81538290493356 10.937881694748759, -74.8156334040042 10.938151996352724, -74.81583912707688 10.938392396128473, -74.81613319568825 10.938653132297011, -74.8163159304793 10.938806225553575, -74.81667050383594 10.939192540186692, -74.81685443797248 10.939541770038034, -74.81703111441604 10.939834789410384, -74.81717511881047 10.940060833286054, -74.81732638897327 10.940213924157721))","0","CARRERA 1E ENTRE CALLES 53A Y 55B","404,10","100% EJECUTADO","SANTO DOMINGO","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.81604127302438 10.937764531124456, -74.8156334040042 10.938151996352724, -74.81540829214647 10.938314632578807))","0","DIAGONAL 54 ENTRE TRANSVERSAL 1D Y CARRERA 2","87,00","100% EJECUTADO","SANTO DOMINGO","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
"MULTILINESTRING ((-74.8166777639454 10.939213768832955, -74.81646862503455 10.939407023235363))","0","CALLE 54D ENTRE CARRERA 1E Y ARROYO","30,00","100% EJECUTADO","SANTO DOMINGO","PROGRAMA BARRIOS A LA OBRA ETAPA IV - MODULO I"
