"codmpo","coddane","clase_de_equipamiento","subclase_de_equipamiento","nombre_equipamiento","clase_de_uso","localizaci_n","direcci_n","vereda_municipio","municipio","subregi_n","accesibilidad","tipo_de_superficie","acueducto","alcantarillado","energia_electrica","recolecci_n_de_basuras","gas_natural","conexiones","cobertura","infraestructura","transporte","observaciones","fecha","telefono","fecha_captura","geocoded_column"
"17001","17001023","TRANSPORTE TERRESTRE","PEAJE","PEAJE PAVAS","CONSOLIDADO","RURAL","AUTOPISTA DEL CAFE","EL ROSARIO","MANIZALES","CENTRO SUR","VEHICULAR","PAVIMENTADA","ACUEDUCTO POR TUBERIA","SISTEMA DE ALCANTARILLADO","SI TIENE CONEXION","N/A","NO TIENE CONEXION","INTERNET RED","INTERDEPARTAMENTAL","N/A","N/A","N/A","2016-11-30T00:00:00.000","N/A","2016-11-30T00:00:00.000","(5.02693692008469, -75.5875076101986)"
"17174","17174021","TRANSPORTE TERRESTRE","PEAJE","PEAJE TARAPACA","CONSOLIDADO","RURAL","AUTOPISTA DEL CAFE","SAN ANDRES","CHINCHINA","CENTRO SUR","VEHICULAR","PAVIMENTADA","ACUEDUCTO POR TUBERIA","SISTEMA DE ALCANTARILLADO","SI TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","INTERNET RED","INTERMINUCIPAL","N/A","N/A","N/A","2016-12-05T00:00:00.000","N/A","2016-12-05T00:00:00.000","(4.93998197983069, -75.6163696897599)"
"17001","17001045","TRANSPORTE TERRESTRE","PEAJE","SAN BERNARDO","CONSOLIDADO","RURAL","LA TRINIDAD","LA TRINIDAD","MANIZALES","CENTRO SUR","VEHICULAR","N/A","ACUEDUCTO POR TUBERIA","SISTEMA DE ALCANTARILLADO","SI TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","N/A","INTERMINUCIPAL","N/A","N/A","N/A","2016-12-06T00:00:00.000","N/A","2016-12-06T00:00:00.000","(5.05219736034426, -75.594572719771)"
"17653","17653039","TRANSPORTE TERRESTRE","PUENTE FERREO","PUENTE DE LA UNIÓN","SIN_CONSOLIDAR","RURAL","VDA. LA UNIÓN","LA UNION","SALAMINA","NORTE","VEHICULAR","PAVIMENTADA","N/A","N/A","N/A","N/A","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","INTERMINUCIPAL","N/A","N/A","NO","2016-11-15T00:00:00.000","N/A","2016-11-15T00:00:00.000","(5.35418533325243, -75.4919175664051)"
"17524","17524007","TRANSPORTE TERRESTRE","PUENTE FERREO","PUENTE CAMPO ALEGRE","CONSOLIDADO","RURAL","VDA KM 35","LOS ALPES","PALESTINA","CENTRO SUR","VEHICULAR","N/A","N/A","N/A","N/A","N/A","N/A","N/A","INTERVEREDAL","N/A","N/A","N/A","2016-12-06T00:00:00.000","N/A","2016-12-06T00:00:00.000","(5.07719072955737, -75.7092508997468)"
"17001","17001010","TRANSPORTE TERRESTRE","PUENTE FERREO","PUENTE DE LA CARRILERA","SIN_CONSOLIDAR","RURAL","VDA KM 41","COLOMBIA","MANIZALES","CENTRO SUR","VEHICULAR","N/A","N/A","N/A","N/A","N/A","N/A","N/A","INTERVEREDAL","N/A","N/A","N/A","2016-12-22T00:00:00.000","N/A","2016-12-22T00:00:00.000","(5.16604426128413, -75.6612324722288)"
"17380","17380002","TRANSPORTE TERRESTRE","PUENTE FERREO","PUENTE SOBRE EL RÍO LA MIEL","CONSOLIDADO","CENTRO POBLADO","N/A","BUENAVISTA","LA DORADA","MAGDALENA CALDENSE","PEATONAL","SENDERO","N/A","N/A","NO TIENE CONEXION","N/A","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","INTERDEPARTAMENTAL","N/A","N/A","N/A","2016-12-01T00:00:00.000","N/A","2016-12-01T00:00:00.000","(5.77145528010028, -74.6732754099364)"
"17777","17777000","TRANSPORTE TERRESTRE","PUENTE PEATONAL","PUENTE PEATONAL EL RETIRO","CONSOLIDADO","CABECERA MUNICIPAL","CALLE 28","SUPIA","SUPIA","ALTO OCCIDENTE","VEHICULAR","PAVIMENTADA","N/A","N/A","NO TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","MUNICIPAL","N/A","N/A","NINGUNA","2016-12-27T00:00:00.000","N/A","2016-12-27T00:00:00.000","(5.45167166626978, -75.6510400001655)"
"17433","17433038","TRANSPORTE TERRESTRE","PUENTE PEATONAL","PUENTE COLGANTE QUEBRADA EL PALO","CONSOLIDADO","CABECERA MUNICIPAL","N/A","ROMERAL","MANZANARES","ALTO ORIENTE","PEATONAL","CARRETEABLE","ACUEDUCTO POR TUBERIA","OTRO_SISTEMA","NO TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","MUNICIPAL","N/A","N/A","N/A","2016-11-17T00:00:00.000","N/A","2016-11-17T00:00:00.000","(5.25042213463875, -75.1610733293577)"
"17042","17042000","TRANSPORTE TERRESTRE","PUENTE PEATONAL","PUENTE DE LA VERGUENZA","CONSOLIDADO","CABECERA MUNICIPAL","VARIANTE ENTRADA BARRIO SAN ISIDRO","ANSERMA","ANSERMA","OCCIDENTE PROSPERO","VEHICULAR","PAVIMENTADA","N/A","N/A","SI TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","INTERVEREDAL","N/A","N/A","N/A","2016-11-25T00:00:00.000","N/A","2016-11-25T00:00:00.000","(5.2384133332654, -75.7835916664986)"
