"objectid","pppcodigo","ppptelefon","pppcodloc","pppnomloc","pppcodupz","pppnomupz","pppcodsec","pppnomsec","pppnombre","pppdirecci","pppanio","pppestado","tipo","descrip","point_x","point_y"
"1","1","3201511 Ext: 105","7","Bosa","UPZ85","Bosa Central","4528","Paso Ancho","Palestina","CL 68 SUR 90 05","2016","Activo","PPP","PPP Palestina","-74,19158935500","4,61248779300"
"2","2","3201511 Ext: 105","10","Engativá","UPZ30","Boyaca Real","5603","Boyaca","Boyacá Real","CL 71 KR 73A","2016","Activo","PPP","PPP Boyacá Real","-74,09850764500","4,68681826400"
"3","3","3201511 Ext: 105","7","Bosa","UPZ85","Bosa Central","4522","Bosa","Clarelandia","CL 58  KR 80","2016","Activo","PPP","PPP Clarelandia","-74,18041992200","4,61169433600"
"4","4","3201511 Ext: 105","7","Bosa","UPZ85","Bosa Central","4533","El Retazo","Naranjos","CL 70A SUR KR 86","2016","Activo","PPP","PPP Naranjos","-74,19317627000","4,60772705100"
"5","5","3201511 Ext: 105","10","Engativá","UPZ31","Santa Cecilia","5614","Villa Luz","Parque Villa Luz","KR 80A a 7 A  CL 63B","2016","Activo","PPP","PPP Parque Villa Luz","-74,10858154300","4,68231201200"
"6","6","3201511 Ext: 105","10","Engativá","UPZ72","Bolivia","5644","Bochica II","San Andres","CL 82 100A 91","2016","Activo","PPP","PPP San Andres","-74,11077880900","4,71270752000"
"7","7","3201511 Ext: 105","10","Engativá","UPZ29","Minuto de Dios","5613","La Serena","La Serena","AK 86 DG 91","2016","Activo","PPP","PPP La Serena","-74,09280758000","4,70982851800"
"8","8","3201511 Ext: 105","9","Fontibón","UPZ75","Fontibón","6416","Atahualpa","Atahualpa","AC 24 113 51","2016","Activo","PPP","PPP Atahualpa","-74,14538574200","4,68908691400"
"9","9","3201511 Ext: 105","9","Fontibón","UPZ110","Ciudad Salitre Oriental","6319","Terminal de Transporte","Sauzalito","AV La Esperanza  DG 22","2016","Activo","PPP","PPP Sauzalito","-74,11261092000","4,65347237200"
"10","10","3201511 Ext: 105","8","Kennedy","UPZ47","Kennedy Central","4507","Ciudad de Kennedy Sur","Amistad","TRV 78J 41 10 SUR","2016","Activo","PPP","PPP Amistad","-74,15649414100","4,61767578100"
"11","11","3201511 Ext: 105","8","Kennedy","UPZ46","Castilla","6504","Bavaria","Castilla","KR 75 8A 31","2016","Activo","PPP","PPP Castilla","-74,13897705100","4,63928222700"
"12","12","3201511 Ext: 105","8","Kennedy","UPZ82","Patio Bonito","4558","Campo Hermoso","Patio Bonito","CL 33 BIS SUR  KR 88D","2016","Activo","PPP","PPP Patio Bonito","-74,16442871100","4,64111328100"
"13","13","3201511 Ext: 105","8","Kennedy","UPZ48","Timiza","4518","Timiza A","Timiza","DG 40G SUR CL 41 SUR","2016","Activo","PPP","PPP Timiza","-74,15319824200","4,61010742200"
"14","14","3201511 Ext: 105","14","Los Mártires","UPZ37","Santa Isabel","4104","La Estanzuela","Eduardo Santos","CL 4A KR 19","2016","Activo","PPP","PPP Eduardo Santos","-74,08990478500","4,59869384800"
"15","15","3201511 Ext: 105","18","Rafael Uribe Uribe","UPZ55","Diana Turbay","1416","San Agustín","Molinos II","KR 5 CL 48 BIS SUR","2016","Activo","PPP","PPP Molinos II","-74,10772705100","4,55267334000"
"16","16","3201511 Ext: 105","3","Santa Fe","UPZ91","Sagrado Corazón","8107","San Diego","Parque La Independencia","CL 26  KR  5 a 7","2016","Activo","PPP","PPP Parque La Independencia","-74,06878662100","4,61132812500"
"17","17","3201511 Ext: 105","11","Suba","UPZ71","Tibabuyes","9225","Tibabuyes Universal","Tibabuyes","CL 139 TRV 119","2016","Activo","PPP","PPP Tibabuyes","-74,10998535200","4,74609375000"
