"numero","ano","lugar_de_nacimiento","edad","sexo","municipio_residencia","caracterizacion","rea","programa","municipio_eps","eps","estado","regimen","tipo_afiliado","grupo_etario","curso_de_vida","sisbenizado","puntaje_sisben","estrato","comuna_o_corregimiento"
"1","2021","Colombia","18","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Sanitas","3","Media","Estudiante","18 a 28 años","jovenes","No",,"3","Comuna 13 Oriental"
"2","2021","Colombia","44","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas primer año","Bucaramanga","Nueva eps","3","Tecnológica","Empleado","29 a 59 años","adultez","Sí","65","3","Comuna 15 Centro"
"3","2021","Colombia","52","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Avanzar","4","Doctorado","Pensionado","29 a 59 años","adultez","No",,"4","Comuna 10 Provenza"
"4","2021","Colombia","56","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","SaludTotal","6","Especialización","Empleado","29 a 59 años","adultez","No",,"6","Comuna 12 Cabecera del llano"
"5","2021","Chile","7","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes infantil","Bucaramanga","Sanitas","2","Primaria","Estudiante","0 a 7 años","primera infancia","No",,"2","Corregimiento 3"
"6","2021","Colombia","8","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes infantil","Bucaramanga","SaludTotal","3","Primaria","Estudiante","8 a 12 años","infancia","No",,"3","Comuna 15 Centro"
"7","2021","Colombia","28","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas primer año","Bucaramanga","SaludTotal","3","Profesional","Estudiante","18 a 28 años","jovenes","Sí","25.48","3","Comuna 10 Provenza"
"8","2021","Colombia","27","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","coomeva","2","Media","Independiente","18 a 28 años","jovenes","Sí","37.35","2","Corregimiento 3"
"9","2021","Colombia","77","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Nueva eps","3","Profesional","Pensionado","60 y mas años","persona mayor","No",,"3","Comuna 3 San Francisco"
"10","2021","Colombia","19","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Sanitas","3","Media","Desempleado","18 a 28 años","jovenes","No",,"3","Comuna 12 Cabecera del llano"
"11","2021","Colombia","60","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Sanitas","4","Profesional","Pensionado","60 y mas años","persona mayor","No",,"4","Comuna 13 Oriental"
"12","2021","Colombia","47","Masculino","Piedecuesta","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Piedecuesta","coomeva","3","Tecnológica","Independiente","29 a 59 años","adultez","Sí","0","3",
"13","2021","Colombia","60","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Salud Mia","3","Profesional","Desempleado","60 y mas años","persona mayor","Sí","23.02","3","Comuna 3 San Francisco"
"14","2021","Colombia","30","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas primer año","Bucaramanga","SaludTotal","4","Profesional","Independiente","29 a 59 años","adultez","No",,"4","Comuna 13 Oriental"
"15","2021","Colombia","17","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Nueva eps","4","Media","Estudiante","13 a 17 años","adolescente","No",,"4","Comuna 12 Cabecera del llano"
"16","2021","Colombia","38","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas primer año","Bucaramanga","coomeva","2","Maestría","Empleado","29 a 59 años","adultez","Sí","61","2","Comuna 9 La Pedregosa"
"17","2021","Colombia","12","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes Adolescentes","Bucaramanga","Sanitas","3","Básica","Estudiante","8 a 12 años","infancia","Sí","13.34","3","Comuna 3 San Francisco"
"18","2021","Colombia","17","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","saludtotal","3","Media","Estudiante","13 a 17 años","adolescente","No",,"3","Comuna 15 Centro"
"19","2021","Colombia","42","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Coosalud","4","Media","Desempleado","29 a 59 años","adultez","Sí","42.53","4","Comuna 12 Cabecera del llano"
"20","2021","Colombia","23","Masculino","Piedecuesta","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Piedecuesta","Nueva eps","2","Media","Empleado","18 a 28 años","jovenes","Sí","18.77","2",
"21","2021","Colombia","28","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","SaludTotal","2","Media","Estudiante","18 a 28 años","jovenes","Sí","36.94","2","Comuna 4 Occidental"
"22","2021","Colombia","59","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Sanitas","4","Técnica","Ama de casa","29 a 59 años","adultez","Sí","20.53","4","Comuna 12 Cabecera del llano"
"23","2021","Colombia","30","Masculino","Piedecuesta","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Piedecuesta","Nueva eps","2","Técnica","Independiente","29 a 59 años","adultez","Sí","22","2",
"24","2021","Colombia","9","Masculino","Bucaramanga","Víctima del conflicto","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas primer año","Bucaramanga","Salud mia","5","Primaria","Estudiante","8 a 12 años","infancia","No",,"5","Comuna 12 Cabecera del llano"
"25","2021","Colombia","25","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Nueva eps","3","Técnica","Independiente","18 a 28 años","jovenes","No",,"3","Comuna 7 La Ciudadela"
"26","2021","Colombia","24","Femenino","Otro","Víctima del conflicto","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas primer año","Otro","Comparta","2","Profesional","Desempleado","18 a 28 años","jovenes","Sí","17.6","2",
"27","2021","Colombia","37","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","SaludTotal","4","Tecnológica","Independiente","29 a 59 años","adultez","Sí","3","4","Comuna 12 Cabecera del llano"
"28","2021","Venezuela","39","Masculino","Floridablanca","Extranjero","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Floridablanca","Sanitas","4","Profesional","Independiente","29 a 59 años","adultez","No",,"4",
"29","2021","Colombia","60","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","SaludTotal","4","Profesional","Pensionado","60 y mas años","persona mayor","No",,"4","Comuna 13 Oriental"
"30","2021","Colombia","70","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","Avanzar","3","Maestría","Pensionado","60 y mas años","persona mayor","No",,"3","Comuna 3 San Francisco"
"31","2021","Colombia","62","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","Nueva eps","4","Profesional","Desempleado","60 y mas años","persona mayor","Sí","35.5","4","Comuna 13 Oriental"
