"contrib_code_desc","year","quarter","report_no","contrib_type","contrib_code","person_id","vehicle_id"
"Not Applicable","2020","Q2","ZG0974002R","Road","0",,
"Not Applicable","2020","Q2","MSP7182002F","Road","0",,
"Not Applicable","2020","Q2","RD0119001K","Road","0",,
"Not Applicable","2020","Q2","MCP2536002R","Road","0",,
"Not Applicable","2020","Q2","MSP65770077","Road","0",,
"Not Applicable","2020","Q2","AE5939004D","Road","0",,
"Not Applicable","2020","Q2","AC159700GL","Road","0",,
"Not Applicable","2020","Q2","ADJ223007Y","Road","0",,
"Not Applicable","2020","Q2","AC24660003","Road","0",,
"Not Applicable","2020","Q2","MCP3074004B","Road","0",,
"Not Applicable","2020","Q2","AE6283000N","Road","0",,
"Not Applicable","2020","Q2","MSP7126001G","Road","0",,
"Not Applicable","2020","Q2","CTX3350043","Road","0",,
"Not Applicable","2020","Q2","AE454600LW","Road","0",,
"Not Applicable","2020","Q2","DA35620051","Road","0",,
"Not Applicable","2020","Q2","ADH584009F","Road","0",,
"Not Applicable","2020","Q2","DA3515004V","Road","0",,
"Not Applicable","2020","Q2","MSP694200H2","Road","0",,
"Wet","2020","Q2","AC2203007V","Road","61",,
"Not Applicable","2020","Q2","MSP7133003W","Road","0",,
"Not Applicable","2020","Q2","DA40270035","Road","0",,
"Not Applicable","2020","Q2","HA2449000X","Road","0",,
"Not Applicable","2020","Q2","MSP675700K8","Road","0",,
"Not Applicable","2020","Q2","DA3717003M","Road","0",,
"Not Applicable","2020","Q2","AE6030001Y","Road","0",,
"Not Applicable","2020","Q2","ADG7500014","Road","0",,
"Not Applicable","2020","Q2","MSP7204000P","Road","0",,
"Not Applicable","2020","Q2","DA3094003M","Road","0",,
"Not Applicable","2020","Q2","MSP516300KC","Road","0",,
"Not Applicable","2020","Q2","MSP675600N6","Road","0",,
"Not Applicable","2020","Q2","ADJ8810033","Road","0",,
"Not Applicable","2020","Q2","DS0389000Q","Road","0",,
"Not Applicable","2020","Q2","ADK3490007","Road","0",,
"Not Applicable","2020","Q2","AE58770055","Road","0",,
"Not Applicable","2020","Q2","BW01840004","Road","0",,
"Wet","2020","Q2","MSP6575007S","Road","61",,
"Not Applicable","2020","Q2","AE437900Z3","Road","0",,
"Not Applicable","2020","Q2","MSP70610079","Road","0",,
"Not Applicable","2020","Q2","ZJ0558001H","Road","0",,
"Wet","2020","Q2","ADJ9750015","Road","61",,
"Not Applicable","2020","Q2","MDTA1759000D","Road","0",,
"Wet","2020","Q2","ADH7370026","Road","61",,
"Not Applicable","2020","Q2","FA01900003","Road","0",,
"Not Applicable","2020","Q2","DA3093001Q","Road","0",,
"Not Applicable","2020","Q2","ADK192000J","Road","0",,
"Not Applicable","2020","Q2","ADJ8630042","Road","0",,
"Not Applicable","2020","Q2","AE6083005Y","Road","0",,
"Not Applicable","2020","Q2","MSP7192002B","Road","0",,
"Not Applicable","2020","Q2","DA4062002X","Road","0",,
"Not Applicable","2020","Q2","MSP72160019","Road","0",,
"Wet","2020","Q2","MCP3226000L","Road","61",,
"Not Applicable","2020","Q2","AE5906005N","Road","0",,
"Not Applicable","2020","Q2","DA3047003Y","Road","0",,
"Not Applicable","2020","Q2","MSP7058004G","Road","0",,
"Wet","2020","Q2","MSP592700GV","Road","61",,
"Not Applicable","2020","Q2","ZL11520027","Road","0",,
"Not Applicable","2020","Q2","DA3990003P","Road","0",,
"Wet","2020","Q2","MSP693500CG","Road","61",,
"Not Applicable","2020","Q2","AE5940002M","Road","0",,
"Not Applicable","2020","Q2","AE6305000X","Road","0",,
"Not Applicable","2020","Q2","ZR0297005S","Road","0",,
"Not Applicable","2020","Q2","MSP6760003Y","Road","0",,
"Not Applicable","2020","Q2","MDTA1737001F","Road","0",,
"Not Applicable","2020","Q2","ADH584009Q","Road","0",,
"Not Applicable","2020","Q2","MSP6656006X","Road","0",,
"Not Applicable","2020","Q2","ADJ971000T","Road","0",,
"Not Applicable","2020","Q2","ADJ62200CH","Road","0",,
"Not Applicable","2020","Q2","ADK052001Q","Road","0",,
"Not Applicable","2020","Q2","AC2260001T","Road","0",,
"Wet","2020","Q2","MSP656800JJ","Road","61",,
"Not Applicable","2020","Q2","AB50050021","Road","0",,
"Wet","2020","Q2","MSP648900P6","Road","61",,
"Not Applicable","2020","Q2","MSP577100HQ","Road","0",,
"Wet","2020","Q2","MSP7182001X","Road","61",,
"Not Applicable","2020","Q2","MCP29950067","Road","0",,
"Not Applicable","2020","Q2","ADG445009R","Road","0",,
"Not Applicable","2020","Q2","ADK160000G","Road","0",,
"Not Applicable","2020","Q2","AE60480061","Road","0",,
"Wet","2020","Q2","MSP7037007G","Road","61",,
"Wet","2020","Q2","MSP646300JH","Road","61",,
"Wet","2020","Q2","AE4354009D","Road","61",,
"Not Applicable","2020","Q2","ZJ025100GB","Road","0",,
"Not Applicable","2020","Q2","MSP5688004V","Road","0",,
"Not Applicable","2020","Q2","ADK2340011","Road","0",,
"Not Applicable","2020","Q2","AE5351009Q","Road","0",,
"Not Applicable","2020","Q2","MSP616500SZ","Road","0",,
"Not Applicable","2020","Q2","AE5408008V","Road","0",,
"Wet","2020","Q2","ADK3870009","Road","61",,
"Not Applicable","2020","Q2","CE4840002D","Road","0",,
"Not Applicable","2020","Q2","ADK3690006","Road","0",,
"Not Applicable","2020","Q2","AE6307001R","Road","0",,
"Not Applicable","2020","Q2","ZH0352000T","Road","0",,
"Not Applicable","2020","Q2","DA38460052","Road","0",,
"Not Applicable","2020","Q2","ADH044005P","Road","0",,
"Not Applicable","2020","Q2","DA4204001G","Road","0",,
"Not Applicable","2020","Q2","AE6278000D","Road","0",,
"Not Applicable","2020","Q2","MSP7121002H","Road","0",,
"Wet","2020","Q2","ADI195003D","Road","61",,
"Not Applicable","2020","Q2","AE405300D5","Road","0",,
"Wet","2020","Q2","AC24170015","Road","61",,
"Not Applicable","2020","Q2","AC23710006","Road","0",,
,"2020","Q2","MSP579600N9","Road","71.88",,
"Wet","2020","Q2","ADI9740060","Road","61",,
"Not Applicable","2020","Q2","MSP7189000H","Road","0",,
"Not Applicable","2020","Q2","ZV1288000D","Road","0",,
"Not Applicable","2020","Q2","AE62410019","Road","0",,
"Not Applicable","2020","Q2","DA3956005Q","Road","0",,
"Not Applicable","2020","Q2","MCP3066001M","Road","0",,
"Not Applicable","2020","Q2","CTX318001M","Road","0",,
"Not Applicable","2020","Q2","MTA0386000M","Road","0",,
"Not Applicable","2020","Q2","ADH909004W","Road","0",,
"Not Applicable","2020","Q2","CA7743000S","Road","0",,
"Not Applicable","2020","Q2","MCP2969008Z","Road","0",,
"Wet","2020","Q2","BD0213002Q","Road","61",,
"Not Applicable","2020","Q2","MSP482800NZ","Road","0",,
"Not Applicable","2020","Q2","MCP30240020","Road","0",,
"Not Applicable","2020","Q2","MDTA1164002P","Road","0",,
"Not Applicable","2020","Q2","AE404500VD","Road","0",,
"Not Applicable","2020","Q2","AE59070065","Road","0",,
"Not Applicable","2020","Q2","ADK266001D","Road","0",,
"Not Applicable","2020","Q2","AE5922003N","Road","0",,
"Not Applicable","2020","Q2","AB451800XM","Road","0",,
"Not Applicable","2020","Q2","AE5922003M","Road","0",,
"Not Applicable","2020","Q2","ZJ0569000R","Road","0",,
"Not Applicable","2020","Q2","ZJ025100G4","Road","0",,
"Not Applicable","2020","Q2","AC2128003N","Road","0",,
"Not Applicable","2020","Q2","DA4188003P","Road","0",,
"Not Applicable","2020","Q2","AE6072000R","Road","0",,
"Not Applicable","2020","Q2","DA4208001F","Road","0",,
"Not Applicable","2020","Q2","DJ0105003G","Road","0",,
"Not Applicable","2020","Q2","MSP516300JR","Road","0",,
"Wet","2020","Q2","ZD7092000J","Road","61",,
"Not Applicable","2020","Q2","AE6134003Z","Road","0",,
"Not Applicable","2020","Q2","MSP7217000P","Road","0",,
"Not Applicable","2020","Q2","DA4188003F","Road","0",,
"Wet","2020","Q2","AC1938006M","Road","61",,
"Not Applicable","2020","Q2","MSP6576002G","Road","0",,
"Not Applicable","2020","Q2","AE5408008N","Road","0",,
"Not Applicable","2020","Q2","BK02640038","Road","0",,
"Not Applicable","2020","Q2","ADG3540007","Road","0",,
"Not Applicable","2020","Q2","MCP3130002K","Road","0",,
"Wet","2020","Q2","MSP516300JZ","Road","61",,
"Not Applicable","2020","Q2","AC22000081","Road","0",,
"Wet","2020","Q2","MSP70410025","Road","61",,
"Wet","2020","Q2","ADJ768006C","Road","61",,
"Not Applicable","2020","Q2","AE6002001G","Road","0",,
"Wet","2020","Q2","MSP582000NR","Road","61",,
"Not Applicable","2020","Q2","AE59310022","Road","0",,
"Not Applicable","2020","Q2","MCP2737004F","Road","0",,
"Not Applicable","2020","Q2","MCP30990028","Road","0",,
"Wet","2020","Q2","MSP30530072","Road","61",,
"Wet","2020","Q2","MCP3221000W","Road","61",,
"Not Applicable","2020","Q2","AE478700F7","Road","0",,
"Wet","2020","Q2","AZ17150005","Road","61",,
"Not Applicable","2020","Q2","AE440100NJ","Road","0",,
"Not Applicable","2020","Q2","MCP3077001L","Road","0",,
"Not Applicable","2020","Q2","AE5901008Y","Road","0",,
"Not Applicable","2020","Q2","ADJ768005Y","Road","0",,
"Not Applicable","2020","Q2","CNC3160003V","Road","0",,
"Not Applicable","2020","Q2","AC2407000F","Road","0",,
"Not Applicable","2020","Q2","MSP7204000V","Road","0",,
"Not Applicable","2020","Q2","ZJ044100Q2","Road","0",,
"Not Applicable","2020","Q2","ZD6072005D","Road","0",,
"Not Applicable","2020","Q2","DGSP02430001","Road","0",,
"Not Applicable","2020","Q2","ADI926003N","Road","0",,
"Not Applicable","2020","Q2","DA3308001R","Road","0",,
"Not Applicable","2020","Q2","EK58190009","Road","0",,
"Not Applicable","2020","Q2","AE6027004F","Road","0",,
"Not Applicable","2020","Q2","AC2264003P","Road","0",,
"Wet","2020","Q2","AE5917006S","Road","61",,
"Not Applicable","2020","Q2","DA4193002Y","Road","0",,
"Not Applicable","2020","Q2","DA3936006Y","Road","0",,
"Not Applicable","2020","Q2","MSP7124005S","Road","0",,
"Not Applicable","2020","Q2","ADK253000J","Road","0",,
"Not Applicable","2020","Q2","ZD5671001Q","Road","0",,
"Wet","2020","Q2","DD5643000Q","Road","61",,
"Not Applicable","2020","Q2","ZJ05700003","Road","0",,
"Wet","2020","Q2","DA21600019","Road","61",,
"Not Applicable","2020","Q2","MSP7207001C","Road","0",,
"Not Applicable","2020","Q2","MCP3222000T","Road","0",,
"Not Applicable","2020","Q2","DE51630034","Road","0",,
"Not Applicable","2020","Q2","AE581500BP","Road","0",,
"Not Applicable","2020","Q2","MSP7114000V","Road","0",,
"Not Applicable","2020","Q2","DA3834005J","Road","0",,
"Not Applicable","2020","Q2","ADK321000H","Road","0",,
