"dog_name","breed","age","gender","color"
"FINN","MALTESE",,"Male","WHITE"
"OLLIE","COCKAPOO",,"Male Neutered","BLACK  AND WHITE"
"TUCKER","RETRIEVER  MIX",,"Male Neutered","BLACK  AND WHITE"
"TUUKKA","TIBETAN SPANIEL",,"Male Neutered","SABLE"
"ROSE","AMERICAN BULLDOG",,"Female","BLACK AND TAN"
"ALPO","AMERICAN BULLDOG",,"Male","BROWN"
"MELO","PIT BULL TERRIER",,"Male","BROWN"
"LEIA","MIX",,"Female Spayed","BLACK"
"DOLLY","LABRADOR RETRIEVER",,"Female Spayed","YELLOW"
"HUDSON","LABRADOODLE MIX",,"Male Neutered","GINGER"
"WILLOW","STAFFORDSHIRE TERRIER",,"Female","GRAY"
"MOOSE","LABRADOODLE MIX",,"Male Neutered","BLACK"
"DAISY","HAVANESE",,"Female Spayed","BLACK  AND WHITE"
"ASHLEY","LABRADOR RETRIEVER  MIX",,"Female Spayed","BLACK AND TAN"
"BAILEY","LABRADOR RETRIEVER  MIX",,"Female Spayed","BLACK"
"PHILLY","SHELTIE",,"Male","WHITE AND BROWN"
"LOKI","WEIMARANER",,"Male","GRAY"
"CLYDE","BLOODHOUND",,"Male Neutered","RED"
"RUBY","LABRADOR RETRIEVER  MIX",,"Female Spayed","BROWN AND BLACK"
"PACO","TERRIER MIX",,"Male Neutered","BLACK  AND WHITE"
"FRANKIE","LABRADOR RETRIEVER  MIX",,"Male Neutered","YELLOW"
"TILLY","PORTUGESE WATER DOG",,"Female Spayed","BLACK"
"MAPLE","BASENJI MIX",,"Female Spayed","BROWN AND MERLE"
"LOUSHY","BULL DOG",,"Female","(NOT GIVEN)"
"SHELBY","MIX",,"Female Spayed","GRAY"
"ZAIRA","TERRIER MIX",,"Female Spayed","BLACK  AND WHITE"
"coco",,,"Male Neutered",
"IVY","LABRADOR RETRIEVER",,"Female Spayed","BLACK"
"BRUNO","LABRADOR RETRIEVER",,"Male","YELLOW"
"ROSCOE","LABRADOR RETRIEVER",,"Male","BLONDE"
"HAZEL GRACE","YORKSHIRE TERRIER",,"Female Spayed","TAN"
"LADY","SHIH TZU MIX",,"Female Spayed","WHITE"
"VITO","MINIATURE PINSCHER",,"Male","BLACK"
"BUDDY","LABRADOR RETRIEVER",,"Male Neutered","BLACK"
"BROWNIE","POMERANIAN",,"Female","TAN"
"LUKE","SHIH TZU",,"Male","WHITE AND GRAY"
"TERRY","YORKSHIRE TERRIER",,"Male","BLACK AND TAN"
"JEWEL","MALTESE",,"Female Spayed","WHITE"
"KAYA","MIX",,"Female","OTHER"
"CHICO","CHIHUAHUA MIX",,"Male Neutered","BLACK"
"MOLLY","POODLE MIX",,"Female Spayed","BEIGE"
"MIA","LABRADOR RETRIEVER  MIX",,"Female Spayed","BLACK  AND WHITE"
"ZUMA","JACK RUSSELL TERRIER MIX",,"Male","WHITE AND TAN"
"MINI","MALTESE",,"Female","WHITE AND TAN"
"JAX","GERMAN SHEPHERD",,"Male","BROWN AND BLACK"
"RICKY","POODLE MIX",,"Male","GRAY"
"BECCA","MIX",,"Female Spayed","WHITE AND BLACK"
"HENRY","CHIHUAHUA SHORT HAIR",,"Male Neutered","BROWN"
"SKYLER MACCHIA","SAMOYED",,"Female Spayed","WHITE"
"LILY LU","MIX",,"Female Spayed","BRINDLE"
"MAX","YORKSHIRE TERRIER",,"Male","BLACK AND  BROWN"
"DASH","BOXER",,"Male","FAWN"
"MILO","POMERANIAN MIX",,"Male","BLACK  AND WHITE"
"LOUIE","BOXER MIX",,"Male Neutered","BLACK"
"HARLEY","LABRADOR RETRIEVER",,"Male","WHITE"
"WAYLEN","LABRADOR RETRIEVER",,"Male","WHITE"
"BO","LABRADOR RETRIEVER",,"Male Neutered","BROWN"
"BELLA","SHIH TZU",,"Female Spayed","BROWN"
"HAZEL","MIX",,"Female Spayed","WHITE AND GRAY"
"FANNY MAE","TOY POODLE",,"Female","APRICOT"
"BELLA","GREYHOUND",,"Female Spayed","BLACK  AND WHITE"
"FONZI","POODLE MIX",,"Male Neutered","BLACK AND  BROWN"
"BIGGIE SMALLS","LABRADOR RETRIEVER  MIX",,"Male Neutered","BLACK  AND WHITE"
"HENNESSY","STAFFORDSHIRE TERRIER",,"Female","BLACK"
"BONNIE","WEST HIGHLAND TERRIER",,"Female Spayed","WHITE"
"SISSY","DACHSHUND",,"Female Spayed","BLACK AND  BROWN"
"SAWYER","LABRADOR RETRIEVER",,"Female","BLACK"
"BETSIE","MIX",,"Female Spayed","TRI COLOR"
"SCOUT","HUSKY MIX",,"Male Neutered","BLACK AND TAN"
"FINN","MIX",,"Male Neutered","BROWN AND WHITE"
