"census_year","county_fips_code","economic_development_region","workforce_development_area","county_name","county_code","age_range","gender","total_population","no_high_school_diploma","high_school_diploma_or","some_college_no_degree","associate_s_degree","bachelor_s_degree","graduate_or_professional","total_post_secondary","geocoded_column"
"2014-01-01T00:00:00.000","42027","Northwest","Central WDA","Centre","14","35 to 44 Years","Male","8688","543","2471","1243","682","1945","1804","4431","(40.9193135008, -77.8250011212)"
"2014-01-01T00:00:00.000","42087","Central","Central WDA","Mifflin","44","25 to 34 Years","Male","2495","528","1136","235","228","290","78","596","(40.6127492804, -77.6200308901)"
"2016-01-01T00:00:00.000","42031","Northwest","Northwest WDA","Clarion","16","35 to 44 Years","Female","2108","132","678","362","236","473","227","936","(41.1927912877, -79.4248360769)"
"2010-01-01T00:00:00.000","42043","Central","South Central WDA","Dauphin","22","35 to 44 Years","Female","18381","1330","6118","3371","2050","3501","2011","7562","(40.4197463597, -76.7796056802)"
"2014-01-01T00:00:00.000","42003","Southwest","Three Rivers WDA","Allegheny","02","25 to 34 Years","Male","86973","3586","17547","16451","8041","27796","13552","49389","(40.4673554298, -79.9861984282)"
"2011-01-01T00:00:00.000","42063","Southwest","Tri-County WDA","Indiana","32","25 to 34 Years","Male","4659","651","1512","855","433","860","348","1641","(40.6529549748, -79.0933349286)"
"2011-01-01T00:00:00.000","42079","Northeast","Luzerne-Schuylkill Counties WDA","Luzerne","40","25 to 34 Years","Male","17971","2111","6382","3837","1602","3424","615","5641","(41.1783643884, -75.991996098)"
"2011-01-01T00:00:00.000","42049","Northwest","Northwest WDA","Erie","25","25 to 34 Years","Male","16506","1339","6840","2997","1174","3115","1041","5330","(41.9941378702, -80.0407591036)"
"2013-01-01T00:00:00.000","42077","Lehigh Valley","Lehigh Valley WDA","Lehigh","39","45 to 64 Years","Male","47129","5242","16265","7431","4207","7816","6168","18191","(40.6146479416, -75.6009948118)"
"2014-01-01T00:00:00.000","42073","Northwest","West Central WDA","Lawrence","37","45 to 64 Years","Female","13588","801","6859","2011","1508","1553","856","3917","(40.9932503514, -80.3375411446)"
"2011-01-01T00:00:00.000","42039","Northwest","Northwest WDA","Crawford","20","25 to 34 Years","Female","4731","626","1457","1003","417","865","363","1645","(41.6854690692, -80.1132108295)"
"2013-01-01T00:00:00.000","42065","Northwest","North Central WDA","Jefferson","33","45 to 64 Years","Female","6557","558","3546","943","626","558","326","1510","(41.1313909115, -79.0010181419)"
"2012-01-01T00:00:00.000","42083","Northwest","North Central WDA","McKean","42","45 to 64 Years","Male","6317","481","3248","978","449","749","412","1610","(41.810370736, -78.5712201998)"
"2016-01-01T00:00:00.000","42067","Central","South Central WDA","Juniata","34","35 to 44 Years","Male","1450","345","747","156","54","112","36","202","(40.5343300836, -77.405775001)"
