"county","state_fips_code","county_fips_code","year","delinquency_dispositions","delinquent_juveniles","dispositions_per_juvenile","percentage_of_statewide","age_10_17_population","dispositions_as_a_percentage","longitude","latitude","geocoded_column"
"ADAMS","42","001","2018","200","157","0.0127","0.009","9923","0.02","-77.22224270760","39.87209565030","POINT (-77.2222427076 39.8720956503)"
"ERIE","42","049","2018","585","512","0.0114","0.027","27424","0.021","-80.04075910360","41.99413787020","POINT (-80.0407591036 41.9941378702)"
"CUMBERLAND","42","041","2018","407","362","0.0112","0.018","23272","0.017","-77.26866270500","40.16759838800","POINT (-77.268662705 40.167598388)"
"SOMERSET","42","111","2018","86","75","0.0115","0.004","6487","0.013","-79.03100206110","39.97146299010","POINT (-79.0310020611 39.9714629901)"
"YORK","42","133","2018","1387","1059","0.0131","0.063","46139","0.03","-76.72576052310","39.92192531240","POINT (-76.7257605231 39.9219253124)"
"SCHUYLKILL","42","107","2018","232","204","0.0114","0.011","13487","0.017","-76.22332385100","40.70751243100","POINT (-76.223323851 40.707512431000005)"
"CARBON","42","025","2018","112","107","0.0105","0.005","5979","0.019","-75.71107038660","40.91936700810","POINT (-75.7110703866 40.9193670081)"
"CENTRE","42","027","2018","102","84","0.0121","0.005","11390","0.009","-77.82500112120","40.91931350080","POINT (-77.8250011212 40.9193135008)"
"CAMERON","42","023","2018","8","7","0.0114","0.0","364","0.022","-78.20916932410","41.43880265310","POINT (-78.2091693241 41.4388026531)"
"WARREN","42","123","2018","77","67","0.0115","0.003","3639","0.021","-79.27858157800","41.81675236520","POINT (-79.278581578 41.8167523652)"
"DAUPHIN","42","043","2018","819","657","0.0125","0.037","27615","0.03","-76.77960568020","40.41974635970","POINT (-76.7796056802 40.4197463597)"
"WAYNE","42","127","2018","49","39","0.0126","0.002","4243","0.012","-75.30515350220","41.64969805250","POINT (-75.3051535022 41.6496980525)"
"ELK","42","047","2018","52","43","0.0121","0.002","2830","0.018","-78.64947713220","41.42819416060","POINT (-78.6494771322 41.4281941606)"
"LACKAWANNA","42","069","2018","367","321","0.0114","0.017","19937","0.018","-75.61218345240","41.43910064280","POINT (-75.6121834524 41.4391006428)"
"HUNTINGDON","42","061","2018","79","70","0.0113","0.004","4015","0.02","-77.98276610360","40.41610500320","POINT (-77.9827661036 40.4161050032)"
"BERKS","42","011","2018","620","562","0.011","0.028","44151","0.014","-75.93077327050","40.41939635130","POINT (-75.93077327050001 40.4193963513)"
"LEBANON","42","075","2018","216","190","0.0114","0.01","14737","0.015","-76.46182574860","40.36759700240","POINT (-76.4618257486 40.3675970024)"
"LAWRENCE","42","073","2018","158","127","0.0124","0.007","8129","0.019","-80.33754114460","40.99325035140","POINT (-80.3375411446 40.9932503514)"
"JEFFERSON","42","065","2018","82","78","0.0105","0.004","4234","0.019","-79.00101814190","41.13139091150","POINT (-79.0010181419 41.1313909115)"
"SNYDER","42","109","2018","81","75","0.0108","0.004","4146","0.02","-77.07255968040","40.77113736920","POINT (-77.0725596804 40.7711373692)"
"JUNIATA","42","067","2018","30","27","0.0111","0.001","2645","0.011","-77.40577500100","40.53433008360","POINT (-77.405775001 40.5343300836)"
"DELAWARE","42","045","2018","1231","1009","0.0122","0.056","56689","0.022","-75.40627712120","39.91657866520","POINT (-75.40627712120002 39.9165786652)"
"NORTHAMPTON","42","095","2018","686","614","0.0112","0.031","29813","0.023","-75.31263725760","40.75459540400","POINT (-75.3126372576 40.754595404)"
"CHESTER","42","029","2018","641","536","0.012","0.029","57462","0.011","-75.75626498180","39.97487055660","POINT (-75.7562649818 39.9748705566)"
"MIFFLIN","42","087","2018","83","74","0.0112","0.004","4726","0.018","-77.62003089010","40.61274928040","POINT (-77.6200308901 40.6127492804)"
"GREENE","42","059","2018","25","23","0.0109","0.001","3257","0.008","-80.22943816550","39.85480393420","POINT (-80.2294381655 39.8548039342)"
"LUZERNE","42","079","2018","530","403","0.0132","0.024","29201","0.018","-75.99199609800","41.17836438840","POINT (-75.991996098 41.178364388400006)"
"CAMBRIA","42","021","2018","260","223","0.0117","0.012","12125","0.021","-78.71894173850","40.49127490670","POINT (-78.7189417385 40.4912749067)"
"CLINTON","42","035","2018","105","77","0.0136","0.005","3627","0.029","-77.64283760460","41.23286273740","POINT (-77.6428376046 41.2328627374)"
"MONROE","42","089","2018","240","224","0.0107","0.011","17181","0.014","-75.34083603020","41.06091786530","POINT (-75.3408360302 41.0609178653)"
"NORTHUMBERLAND","42","097","2018","193","165","0.0117","0.009","8447","0.023","-76.71188422730","40.85150925720","POINT (-76.7118842273 40.8515092572)"
"BEDFORD","42","009","2018","35","32","0.0109","0.002","4623","0.008","-78.49116473810","40.00737536430","POINT (-78.4911647381 40.0073753643)"
"VENANGO","42","121","2018","120","105","0.0114","0.005","4825","0.025","-79.76286561040","41.40341258630","POINT (-79.7628656104 41.4034125863)"
"WYOMING","42","131","2018","33","32","0.0103","0.001","2633","0.013","-76.01813003380","41.51892488030","POINT (-76.0181300338 41.5189248803)"
"LANCASTER","42","071","2018","804","695","0.0116","0.037","57501","0.014","-76.25138768380","40.04590796190","POINT (-76.2513876838 40.0459079619)"
"TIOGA","42","117","2018","90","65","0.0138","0.004","3711","0.024","-77.25788075790","41.77333833580","POINT (-77.2578807579 41.7733383358)"
"ARMSTRONG","42","005","2018","79","74","0.0107","0.004","5932","0.013","-79.47316898930","40.81509525550","POINT (-79.4731689893 40.8150952555)"
"SUSQUEHANNA","42","115","2018","74","60","0.0123","0.003","3737","0.02","-75.80250302960","41.82056859820","POINT (-75.8025030296 41.8205685982)"
"LYCOMING","42","081","2018","328","259","0.0127","0.015","10725","0.031","-77.06942456800","41.34459792260","POINT (-77.069424568 41.3445979226)"
"STATEWIDE TOTAL","42","000","2018","22023","18492","0.0119","1.0","1226713","0.018","-75.16775600000","39.34612900000","POINT (-75.167756 39.346129)"
"FAYETTE","42","051","2018","334","265","0.0126","0.015","11837","0.028","-79.65189634640","39.91944780300","POINT (-79.6518963464 39.919447803)"
"PERRY","42","099","2018","76","73","0.0104","0.003","4566","0.017","-77.25907384960","40.40415317440","POINT (-77.2590738496 40.4041531744)"
"CLARION","42","031","2018","71","52","0.0137","0.003","3270","0.022","-79.42483607690","41.19279128770","POINT (-79.4248360769 41.1927912877)"
"SULLIVAN","42","113","2018","4","4","0.01","0.0","327","0.012","-76.51479220460","41.44809939580","POINT (-76.5147922046 41.4480993958)"
"UNION","42","119","2018","44","38","0.0116","0.002","3885","0.011","-77.06415803080","40.96473130960","POINT (-77.0641580308 40.9647313096)"
"PHILADELPHIA","42","101","2018","2523","2094","0.012","0.115","141595","0.018","-75.14023600200","40.00444353840","POINT (-75.140236002 40.0044435384)"
"CRAWFORD","42","039","2018","149","122","0.0122","0.007","8571","0.017","-80.11321082950","41.68546906920","POINT (-80.1132108295 41.6854690692)"
"FULTON","42","057","2018","26","22","0.0118","0.001","1390","0.019","-78.11485045350","39.92487510860","POINT (-78.1148504535 39.9248751086)"
"CLEARFIELD","42","033","2018","33","33","0.01","0.001","7004","0.005","-78.47558342990","41.00042900240","POINT (-78.4755834299 41.0004290024)"
