"county_code","county","gender","pre_kindergarten_half_day","pre_kindergarten_full_day","k4_half_day","k4_full_day","k5_half_day","k5_full_day","_1st_grade","_2nd_grade","_3rd_grade","_4th_grade","_5th_grade","_6th_grade","_7th_grade","_8th_grade","_9th_grade","_10th_grade","_11th_grade","_12th_grade","total"
"01","Adams","Female","0","0","0","0","0","1","2","1","4","0","4","2","5","5","3","1","2","5","35"
"01","Adams","Male","0","0","0","0","0","3","6","1","5","9","9","8","7","5","7","5","7","6","78"
"02","Allegheny","Female","0","0","0","0","0","10","9","21","17","19","22","23","33","36","35","41","42","79","387"
"02","Allegheny","Male","0","0","0","0","0","26","28","43","45","64","50","70","90","94","75","73","73","150","881"
"03","Armstrong","Female","0","0","0","0","0","2","0","1","0","3","2","2","2","3","0","4","2","3","24"
"03","Armstrong","Male","0","0","0","0","0","1","0","4","2","3","3","2","5","5","5","5","2","9","46"
"04","Beaver","Female","0","0","0","0","0","5","3","3","2","6","6","7","4","7","7","6","8","30","94"
"04","Beaver","Male","0","0","0","0","0","6","8","13","9","15","10","10","15","16","14","19","17","36","188"
"05","Bedford","Female","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"05","Bedford","Male","0","0","0","0","0","0","1","1","0","2","1","0","0","1","2","0","0","2","10"
"06","Berks","Female","0","0","0","0","0","0","2","3","7","2","7","10","11","17","17","20","18","36","150"
"06","Berks","Male","0","0","0","0","0","7","12","30","23","33","21","32","37","54","42","53","45","82","471"
"07","Blair","Female","1","0","0","0","0","0","0","0","1","1","1","2","0","1","1","1","3","4","16"
"07","Blair","Male","1","0","0","0","0","0","1","2","1","3","2","2","4","3","3","7","0","4","33"
"08","Bradford","Female","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","2","2","0","8"
"08","Bradford","Male","0","0","0","0","0","4","2","3","2","4","2","4","3","6","6","9","1","3","49"
"09","Bucks","Female","0","0","0","0","0","1","3","4","6","6","11","8","12","9","8","13","13","38","132"
"09","Bucks","Male","0","0","0","0","0","3","6","9","13","16","24","22","32","31","30","39","35","77","337"
"10","Butler","Female","0","0","0","0","0","2","1","5","4","4","1","3","2","2","3","2","8","7","44"
"10","Butler","Male","0","0","0","0","0","4","7","5","12","6","14","7","13","14","10","12","8","19","131"
"11","Cambria","Female","0","0","0","0","0","0","1","0","1","0","2","2","2","4","2","2","5","9","30"
"11","Cambria","Male","0","0","0","0","0","0","0","4","2","4","2","6","5","4","3","4","5","14","53"
"12","Cameron","Female","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","2"
