"county_code","county","gender","pre_kindergarten_half_day","pre_kindergarten_full_day","k4_half_day","k4_full_day","k5_half_day","k5_full_day","_1st_grade","_2nd_grade","_3rd_grade","_4th_grade","_5th_grade","_6th_grade","_7th_grade","_8th_grade","_9th_grade","_10th_grade","_11th_grade","_12th_grade","total"
"01","Adams","Female","0","0","0","0","1","486","485","499","480","543","579","517","505","566","515","522","536","543","6777"
"01","Adams","Male","0","0","0","4","2","501","510","567","527","541","553","581","538","594","566","530","562","557","7133"
"02","Allegheny","Female","52","157","0","6","1196","3854","5425","5336","5316","5520","5456","5432","5257","5443","5743","5461","5503","5453","70610"
"02","Allegheny","Male","42","160","0","10","1360","4341","5591","5604","5674","5880","5830","5681","5627","5792","5807","5708","5551","5688","74346"
"03","Armstrong","Female","0","0","0","0","0","299","336","346","319","346","348","373","309","334","352","342","357","347","4408"
"03","Armstrong","Male","0","0","0","0","0","359","339","341","333","351","381","363","378","386","401","375","394","413","4814"
"04","Beaver","Female","7","52","0","40","83","798","938","975","971","1015","1059","1084","1294","1343","1689","1594","1642","1571","16155"
"04","Beaver","Male","13","47","0","33","89","855","996","1019","1023","1082","1115","1184","1215","1274","1520","1446","1431","1424","15766"
"05","Bedford","Female","19","26","17","0","1","235","190","221","233","229","220","246","252","264","245","257","234","299","3188"
"05","Bedford","Male","21","29","17","1","0","193","238","227","227","245","275","271","236","252","268","280","283","273","3336"
"06","Berks","Female","0","0","242","4","308","1975","2379","2379","2564","2426","2565","2606","2672","2644","2608","2733","2439","2576","33120"
"06","Berks","Male","0","0","228","3","327","2082","2479","2491","2602","2859","2738","2743","2698","2772","2819","2894","2449","2775","34959"
"07","Blair","Female","39","13","0","1","1","591","647","615","646","657","619","659","666","663","651","681","607","659","8415"
"07","Blair","Male","43","22","0","1","2","610","653","664","688","701","696","697","720","700","767","741","708","637","9050"
"08","Bradford","Female","13","0","0","18","0","350","324","334","316","340","374","343","374","349","341","343","326","336","4481"
"08","Bradford","Male","17","0","0","22","0","356","348","293","375","368","402","356","365","368","355","354","349","354","4682"
"09","Bucks","Female","0","0","0","2","971","1539","2957","2975","3188","3187","3390","3319","3431","3414","3498","3305","3439","3446","42061"
"09","Bucks","Male","0","0","0","4","1009","1672","3131","3234","3233","3535","3507","3539","3460","3799","3655","3632","3760","3788","44958"
"10","Butler","Female","0","0","0","0","635","113","769","807","847","927","880","916","904","940","985","995","960","962","11640"
"10","Butler","Male","0","0","0","1","732","111","885","828","894","937","924","969","948","1029","982","960","1029","1069","12298"
"11","Cambria","Female","58","46","31","35","0","557","553","611","576","621","632","603","683","624","589","640","627","654","8140"
"11","Cambria","Male","49","43","30","29","3","601","632","555","603","642","660","628","608","683","706","671","639","696","8478"
"12","Cameron","Female","0","0","0","0","0","18","21","10","22","19","24","18","12","21","21","12","28","27","253"
"12","Cameron","Male","0","0","0","0","0","34","17","22","25","26","19","19","17","23","18","27","21","30","298"
"13","Carbon","Female","10","0","0","0","40","253","291","302","320","380","329","328","366","332","351","326","320","306","4254"
"13","Carbon","Male","12","0","0","1","46","254","317","307","318","355","372","344","371","358","405","359","348","372","4539"
"14","Centre","Female","0","0","0","16","1","488","443","498","478","465","526","473","499","542","534","506","526","511","6506"
"14","Centre","Male","0","0","0","14","0","534","483","482","481","491","540","524","532","513","522","489","533","553","6691"
"15","Chester","Female","0","0","0","2","840","1680","2726","2679","2913","2974","3036","3151","3185","3290","3407","3252","3247","3224","39606"
"15","Chester","Male","0","0","0","2","948","1860","2906","2952","3115","3111","3161","3312","3217","3509","3447","3265","3259","3140","41204"
"16","Clarion","Female","8","18","0","0","0","214","203","186","230","210","209","207","199","243","228","193","206","195","2749"
"16","Clarion","Male","19","22","0","0","1","204","219","221","191","239","209","252","189","225","226","191","235","215","2858"
"17","Clearfield","Female","0","0","0","1","0","406","375","368","408","464","415","443","457","483","419","413","404","482","5538"
"17","Clearfield","Male","0","0","0","0","1","409","415","458","459","474","491","453","456","459","457","449","439","461","5881"
"18","Clinton","Female","0","23","0","0","0","173","138","153","165","183","159","172","161","183","192","163","180","169","2214"
"18","Clinton","Male","0","28","0","0","0","147","171","183","161","170","182","200","183","162","179","160","168","180","2274"
"19","Columbia","Female","0","18","0","0","0","293","339","334","312","361","347","379","342","379","412","384","372","407","4679"
"19","Columbia","Male","0","14","0","1","2","326","349","330","356","355","376","374","364","382","425","431","388","401","4874"
"20","Crawford","Female","0","0","0","0","0","283","248","277","300","302","340","312","317","320","330","330","340","386","4085"
