"county_code","county","gender","pre_kindergarten_half_day","pre_kindergarten_full_day","k4_half_day","k4_full_day","k5_half_day","k5_full_day","_1st_grade","_2nd_grade","_3rd_grade","_4th_grade","_5th_grade","_6th_grade","_7th_grade","_8th_grade","_9th_grade","_10th_grade","_11th_grade","_12th_grade","total"
"01","Adams","Female","0","0","0","0","0","1","2","3","0","4","3","7","5","1","4","3","2","5","40"
"01","Adams","Male","0","0","0","0","0","4","2","5","7","9","8","4","3","4","9","6","5","7","73"
"02","Allegheny","Female","0","0","0","0","0","9","15","16","18","17","20","24","30","26","34","41","29","76","355"
"02","Allegheny","Male","0","0","0","0","0","22","32","36","48","47","57","76","94","74","70","83","59","145","843"
"03","Armstrong","Female","0","0","0","0","0","0","0","0","1","3","1","3","1","2","2","1","4","1","19"
"03","Armstrong","Male","0","0","0","0","0","0","1","0","2","4","5","7","3","6","6","2","4","3","43"
"04","Beaver","Female","0","0","0","0","0","3","3","0","6","2","6","3","9","5","6","7","6","23","79"
"04","Beaver","Male","0","0","0","0","0","9","10","7","13","7","10","13","11","14","12","20","13","37","176"
"05","Bedford","Female","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05","Bedford","Male","0","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0","2","1","9"
"06","Berks","Female","0","0","0","0","0","0","3","3","3","5","8","7","9","13","16","17","13","30","127"
"06","Berks","Male","0","0","0","0","0","0","16","13","18","20","27","25","41","49","45","43","44","60","401"
"07","Blair","Female","0","0","0","0","0","0","0","1","0","1","1","1","0","1","0","0","2","3","10"
"07","Blair","Male","1","0","0","0","0","0","1","0","1","0","1","2","3","2","5","1","1","3","21"
"08","Bradford","Female","0","0","0","0","0","1","0","0","0","2","0","1","1","1","1","1","1","2","11"
"08","Bradford","Male","0","0","0","0","0","1","3","2","4","1","6","2","5","3","7","5","6","3","48"
"09","Bucks","Female","0","0","0","0","0","3","4","4","5","12","9","5","6","8","13","20","18","45","152"
"09","Bucks","Male","0","0","0","0","0","6","11","16","10","17","18","28","32","24","31","25","37","65","320"
"10","Butler","Female","0","0","0","0","0","0","4","4","2","2","1","2","1","5","3","7","4","7","42"
"10","Butler","Male","0","0","0","0","0","5","4","8","5","12","7","12","10","8","11","13","9","16","120"
"11","Cambria","Female","0","0","0","0","0","1","0","0","0","2","4","0","2","0","1","3","2","9","24"
"11","Cambria","Male","0","0","0","0","0","0","1","1","1","2","5","3","6","4","4","4","4","13","48"
"12","Cameron","Female","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"12","Cameron","Male","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","1","5"
"13","Carbon","Female","0","0","0","0","0","1","1","0","0","0","1","0","2","4","0","5","3","2","19"
"13","Carbon","Male","0","0","0","0","0","3","2","3","10","3","3","3","3","3","7","3","7","13","63"
"14","Centre","Female","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","2","0","1","7"
"14","Centre","Male","0","0","0","0","0","0","0","0","2","2","1","1","0","0","1","0","4","2","13"
"15","Chester","Female","0","0","0","0","0","3","5","10","5","14","11","7","7","12","14","16","15","37","156"
"15","Chester","Male","0","0","0","0","0","1","15","12","16","22","25","30","35","50","38","38","40","114","436"
"16","Clarion","Female","0","0","0","0","0","0","0","2","3","2","0","0","2","3","4","1","1","3","21"
"16","Clarion","Male","0","0","0","0","0","1","6","3","3","5","3","2","3","5","5","4","3","3","46"
"17","Clearfield","Female","0","0","0","0","0","0","1","0","1","1","0","1","1","2","1","1","1","3","13"
"17","Clearfield","Male","0","0","0","0","0","0","1","0","1","3","3","4","4","6","5","6","9","9","51"
