"county","age","count"
"Adams","0-9","0.0"
"Adams","10-19","0.0"
"Adams","20-29",
"Greene","60-69","15"
"Luzerne","90-99","289"
"Juniata","40-49","5"
"Lycoming","40-49","12"
"Juniata","90-99","33"
"Beaver","80-89","232"
"Allegheny","10-19","0.0"
"Lehigh","40-49","40"
"Venango","30-39",
"Clearfield","70-79","90"
"Susquehanna","90-99","19"
"Allegheny","0-9",
"Washington","60-69","129"
"Snyder","90-99","27"
"Montour","90-99","23"
"Lancaster","40-49","42"
"Armstrong","0-9","0.0"
"Armstrong","10-19","0.0"
"Armstrong","20-29",
"Forest","50-59","5"
"Clarion","20-29",
"Jefferson","70-79","67"
"Clinton","90-99","18"
"Crawford","60-69","59"
"Allegheny","40-49","91"
"Armstrong","100+","0.0"
"Beaver","0-9","0.0"
"Blair","60-69","119"
"Beaver","20-29",
"Lycoming","60-69","75"
"Lackawanna","80-89","249"
"Delaware","100+","31"
"Beaver","100+",
"Bedford","0-9","0.0"
"Bedford","10-19","0.0"
"Bedford","20-29",
"Bedford","30-39",
"Clinton","50-59","17"
"Bucks","70-79","449"
"Montour","60-69","8"
"Lackawanna","30-39","9"
"Bedford","100+",
"Berks","0-9","0.0"
"Berks","10-19",
"Berks","20-29",
"Blair","90-99","89"
"Blair","20-29","6"
"Mercer","70-79","143"
"Berks","100+","13.0"
"Blair","10-19","0.0"
"Blair","30-39",
"Delaware","70-79","462"
"Jefferson","40-49","8"
"Berks","70-79","417"
"Bedford","80-89","73"
"Sullivan","60-69","5"
"Blair","100+",
"Bradford","0-9","0.0"
"Bradford","10-19","0.0"
"Bradford","20-29",
"Bradford","30-39",
"Lancaster","100+","25"
"Schuylkill","90-99","136"
"Bucks","40-49","47"
"Montgomery","100+","45"
"Bradford","100+","0.0"
"Cambria","80-89","231"
"Bucks","10-19",
"Elk","90-99","16"
"Adams","60-69","56"
"Greene","50-59","13"
"Butler","0-9","0.0"
"Tioga","80-89","60"
"Pike","60-69","15"
"Beaver","40-49","19"
"Lehigh","50-59","84"
"Warren","60-69","44"
"Butler","10-19",
"Butler","20-29","0.0"
"Butler","30-39",
"Elk","70-79","28"
"Washington","90-99","109"
