"county","sex","count"
"Schuylkill","Male","367"
"Susquehanna","Male","64"
"Forest","Male","21"
"Pike","Female","54"
"Clarion","Male","109"
"Montour","Female","54"
"Dauphin","Female","469"
"Monroe","Female","264"
"Montour","Male","40"
"Clearfield","Male","191"
"Erie","Female","386"
"Wyoming","Female","51"
"Somerset","Male","213"
"Centre","Female","180"
"Elk","Female","49"
"Somerset","Female","206"
"Allegheny","Male","1714"
"Adams","Male","216"
"Sullivan","Female","11"
"Delaware","Male","986"
"Cambria","Female","388"
"Wayne","Female","80"
"Warren","Female","96"
"Lawrence","Male","218"
"Carbon","Male","167"
"Fulton","Male","33"
"Blair","Female","295"
"Luzerne","Male","754"
"Bucks","Male","1060"
"Jefferson","Male","133"
"Venango","Female","115"
"Clinton","Male","75"
"Lackawanna","Female","422"
"Mercer","Female","240"
"Northampton","Female","574"
"Lancaster","Female","880"
"Bradford","Male","115"
"Lehigh","Female","625"
"Mercer","Male","277"
"Montgomery","Male","1238"
"Erie","Male","427"
"Beaver","Male","403"
"Clarion","Female","102"
"Adams","Female","174"
"Bradford","Female","101"
"Greene","Female","62"
"Lancaster","Male","1080"
"Cumberland","Female","425"
"Allegheny","Female","1795"
"Lycoming","Male","299"
"Chester","Female","556"
"Warren","Male","125"
"Columbia","Male","136"
"Northumberland","Male","263"
"Snyder","Male","109"
"Delaware","Female","940"
"Lebanon","Female","266"
"Westmoreland","Male","760"
"Schuylkill","Female","342"
"Washington","Female","324"
"Lehigh","Male","672"
"Luzerne","Female","704"
"Blair","Male","349"
"Indiana","Male","205"
"Cumberland","Male","498"
"Jefferson","Female","117"
"Indiana","Female","171"
"Cambria","Male","369"
"Dauphin","Male","538"
"Philadelphia","Male","2724"
"York","Female","690"
"Pennsylvania","Male","24490"
"Philadelphia","Female","2542"
"Armstrong","Male","193"
"Clinton","Female","57"
"McKean","Male","78"
"Crawford","Female","148"
"Fayette","Female","321"
"Lebanon","Male","268"
"Lawrence","Female","220"
"Wayne","Male","98"
"Elk","Male","60"
"Fayette","Male","382"
"Forest","Female","15"
"Armstrong","Female","171"
"Bedford","Male","152"
"Butler","Female","377"
"Bucks","Female","947"
"Berks","Female","784"
"Lackawanna","Male","398"
"Union","Female","85"
"Potter","Female","34"
"Cameron","Male","9"
"Cameron","Female","12"
"Tioga","Male","112"
"Chester","Male","664"
"Franklin","Male","424"
"Crawford","Male","190"
"Clearfield","Female","175"
"Pennsylvania","Female","22341"
"Potter","Male","60"
"Mifflin","Male","139"
"McKean","Female","77"
"Northumberland","Female","295"
"Sullivan","Male","25"
"Westmoreland","Female","689"
"York","Male","873"
"Monroe","Male","292"
"Montgomery","Female","1195"
"Butler","Male","401"
"Mifflin","Female","147"
"Northampton","Male","583"
"Snyder","Female","54"
"Susquehanna","Female","53"
"Juniata","Female","83"
"Franklin","Female","307"
"Tioga","Female","88"
"Juniata","Male","100"
"Perry","Male","115"
"Huntingdon","Male","141"
"Berks","Male","869"
"Washington","Male","359"
"Huntingdon","Female","119"
"Beaver","Female","373"
"Columbia","Female","122"
"Lycoming","Female","257"
"Centre","Male","188"
"Pike","Male","49"
"Union","Male","72"
"Wyoming","Male","64"
"Venango","Male","135"
"Bedford","Female","130"
"Carbon","Female","147"
"Greene","Male","49"
"Perry","Female","76"
"Fulton","Female","33"
