"age_group","partially_covered","fully_covered","additional_dose","additional_dose_2"
"40-44","110605","541148","232538","7462"
"10-14","49193","317223","73862","378"
"60-64","108317","745473","439597","111138"
"30-34","138240","547255","187877","3958"
"80-84","41487","287789","195409","72792"
"45-49","95340","518635","236351","9550"
"65-69","98329","719696","473420","158210"
"20-24","142938","502523","156617","2050"
"70-74","80617","591686","408700","156485"
"25-29","137236","501173","151802","2560"
"95-99","6992","35003","18969","6657"
"55-59","105579","678269","360322","72037"
"75-79","60184","434547","302510","117546"
"90-94","18286","101855","61786","21570"
"105+","556","628","148","34"
"85-89","28801","181889","118910","42552"
"5-9","34709","204017","30029",
"100-104","1474","5429","2629","871"
"0-4","33721","19925",,
"15-19","84176","449291","160893","1591"
"35-39","124373","549266","216794","5563"
"50-54","101154","611003","299094","50527"
