"postcode","positive","probable","georeferenced_zip_code"
"17951","62","10",
"15763",,,"POINT (-79.134735 40.902878)"
"16058",,,"POINT (-79.614704 41.183927)"
"16945","0","0","POINT (-76.856466 41.805462)"
"18460","27",,"POINT (-75.384896 41.257946)"
"19480","7",,"POINT (-75.687709 40.077881)"
"18540",,,"POINT (-75.662346 41.409113)"
"16734","45","14","POINT (-78.891409 41.547248)"
"19381","9",,"POINT (-75.605214 39.960481)"
"15655","65","42","POINT (-79.169669 40.189443)"
"18958","13","0","POINT (-75.432893 40.293905)"
"17220","96","14","POINT (-77.735857 40.185377)"
"19523","30","11","POINT (-75.836868 40.206034)"
"16136","188","36","POINT (-80.319918 40.835047)"
"17934","59","8","POINT (-76.213231 40.799135)"
"17853","477","85","POINT (-76.997272 40.699455)"
"16239","1756","96","POINT (-79.085282 41.471962)"
"17579","1092","184","POINT (-76.180889 39.964368)"
"15143","3560","940","POINT (-80.146615 40.567663)"
"17361","1401","194","POINT (-76.677204 39.766001)"
"19506","1363","351","POINT (-76.126263 40.455844)"
"15129","2022","747","POINT (-79.998379 40.293472)"
"15774","540","221","POINT (-79.334461 40.658204)"
"15475","166","87","POINT (-79.895602 39.961663)"
"15742","188","56","POINT (-78.853663 40.818404)"
"17850","119","19","POINT (-76.856179 40.96557)"
"19335","7898","2730","POINT (-75.719561 40.022981)"
"15747","332","109","POINT (-79.151125 40.764816)"
"18954","1699","388","POINT (-75.002414 40.219663)"
"19134","11415","1096","POINT (-75.109709 39.991393)"
"16258","363","72","POINT (-79.275075 41.219521)"
"17256","35",,"POINT (-77.67358 39.778766)"
"18103","13219","983","POINT (-75.480833 40.575032)"
"15563","468","250","POINT (-78.945068 40.09607)"
"18851","158","11","POINT (-76.192596 41.943314)"
"15492","13",,"POINT (-79.765221 40.117737)"
"15948","100","63","POINT (-78.76604 40.489975)"
"17224","299","145","POINT (-77.875565 39.978832)"
"17304","722","116","POINT (-77.232685 39.975341)"
"18322","666","30","POINT (-75.404919 40.926902)"
"16602","5662","1466","POINT (-78.386877 40.503875)"
"15411","94","23","POINT (-79.358938 39.75242)"
"15060","155","62","POINT (-80.292237 40.367219)"
"18974","7253","1365","POINT (-75.082434 40.212131)"
"18216","317","24","POINT (-75.942463 40.924932)"
"15534","106","91","POINT (-78.699074 39.918523)"
"17535","336","42","POINT (-76.041799 40.009686)"
"19526","2843","558","POINT (-75.989031 40.542225)"
"18837","723","64","POINT (-76.284531 41.867163)"
"18643","2734","308","POINT (-75.826399 41.353501)"
