"county","ethnicity","count"
"Adams","Unknown","0.0"
"Northumberland","Not Hispanic","554"
"Susquehanna","Not Hispanic","115"
"Bucks","Unknown",
"Armstrong","Unknown","0.0"
"Armstrong","Hispanic","0.0"
"Monroe","Not Hispanic","500"
"Beaver","Unknown","0.0"
"Somerset","Not Hispanic","417"
"Pike","Hispanic","9"
"Bedford","Unknown","0.0"
"Bedford","Hispanic",
"Elk","Not Hispanic","108"
"Berks","Unknown",
"Northampton","Not Hispanic","1068"
"Lackawanna","Hispanic","25"
"Blair","Unknown","0.0"
"Blair","Hispanic",
"Lebanon","Not Hispanic","502"
"Bradford","Unknown","0.0"
"Bradford","Hispanic",
"Lycoming","Not Hispanic","551"
"Mercer","Not Hispanic","512"
"Butler","Unknown","0.0"
"Butler","Hispanic",
"Adams","Hispanic","8"
"Cambria","Hispanic",
"Bucks","Not Hispanic","1940"
"Cameron","Unknown","0.0"
"Cameron","Hispanic","0.0"
"Venango","Not Hispanic","250"
"Carbon","Unknown","0.0"
"Carbon","Hispanic",
"Cambria","Not Hispanic","751"
"Centre","Unknown","0.0"
"Centre","Hispanic",
"Indiana","Hispanic",
"Chester","Unknown",
"Lawrence","Not Hispanic","434"
"Clarion","Unknown","0.0"
"Clarion","Hispanic","0.0"
"Pennsylvania","Not Hispanic","44808"
"Clearfield","Unknown","0.0"
"Clearfield","Hispanic",
"Allegheny","Not Hispanic","3452"
"Clinton","Unknown",
"Clinton","Hispanic",
"Cumberland","Not Hispanic","907"
"Columbia","Unknown","0.0"
"Columbia","Hispanic",
"Crawford","Unknown","0.0"
"Crawford","Hispanic","0.0"
"York","Not Hispanic","1500"
"Cumberland","Unknown","0.0"
"Chester","Not Hispanic","1168"
"Lycoming","Hispanic",
"Dauphin","Unknown","0.0"
"Huntingdon","Not Hispanic","258"
"Elk","Unknown","0.0"
"Elk","Hispanic","0.0"
"Erie","Unknown","0.0"
"York","Hispanic","51"
"Wayne","Not Hispanic","176"
"Fayette","Unknown","0.0"
"Fayette","Hispanic",
"Snyder","Not Hispanic","160"
"Forest","Unknown","0.0"
"Forest","Hispanic","0.0"
"Jefferson","Not Hispanic","248"
"Franklin","Unknown","0.0"
"Fayette","Not Hispanic","696"
"Fulton","Unknown","0.0"
"Fulton","Hispanic","0.0"
"Greene","Unknown","0.0"
"McKean","Unknown",
"Huntingdon","Unknown","0.0"
"Huntingdon","Hispanic",
"Indiana","Unknown","0.0"
